direction,start_date,end_date,start_rate,end_rate,changes,total_bp,length_days,cycle_label
hike,1995-02-01,1995-02-01,6.0,6.0,1,50.0,0,hike_1995-02-01_1995-02-01
cut,1995-07-06,1996-01-31,5.75,5.25,3,-75.0,209,cut_1995-07-06_1996-01-31
hike,1997-03-25,1997-03-25,5.5,5.5,1,25.0,0,hike_1997-03-25_1997-03-25
cut,1998-09-29,1998-11-17,5.25,4.75,3,-75.0,49,cut_1998-09-29_1998-11-17
hike,1999-06-30,2000-05-16,5.0,6.5,6,175.0,321,hike_1999-06-30_2000-05-16
cut,2001-01-03,2003-06-25,6.0,1.0,13,-550.0,903,cut_2001-01-03_2003-06-25
hike,2004-06-30,2006-06-29,1.25,5.25,17,425.0,729,hike_2004-06-30_2006-06-29
cut,2007-09-18,2008-12-16,4.75,0.25,10,-500.0,455,cut_2007-09-18_2008-12-16
hike,2015-12-16,2018-12-20,0.5,2.5,9,225.0,1100,hike_2015-12-16_2018-12-20
cut,2019-08-01,2020-03-16,2.25,0.25,5,-225.0,228,cut_2019-08-01_2020-03-16
hike,2022-03-17,2023-07-27,0.5,5.5,11,525.0,497,hike_2022-03-17_2023-07-27
cut,2024-09-19,2025-12-11,5.0,3.75,6,-175.0,448,cut_2024-09-19_2025-12-11
