peak_date,start_date,trough_date,end_date,peak_to_trough_days,recovery_days,total_days,max_drawdown,strategy_peak_to_trough_return,hs300_peak_to_trough_return,peak_holding,trough_holding,recovery_holding,switches_in_episode,trade_actions_in_episode,top_holdings,worst_assets_peak_to_trough,recovered
2017-09-06,2017-09-07,2018-12-06,2019-03-06,304,57,361,-0.23702160566371588,-0.23702160566371588,-0.1610790457504292,创业板50(159949),黄金ETF(518880),创业板50(159949),95,149,黄金ETF(518880) 43.4%; 纳指ETF(159941) 22.2%; 创业板50(159949) 13.3%,创业板50(159949) -38.9%; 沪深300(510300) -16.1%; 黄金ETF(518880) -2.1%,True
2024-10-08,2024-10-09,2024-10-17,2025-02-10,7,75,82,-0.17452360668868705,-0.17452360668868705,-0.12443336355394397,创业板50(159949),创业板50(159949),H股(159954),19,32,纳指ETF(159941) 41.9%; 创业板50(159949) 32.8%; 豆粕(159985) 13.5%,创业板50(159949) -25.4%; 沪深300(510300) -12.4%; H股(159954) -4.8%,True
2021-05-31,2021-06-01,2021-12-31,2022-03-09,146,42,188,-0.17348217472629457,-0.17348217472629457,-0.061820906706630874,创业板50(159949),红利低波ETF(512890),豆粕(159985),64,118,创业板50(159949) 23.8%; 豆粕(159985) 21.2%; 红利低波ETF(512890) 17.2%,红利低波ETF(512890) -48.3%; H股(159954) -19.5%; 沪深300(510300) -6.2%,True
2015-01-05,2015-01-06,2015-03-13,2015-04-10,44,19,63,-0.1690665130889476,-0.1690665130889476,-0.014307113966887108,沪深300(510300),沪深300(510300),沪深300(510300),17,24,沪深300(510300) 57.5%; 黄金ETF(518880) 28.4%,黄金ETF(518880) -2.3%; 沪深300(510300) -1.4%,True
2013-02-06,2013-02-07,2014-11-07,2014-12-10,421,23,444,-0.16120729454055693,-0.16120729454055693,-0.0638747408145115,沪深300(510300),黄金ETF(518880),沪深300(510300),82,106,黄金ETF(518880) 35.7%; 沪深300(510300) 17.4%,沪深300(510300) -6.4%,True
2015-05-26,2015-05-28,2015-06-23,2016-03-04,19,170,189,-0.1604599353097279,-0.1604599353097279,-0.07725072604065863,沪深300(510300),黄金ETF(518880),黄金ETF(518880),37,55,黄金ETF(518880) 46.9%; 沪深300(510300) 26.8%; 纳指ETF(159941) 2.1%,沪深300(510300) -7.7%; 黄金ETF(518880) -2.3%,True
2023-09-07,2023-09-08,2024-04-23,2024-06-18,148,36,184,-0.1575417034659402,-0.1575417034659402,-0.06713386554004219,豆粕(159985),H股(159954),纳指ETF(159941),61,107,纳指ETF(159941) 22.1%; H股(159954) 20.4%; 黄金ETF(518880) 16.4%,创业板50(159949) -14.4%; 豆粕(159985) -8.5%; 沪深300(510300) -6.7%,True
2020-09-03,2020-09-04,2020-09-25,2021-01-05,16,65,81,-0.14947078197542274,-0.14947078197542274,-0.0501638001638004,纳指ETF(159941),豆粕(159985),创业板50(159949),13,20,创业板50(159949) 31.2%; 日经ETF(513880) 30.2%; 纳指ETF(159941) 15.1%,纳指ETF(159941) -23.0%; H股(159954) -6.6%; 创业板50(159949) -6.3%,True
2026-02-25,2026-02-26,2026-04-09,2026-05-13,30,21,51,-0.14309037713470596,-0.14309037713470596,-0.03747368421052666,日经ETF(513880),创业板50(159949),创业板50(159949),22,34,豆粕(159985) 34.6%; 创业板50(159949) 29.7%; 日经ETF(513880) 9.6%,黄金ETF(518880) -9.6%; 日经ETF(513880) -8.3%; H股(159954) -5.8%,True
2026-06-25,2026-06-26,2026-09-14,2026-09-18,57,,61,-0.14291500404190427,-0.14291500404190427,-0.09825673534072898,日经ETF(513880),豆粕(159985),豆粕(159985),18,31,豆粕(159985) 33.9%; 日经ETF(513880) 19.4%; H股(159954) 17.7%,创业板50(159949) -27.1%; 日经ETF(513880) -13.4%; 沪深300(510300) -9.8%,False
2020-02-25,2020-02-26,2020-03-20,2020-06-09,18,53,71,-0.1424535668255449,-0.1424535668255449,-0.11208576998050679,创业板50(159949),豆粕(159985),日经ETF(513880),17,28,纳指ETF(159941) 34.7%; 豆粕(159985) 22.0%; 创业板50(159949) 16.7%,日经ETF(513880) -20.7%; 纳指ETF(159941) -17.0%; 创业板50(159949) -16.7%,True
2022-03-22,2022-03-24,2022-05-13,2022-06-23,33,28,61,-0.1340689327146578,-0.1340689327146578,-0.06261770244821085,豆粕(159985),豆粕(159985),创业板50(159949),19,36,创业板50(159949) 24.2%; 豆粕(159985) 22.6%; 红利低波ETF(512890) 16.1%,创业板50(159949) -12.0%; 纳指ETF(159941) -9.3%; 沪深300(510300) -6.3%,True
2025-11-03,2025-11-04,2025-12-09,2026-01-29,26,35,61,-0.13126129408225218,-0.13126129408225218,-0.011547344110854008,日经ETF(513880),黄金ETF(518880),H股(159954),17,28,黄金ETF(518880) 35.2%; 创业板50(159949) 25.8%; 日经ETF(513880) 20.0%,日经ETF(513880) -11.9%; H股(159954) -3.9%; 红利低波ETF(512890) -1.9%,True
2020-01-22,2020-01-23,2020-02-04,2020-02-25,3,15,18,-0.11640224988157,-0.11640224988157,-0.08472930322893901,创业板50(159949),创业板50(159949),创业板50(159949),7,11,创业板50(159949) 78.1%; 纳指ETF(159941) 7.5%; 黄金ETF(518880) 4.2%,红利低波ETF(512890) -8.5%; 沪深300(510300) -8.5%; H股(159954) -4.8%,True
2016-08-09,2016-08-15,2016-12-09,2017-02-22,81,47,128,-0.11345641418990937,-0.11345641418990937,0.07657384987893323,纳指ETF(159941),纳指ETF(159941),纳指ETF(159941),23,41,黄金ETF(518880) 49.6%; 纳指ETF(159941) 28.8%; 沪深300(510300) 6.8%,黄金ETF(518880) -7.4%; 创业板50(159949) -5.0%; 纳指ETF(159941) 6.7%,True
2026-06-01,2026-06-02,2026-06-08,2026-06-22,5,9,14,-0.11046744756507598,-0.11046744756507598,-0.02649958915365669,纳指ETF(159941),日经ETF(513880),日经ETF(513880),6,9,日经ETF(513880) 69.5%; 纳指ETF(159941) 16.2%; 红利低波ETF(512890) 5.3%,纳指ETF(159941) -11.1%; 日经ETF(513880) -6.6%; 黄金ETF(518880) -4.2%,True
2022-08-16,2022-08-17,2022-11-21,2022-12-05,63,10,73,-0.10477527770468309,-0.10477527770468309,-0.0949232585596218,纳指ETF(159941),日经ETF(513880),H股(159954),26,45,豆粕(159985) 44.6%; 日经ETF(513880) 13.5%; 纳指ETF(159941) 12.2%,创业板50(159949) -13.5%; 纳指ETF(159941) -10.4%; 沪深300(510300) -9.5%,True
2026-01-29,2026-01-30,2026-02-02,2026-02-11,2,7,9,-0.10215169669241797,-0.10215169669241797,-0.03523489932885915,H股(159954),黄金ETF(518880),日经ETF(513880),3,6,黄金ETF(518880) 48.0%; 日经ETF(513880) 30.0%; H股(159954) 10.0%,黄金ETF(518880) -16.8%; H股(159954) -5.9%; 纳指ETF(159941) -3.5%,True
2021-02-10,2021-02-18,2021-03-10,2021-04-28,15,34,49,-0.10195073486419093,-0.10195073486419093,-0.1389702083692097,创业板50(159949),红利低波ETF(512890),创业板50(159949),12,20,红利低波ETF(512890) 48.4%; 纳指ETF(159941) 20.0%; 创业板50(159949) 16.0%,创业板50(159949) -23.1%; 沪深300(510300) -13.9%; 纳指ETF(159941) -7.1%,True
