批次,配置,期末净值,CAGR%,最大回撤%,最大回撤区间积分,全期累计回撤积分,交易动作数,年化换手x,Sharpe,Calmar,平均仓位,ΔCAGR(pp),Δ最大回撤(pp),ΔCalmar,回撤峰值日,回撤谷底日,回撤修复日,回撤历时(交易日)
opt1,A0 当前基线(减仓→现金),20.4347,23.48,-17.45,5.92,193.72,1338,72.4,1.135,1.345,0.774,0.0,0.0,0.0,2024-10-08,2024-10-17,2025-02-12,85
opt1,A1 减仓→黄金518880,23.8428,24.81,-18.99,39.68,192.8,1430,77.0,1.185,1.307,0.861,1.34,-1.53,-0.038,2013-02-06,2014-11-07,2014-12-16,449
opt1,A2 减仓→国债511260,20.0369,23.31,-17.45,5.92,195.29,1584,80.8,1.127,1.335,0.861,-0.17,0.0,-0.01,2024-10-08,2024-10-17,2025-02-12,85
opt1,A3 减仓→国债511580,20.4347,23.48,-17.45,5.92,193.72,1584,72.4,1.135,1.345,0.774,0.0,0.0,0.0,2024-10-08,2024-10-17,2025-02-12,85
opt1,A4 减仓→红利低波512890,20.0242,23.3,-17.45,5.95,201.52,1560,79.3,1.119,1.335,0.861,-0.18,0.0,-0.01,2024-10-08,2024-10-17,2025-02-12,85
opt1,B cut=0.0,19.1497,22.92,-18.33,32.63,196.89,1073,64.9,1.13,1.25,0.688,-0.56,-0.87,-0.095,2015-05-27,2016-01-28,2016-06-24,265
opt1,B cut=0.3,19.9643,23.28,-17.45,6.03,193.83,1338,69.4,1.14,1.334,0.74,-0.2,0.0,-0.012,2024-10-08,2024-10-17,2025-02-13,86
opt1,B cut=0.7,20.8414,23.65,-17.45,5.81,199.14,1338,75.4,1.123,1.355,0.809,0.17,0.0,0.01,2024-10-08,2024-10-17,2025-02-10,83
opt1,C1 净值MA250×0.5,16.1756,21.48,-20.11,35.02,230.68,1347,73.4,1.032,1.068,0.779,-2.0,-2.66,-0.278,2021-05-31,2022-05-13,2022-08-05,290
opt1,D 波动目标15%,10.2241,17.64,-15.9,27.84,130.94,2834,61.9,1.254,1.11,0.657,-5.83,1.55,-0.236,2013-02-06,2014-11-07,2014-12-16,449
opt1,D 波动目标20%,14.8591,20.76,-18.15,36.89,168.69,2379,70.5,1.224,1.143,0.748,-2.72,-0.7,-0.202,2013-02-06,2014-11-07,2014-12-16,449
opt1,D 波动目标25%,18.0566,22.41,-18.24,35.53,191.01,1966,75.3,1.181,1.229,0.802,-1.06,-0.79,-0.117,2017-09-06,2018-11-28,2019-03-04,360
opt2,F0 全开(新基线),20.4347,23.48,-17.45,5.92,193.72,1338,72.4,1.135,1.345,0.774,0.0,0.0,0.0,2024-10-08,2024-10-17,2025-02-12,85
opt2,F1 关分位压仓,17.9938,22.38,-17.45,5.91,199.9,1270,72.3,1.059,1.283,0.789,-1.09,0.0,-0.063,2024-10-08,2024-10-17,2025-02-12,85
opt2,F2 关Boll压仓,20.4252,23.47,-25.35,14.33,222.42,1193,69.7,1.019,0.926,0.792,-0.0,-7.9,-0.419,2024-10-08,2024-10-17,2025-03-06,101
opt2,F3 两层压仓全关,17.7625,22.27,-25.35,14.35,229.86,1107,69.4,0.948,0.879,0.809,-1.2,-7.9,-0.467,2024-10-08,2024-10-17,2025-03-06,101
opt2,G 空仓计息1.5%,21.4132,23.88,-17.45,5.91,188.33,1338,72.4,1.155,1.368,0.774,0.4,-0.0,0.023,2024-10-08,2024-10-17,2025-02-12,85
