批次,配置,期末净值,CAGR%,最大回撤%,最大回撤区间积分,全期累计回撤积分,交易动作数,年化换手x,Sharpe,Calmar,平均仓位,回撤峰值日,回撤谷底日,回撤修复日,回撤历时
opt6,A0 基线(raw),20.4347,23.48,-17.45,5.92,193.72,1338,72.4,1.135,1.345,0.774,2024-10-08,2024-10-17,2025-02-12,85
opt6,A 波动惩罚0.05,19.2051,22.94,-17.45,5.89,195.17,1363,74.3,1.11,1.315,0.775,2024-10-08,2024-10-17,2025-02-12,85
opt6,A 波动惩罚0.1,18.7729,22.75,-17.45,6.03,189.74,1358,73.8,1.11,1.303,0.773,2024-10-08,2024-10-17,2025-02-12,85
opt6,A 波动惩罚0.2,12.939,19.59,-18.79,10.45,210.98,1365,74.6,0.966,1.043,0.773,2020-02-25,2020-04-22,2020-07-07,90
opt6,A 波动惩罚0.35,11.7921,18.82,-21.56,68.63,246.13,1454,79.9,0.997,0.873,0.767,2021-04-30,2022-09-01,2023-07-19,538
opt6,B 波动除数0.2,17.0325,21.91,-20.92,7.16,199.38,1315,70.9,1.06,1.048,0.768,2020-02-25,2020-03-19,2020-06-30,85
opt6,B 波动除数0.5,18.6323,22.68,-20.92,6.42,188.18,1328,71.9,1.101,1.084,0.768,2020-02-25,2020-03-19,2020-06-09,72
opt6,B 波动除数1.0,18.6869,22.71,-20.92,6.09,196.81,1343,73.0,1.102,1.086,0.767,2020-02-25,2020-03-19,2020-06-03,68
opt6,C 下行波动0.1,16.8613,21.83,-18.28,6.61,205.05,1377,75.0,1.058,1.194,0.774,2026-01-29,2026-04-09,2026-05-29,77
opt6,C 下行波动0.25,13.4678,19.93,-18.79,10.84,217.54,1381,75.1,0.975,1.061,0.772,2020-02-25,2020-04-22,2020-07-07,90
opt6,D R2惩罚0.03,17.4027,22.1,-20.48,50.82,210.99,1334,72.2,1.068,1.079,0.773,2021-05-31,2022-01-27,2023-06-02,489
opt6,D R2惩罚0.06,14.814,20.73,-18.51,32.17,202.94,1304,70.3,1.004,1.12,0.771,2021-06-30,2022-05-13,2023-01-20,382
opt6,D R2惩罚0.12,14.7255,20.68,-18.58,10.17,198.96,1208,64.3,1.006,1.113,0.762,2024-10-08,2024-12-02,2025-02-21,92
opt6,E slope0.5,18.7699,22.74,-17.45,5.6,195.5,1335,72.3,1.103,1.303,0.774,2024-10-08,2024-10-17,2025-02-10,83
opt6,E slope0.85,24.7517,25.14,-17.45,5.66,174.53,1329,72.1,1.23,1.441,0.774,2024-10-08,2024-10-17,2025-02-13,86
opt6,E slope1.5,22.9093,24.47,-17.97,7.07,178.97,1387,77.1,1.207,1.361,0.772,2026-01-29,2026-04-09,2026-06-01,78
opt6,F 确认60日Top3,11.7737,18.81,-26.95,92.61,260.98,1386,75.6,0.916,0.698,0.775,2021-02-10,2021-12-31,2023-07-13,585
