指标,改动前(raw动量),改动后(slope_085),Δ
期末净值,20.4347,24.7517,+4.3170
CAGR %,23.4761,25.1412,+1.6651
最大回撤 %,-17.4524,-17.4524,+0.0000
最大回撤区间积分,-5.9177,-5.6582,+0.2595
全期累计回撤积分,-193.7157,-174.5311,+19.1847
交易动作数,1338,1329,-9
有交易天数,842,840,-2
年化换手(倍),69.88,69.64,-0.2495
Sharpe,1.1602,1.2392,+0.0790
Calmar,1.3452,1.4406,+0.0954
平均仓位,0.7743,0.7740,-0.0003
零仓天数,361,365,4

最大回撤区间,峰值/谷底/修复/历时
改动前,2024-10-08 → 2024-10-17 → 2025-02-12 / 85交易日
改动后,2024-10-08 → 2024-10-17 → 2025-02-13 / 86交易日

分年收益%,改动前,改动后,Δ(pp)
2015,5.48,6.14,+0.66
2016,21.39,19.65,-1.74
2017,1.79,2.54,+0.75
2018,-5.35,-1.21,+4.14
2019,37.86,44.33,+6.47
2020,51.58,68.74,+17.16
2021,6.26,20.37,+14.11
2022,30.60,29.56,-1.04
2023,15.38,16.08,+0.70
2024,34.09,24.29,-9.80
2025,120.30,106.55,-13.75
