date,action,code,theme,name,from_exposure,to_exposure,nav
2012-10-18,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9995
2012-10-19,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,0.9990002500000001
2012-12-14,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,0.4225,0.9987892111971877
2012-12-18,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.4225,1.0,0.9932296342334203
2013-02-21,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0909154059519819
2013-05-20,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.090369948249006
2013-05-29,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.1014984791783615
2013-05-31,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.1009477299387724
2013-06-03,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.1025093429376684
2013-08-01,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.1019580882661997
2013-08-02,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0994899515036642
2013-08-12,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0989402065279126
2013-08-15,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0833317857383116
2013-08-23,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0827901198454424
2013-08-27,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.1063295693250348
2013-09-02,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.1057764045403724
2013-09-05,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.11643993525894
2013-09-05,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.11643993525894
2013-09-09,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.117076189215209
2013-09-09,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.117076189215209
2013-09-12,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.8,1.1478297395979469
2013-09-13,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.8,1.0,1.1409163333423487
2013-09-17,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.1116943617854627
2013-09-17,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.1116943617854627
2013-09-23,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.1175263451099173
2013-09-23,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.1175263451099173
2013-09-25,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0992547893673703
2013-09-25,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0992547893673703
2013-10-08,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0986148025680693
2013-10-08,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0986148025680693
2013-10-09,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0989421476261485
2013-10-09,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0989421476261485
2013-10-11,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0824885198598495
2013-10-11,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0824885198598495
2013-10-16,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.061795827203933
2013-10-16,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.061795827203933
2013-10-21,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0805146404231452
2013-10-21,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0805146404231452
2013-10-22,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.067589950689663
2013-10-22,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.067589950689663
2013-10-23,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0767036390335711
2013-10-29,BUY,518880,黄金ETF,黄金ETF华安,0.0,1.0,1.0761652872140544
2013-10-30,SELL,518880,黄金ETF,黄金ETF华安,1.0,0.0,1.0723664930749703
2013-10-31,BUY,518880,黄金ETF,黄金ETF华安,0.0,1.0,1.071830309828433
