year,start_date,end_date,strategy_return,hs300_etf_return,excess_return
2012,2012-05-28,2012-12-31,0.05955688791426561,-0.030721966205837115,0.09027885412010273
2013,2012-12-31,2013-12-31,-0.049237360384699724,-0.05863708399365952,0.009399723608959798
2014,2013-12-31,2014-12-31,0.2786653396615313,0.5372985893150872,-0.25863324965355594
2015,2014-12-31,2015-12-31,0.04869030461552604,0.0680185133646376,-0.019328208749111564
2016,2015-12-31,2016-12-30,0.1988754695024164,-0.09686562903164286,0.2957410985340593
2017,2016-12-30,2017-12-29,0.061162529411692645,0.2336808775430761,-0.17251834813138345
2018,2017-12-29,2018-12-28,-0.17507146660069683,-0.24164182716177507,0.06657036056107823
2019,2018-12-28,2019-12-31,0.4321555484361448,0.3859357093623643,0.046219839073780467
2020,2019-12-31,2020-12-31,0.4634029660618253,0.2907714843749991,0.17263148168682618
2021,2020-12-31,2021-12-31,0.02594692525658293,-0.0404000983832733,0.06634702363985623
2022,2021-12-31,2022-12-30,0.3536592494399633,-0.20132014717873792,0.5549793966187012
2023,2022-12-30,2023-12-29,0.13369217300705083,-0.09775224647250758,0.2314444194795584
2024,2023-12-29,2024-12-31,0.3057580998732896,0.17374101990322166,0.13201707997006795
2025,2024-12-31,2025-12-31,1.204951581282105,0.20838818873246168,0.9965633925496433
2026,2025-12-31,2026-09-18,0.15306058243970155,-0.010950938364493346,0.1640115208041949
