Date of Data,Code,Company Name,Nikkei Industrial Classification,Sector,Weight
"2026/06/30","1332","NISSUI CORP.","Fishery","Consumer Goods","0.0614%"
"2026/06/30","1605","INPEX CORP.","Mining","Materials","0.0625%"
"2026/06/30","1721","COMSYS HOLDINGS CORP.","Construction","Capital Goods/Others","0.2608%"
"2026/06/30","1801","TAISEI CORP.","Construction","Capital Goods/Others","0.1364%"
"2026/06/30","1802","OBAYASHI CORP.","Construction","Capital Goods/Others","0.1558%"
"2026/06/30","1803","SHIMIZU CORP.","Construction","Capital Goods/Others","0.1220%"
"2026/06/30","1808","HASEKO CORP.","Construction","Capital Goods/Others","0.0272%"
"2026/06/30","1812","KAJIMA CORP.","Construction","Capital Goods/Others","0.1405%"
"2026/06/30","1925","DAIWA HOUSE IND. CO., LTD.","Construction","Capital Goods/Others","0.2113%"
"2026/06/30","1928","SEKISUI HOUSE, LTD.","Construction","Capital Goods/Others","0.1618%"
"2026/06/30","1963","JGC HOLDINGS CORP.","Construction","Capital Goods/Others","0.1198%"
"2026/06/30","2002","NISSHIN SEIFUN GROUP INC.","Foods","Consumer Goods","0.0950%"
"2026/06/30","2269","MEIJI HOLDINGS CO., LTD.","Foods","Consumer Goods","0.0724%"
"2026/06/30","2282","NH FOODS LTD.","Foods","Consumer Goods","0.1424%"
"2026/06/30","2413","M3, INC.","Services","Consumer Goods","0.2084%"
"2026/06/30","2432","DENA CO., LTD.","Services","Consumer Goods","0.0352%"
"2026/06/30","2501","SAPPORO HOLDINGS LTD.","Foods","Consumer Goods","0.0971%"
"2026/06/30","2502","ASAHI GROUP HOLDINGS, LTD.","Foods","Consumer Goods","0.2222%"
"2026/06/30","2503","KIRIN HOLDINGS CO., LTD.","Foods","Consumer Goods","0.1345%"
"2026/06/30","2768","SOJITZ CORP.","Trading Companies","Materials","0.0247%"
"2026/06/30","2801","KIKKOMAN CORP.","Foods","Consumer Goods","0.3990%"
"2026/06/30","2802","AJINOMOTO CO., INC.","Foods","Consumer Goods","0.5620%"
"2026/06/30","285A","KIOXIA HOLDINGS CORP.","Electric Machinery","Technology","3.0036%"
"2026/06/30","2871","NICHIREI CORP.","Foods","Consumer Goods","0.1039%"
"2026/06/30","2914","JAPAN TOBACCO INC.","Foods","Consumer Goods","0.2877%"
"2026/06/30","3086","J.FRONT RETAILING CO., LTD.","Retail","Consumer Goods","0.0865%"
"2026/06/30","3092","ZOZO, INC.","Retail","Consumer Goods","0.1649%"
"2026/06/30","3099","ISETAN MITSUKOSHI HOLDINGS LTD.","Retail","Consumer Goods","0.1970%"
"2026/06/30","3289","TOKYU FUDOSAN HOLDINGS CORP.","Real Estate","Capital Goods/Others","0.0620%"
"2026/06/30","3382","SEVEN & I HOLDINGS CO., LTD.","Retail","Consumer Goods","0.2809%"
"2026/06/30","3401","TEIJIN LTD.","Textiles & Apparel","Materials","0.0156%"
"2026/06/30","3402","TORAY INDUSTRIES, INC.","Textiles & Apparel","Materials","0.0539%"
"2026/06/30","3405","KURARAY CO., LTD.","Chemicals","Materials","0.0798%"
"2026/06/30","3407","ASAHI KASEI CORP.","Chemicals","Materials","0.0857%"
"2026/06/30","3436","SUMCO CORP.","Nonferrous Metals","Materials","0.0193%"
"2026/06/30","3659","NEXON CO., LTD.","Services","Consumer Goods","0.2053%"
"2026/06/30","3697","SHIFT INC.","Services","Consumer Goods","0.0322%"
"2026/06/30","3861","OJI HOLDINGS CORP.","Pulp & Paper","Materials","0.0381%"
"2026/06/30","4004","RESONAC HOLDINGS CORP.","Chemicals","Materials","0.0847%"
"2026/06/30","4005","SUMITOMO CHEMICAL CO., LTD.","Chemicals","Materials","0.0246%"
"2026/06/30","4021","NISSAN CHEMICAL CORP.","Chemicals","Materials","0.4054%"
"2026/06/30","4042","TOSOH CORP.","Chemicals","Materials","0.0700%"
"2026/06/30","4043","TOKUYAMA CORP.","Chemicals","Materials","0.0468%"
