base_pool,plus_159981_risk,plus_159981_defensive,plus_163208_risk,plus_163208_defensive
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.9995,0.9995,0.9995,0.9995,0.9995
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9985007498750001,0.9985007498750001,0.9985007498750001,0.9985007498750001,0.9985007498750001
1.0014179056551025,1.0014179056551025,1.0014179056551025,1.0014179056551025,1.0014179056551025
0.985998653674562,0.985998653674562,0.985998653674562,0.985998653674562,0.985998653674562
0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9884990729146492
0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9951668575548831
0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9909994921547371
0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9918329652347664
1.0193375768757307,1.0193375768757307,1.0193375768757307,1.0193375768757307,1.0193375768757307
1.0222547326558329,1.0222547326558329,1.0222547326558329,1.0222547326558329,1.0222547326558329
1.02017104995576,1.02017104995576,1.02017104995576,1.02017104995576,1.02017104995576
1.0351735653962857,1.0351735653962857,1.0351735653962857,1.0351735653962857,1.0351735653962857
1.0518430269968702,1.0518430269968702,1.0518430269968702,1.0518430269968702,1.0518430269968702
1.0543362389052149,1.0543362389052149,1.0543362389052149,1.0543362389052149,1.0543362389052149
1.0559648765744436,1.0559648765744436,1.0559648765744436,1.0559648765744436,1.0559648765744436
1.0515774786192549,1.0515774786192549,1.0515774786192549,1.0515774786192549,1.0515774786192549
1.0507718529237609,1.0507718529237609,1.0507718529237609,1.0507718529237609,1.0507718529237609
1.0531861221466332,1.0531861221466332,1.0531861221466332,1.0531861221466332,1.0531861221466332
1.0382105700744793,1.0382105700744793,1.0382105700744793,1.0382105700744793,1.0382105700744793
1.0748251668464341,1.0748251668464341,1.0748251668464341,1.0748251668464341,1.0748251668464341
1.081054048651343,1.081054048651343,1.081054048651343,1.081054048651343,1.081054048651343
1.073273443993183,1.073273443993183,1.073273443993183,1.073273443993183,1.073273443993183
1.066599376716117,1.066599376716117,1.066599376716117,1.066599376716117,1.066599376716117
1.082450286499149,1.082450286499149,1.082450286499149,1.082450286499149,1.082450286499149
1.0862044493424985,1.0862044493424985,1.0862044493424985,1.0862044493424985,1.0862044493424985
1.084535932523232,1.084535932523232,1.084535932523232,1.084535932523232,1.084535932523232
1.0866215785473152,1.0866215785473152,1.0866215785473152,1.0866215785473152,1.0866215785473152
1.0795303820654325,1.0795303820654325,1.0795303820654325,1.0795303820654325,1.0795303820654325
1.074524831607633,1.074524831607633,1.074524831607633,1.074524831607633,1.074524831607633
