date,action,code,theme,name,from_exposure,to_exposure,nav
2016-08-23,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0010004903677758
2016-09-07,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.998466295400049
2016-09-07,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.998466295400049
2016-09-09,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,0.9914140814801706
2016-09-09,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9914140814801706
2016-10-27,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9651554371189023
2016-10-27,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9651554371189023
2016-10-31,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9652585697763296
2016-10-31,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9652585697763296
2016-11-25,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9459966831329871
2016-11-25,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9459966831329871
2016-11-29,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,0.9247595478338902
2016-11-29,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9247595478338902
2016-11-30,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9154362902107286
2016-11-30,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9154362902107286
2016-12-06,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,0.8939624287998479
2016-12-06,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.8939624287998479
2016-12-09,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.8831296452819887
2016-12-09,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.8831296452819887
2016-12-14,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.8966336748863254
2016-12-14,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.8966336748863254
2016-12-15,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.8919753429943235
2016-12-15,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.8919753429943235
2017-01-06,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9249607066139047
2017-01-06,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9249607066139047
2017-01-09,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.928044039613452
2017-01-09,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.928044039613452
2017-01-20,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9523966687759491
2017-01-20,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9523966687759491
2017-02-17,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9861387053053875
2017-02-17,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9861387053053875
2017-02-24,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0056286427966472
2017-02-24,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0056286427966472
2017-02-28,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.006072836334705
2017-02-28,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,1.006072836334705
2017-03-01,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,0.9996596043667598
2017-03-01,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9996596043667598
2017-03-02,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.000298832002834
2017-03-02,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.000298832002834
2017-03-10,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9887314227045065
2017-03-10,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9887314227045065
2017-03-29,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.016295950165303
2017-04-05,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.0,1.0066726926946155
2017-04-06,ADD,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.00684668265686
2017-04-20,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.018494893676193
2017-04-21,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.0158075611409352
2017-04-25,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.0101022213591977
2017-04-26,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.0062591332618123
2017-05-26,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.015637831861365
2017-05-26,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.015637831861365
2017-06-02,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.010662375711365
2017-06-02,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.010662375711365
2017-06-12,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0104248879741389
2017-06-12,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0104248879741389
2017-07-05,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0255655795732148
2017-07-05,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0255655795732148
2017-07-06,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0238083974955186
2017-07-06,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0238083974955186
2017-07-07,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0186212868357516
2017-07-07,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,1.0186212868357516
2017-07-10,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,1.0187087554027732
2017-07-10,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0187087554027732
2017-07-13,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0224415731897112
2017-07-13,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0224415731897112
2017-07-20,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0340304014849573
2017-07-20,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0340304014849573
2017-07-27,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0282378402248664
2017-07-27,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0282378402248664
2017-08-18,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0266666864341631
2017-08-18,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,1.0266666864341631
2017-09-21,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,1.047529990045576
2017-09-21,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.047529990045576
