date,action,code,theme,name,from_exposure,to_exposure,nav
2012-07-04,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9995
2015-08-18,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.7106545484144517
2015-08-18,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.7106545484144517
2015-08-24,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.6138361756148334
2015-08-24,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.5,1.6138361756148334
2015-10-08,SELL,518880,黄金ETF,黄金ETF华安,0.5,0.0,1.6733673436171383
2015-10-08,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.6733673436171383
2015-10-09,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.692734176154698
2015-10-09,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.692734176154698
2015-10-22,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.7557697562150358
2015-10-22,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.7557697562150358
2015-10-23,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.7849498434428368
2015-10-23,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.7849498434428368
2015-11-03,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.7520027548506951
2015-11-03,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.7520027548506951
2015-11-05,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.7798798213383409
2015-11-05,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.7798798213383409
2015-11-24,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.80549127138327
2015-11-24,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.80549127138327
2015-11-26,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.7809230965866645
2015-11-26,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.7809230965866645
2015-11-30,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.6780089053644809
2015-11-30,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.6780089053644809
2015-12-03,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.7101343924936272
2015-12-03,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.7101343924936272
2015-12-10,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.6386560919418378
2015-12-10,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.6386560919418378
2015-12-15,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.6132217882819533
2015-12-15,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.5,1.6132217882819533
2015-12-17,SELL,518880,黄金ETF,黄金ETF华安,0.5,0.0,1.6257161412492804
2015-12-17,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.6257161412492804
2015-12-22,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.6050630165741557
2015-12-22,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.6050630165741557
2015-12-29,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.5443800987038727
2015-12-29,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.5,1.5443800987038727
2015-12-30,SELL,518880,黄金ETF,黄金ETF华安,0.5,0.0,1.542817087216619
2015-12-30,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.542817087216619
2015-12-31,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.5443445375997797
2015-12-31,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.5443445375997797
2016-01-05,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.534294496807416
2016-01-05,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.5,1.534294496807416
2016-03-03,SELL,518880,黄金ETF,黄金ETF华安,0.5,0.0,1.650670527511217
2016-03-03,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.650670527511217
2016-03-09,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.6193026863618214
2016-03-09,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.6193026863618214
2016-03-29,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.6773503324790573
2016-03-29,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.6773503324790573
