date,action,code,theme,name,from_exposure,to_exposure,nav
2012-10-18,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9995
2012-10-19,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,0.9990002500000001
2012-12-14,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9985007498750001
2012-12-18,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.9886363636363634,0.9859930514094843
2012-12-19,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.9886363636363634,1.0,0.9884594264704335
2012-12-25,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.984126984126984,1.019288603913129
2012-12-26,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.984126984126984,1.0,1.022151205330751
2013-01-14,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.9936131386861313,1.0738178737765371
2013-01-15,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.9936131386861313,1.0,1.0800248994487707
2013-02-21,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.27,1.082962883849239
2013-02-26,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.27,0.0,1.0780901403882268
2013-02-27,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,0.27,1.0779445982192744
2013-03-13,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.27,0.0,1.071493704499925
2013-03-20,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,0.27,1.0713490528498175
2013-03-29,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.27,0.0,1.0584551061376937
2013-05-20,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0579258785846248
2013-05-29,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.068723278934571
2013-05-31,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0681889172951038
2013-06-03,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0697040643390214
2013-08-01,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,0.9494047619047619,1.0691962732727653
2013-08-02,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.9494047619047619,0.0,1.0669226341998217
2013-08-12,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.066389172882722
2013-08-15,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0512430795493852
2013-08-23,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0507174580096106
2013-08-27,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.073559659897889
2013-09-02,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.07302288006794
2013-09-05,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.083370552885291
2013-09-05,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.083370552885291
2013-09-09,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0839879607534704
2013-09-09,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0839879607534704
2013-09-17,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.077373941139992
2013-09-17,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.077373941139992
2013-09-23,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0830258784663982
2013-09-23,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0830258784663982
2013-09-25,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0653184053534728
2013-09-25,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0653184053534728
2013-10-08,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0646981763373489
2013-10-08,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0646981763373489
2013-10-09,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0650154155421687
2013-10-09,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0650154155421687
2013-10-11,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.049069747018531
2013-10-11,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.049069747018531
2013-10-16,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0290158827498501
