strategy,year,start_date,end_date,strategy_return,hs300_return,excess_return
baseline,2012,2012-05-28,2012-12-31,0.051843026996870156,-0.030721966205837004,0.08256499320270716
baseline,2013,2012-12-31,2013-12-31,-0.07182678247337204,-0.05863708399365919,-0.013189698479712852
baseline,2014,2013-12-31,2014-12-31,0.39382018511553984,0.5372985893150872,-0.14347840419954738
baseline,2015,2014-12-31,2015-12-31,0.09556780137076726,0.0680185133646376,0.027549288006129657
baseline,2016,2015-12-31,2016-12-30,0.20877358356225018,-0.09686562903164342,0.3056392125938936
baseline,2017,2016-12-30,2017-12-29,0.08394572935934153,0.23368087754307587,-0.14973514818373435
baseline,2018,2017-12-29,2018-12-28,-0.09644708013850434,-0.2416418271617753,0.14519474702327095
baseline,2019,2018-12-28,2019-12-31,0.5184563040602967,0.3859357093623652,0.13252059469793154
baseline,2020,2019-12-31,2020-12-31,0.5448795038681926,0.2907714843749991,0.2541080194931935
baseline,2021,2020-12-31,2021-12-31,0.17460166503541097,-0.0404000983832733,0.21500176341868427
baseline,2022,2021-12-31,2022-12-30,0.413825687418264,-0.20132014717873803,0.615145834597002
baseline,2023,2022-12-30,2023-12-29,0.15123202988050743,-0.09775224647250746,0.2489842763530149
baseline,2024,2023-12-29,2024-12-31,0.2509639529464094,0.17374101990322166,0.07722293304318772
baseline,2025,2024-12-31,2025-12-31,1.2100055883183884,0.20838818873246168,1.0016173995859268
baseline,2026,2025-12-31,2026-07-16,0.23023564815748188,0.025960320810468174,0.2042753273470137
confirm60_top2,2012,2012-05-28,2012-12-31,0.05184302699687038,-0.030721966205837004,0.08256499320270738
confirm60_top2,2013,2012-12-31,2013-12-31,-0.07182678247337204,-0.05863708399365919,-0.013189698479712852
confirm60_top2,2014,2013-12-31,2014-12-31,0.3938201851155403,0.5372985893150872,-0.14347840419954694
confirm60_top2,2015,2014-12-31,2015-12-31,0.08840070082368134,0.0680185133646376,0.020382187459043744
confirm60_top2,2016,2015-12-31,2016-12-30,0.20877358356225062,-0.09686562903164342,0.30563921259389404
confirm60_top2,2017,2016-12-30,2017-12-29,0.09525353870833153,0.23368087754307587,-0.13842733883474434
confirm60_top2,2018,2017-12-29,2018-12-28,-0.018354588234197777,-0.2416418271617753,0.2232872389275775
confirm60_top2,2019,2018-12-28,2019-12-31,0.362015938746282,0.3859357093623652,-0.02391977061608319
confirm60_top2,2020,2019-12-31,2020-12-31,0.42297399829529025,0.2907714843749991,0.13220251392029114
confirm60_top2,2021,2020-12-31,2021-12-31,-0.014051393434645454,-0.0404000983832733,0.026348704948627844
confirm60_top2,2022,2021-12-31,2022-12-30,0.0901371787132863,-0.20132014717873803,0.29145732589202433
confirm60_top2,2023,2022-12-30,2023-12-29,0.2031533602901454,-0.09775224647250746,0.3009056067626529
confirm60_top2,2024,2023-12-29,2024-12-31,0.4444210381614826,0.17374101990322166,0.27068001825826093
confirm60_top2,2025,2024-12-31,2025-12-31,1.0997014690496645,0.20838818873246168,0.8913132803172028
confirm60_top2,2026,2025-12-31,2026-07-16,0.11772220361975871,0.025960320810468174,0.09176188280929054
confirm60_top3,2012,2012-05-28,2012-12-31,0.05184302699687038,-0.030721966205837004,0.08256499320270738
confirm60_top3,2013,2012-12-31,2013-12-31,-0.07182678247337204,-0.05863708399365919,-0.013189698479712852
confirm60_top3,2014,2013-12-31,2014-12-31,0.3938201851155403,0.5372985893150872,-0.14347840419954694
confirm60_top3,2015,2014-12-31,2015-12-31,0.08840070082368134,0.0680185133646376,0.020382187459043744
confirm60_top3,2016,2015-12-31,2016-12-30,0.20877358356225062,-0.09686562903164342,0.30563921259389404
confirm60_top3,2017,2016-12-30,2017-12-29,0.0839457293593402,0.23368087754307587,-0.14973514818373568
