date,baseline_cf60top2_nav,baseline_cf60top2__prs_rc184_en01_ex01_nav,baseline_cf60top2__prs_rc186_en01_ex01_nav,baseline_cf60top2__prs_rc188_en01_ex01_nav,baseline_cf60top2__prs_rc184_en01_ex02_nav,baseline_cf60top2__prs_rc186_en01_ex02_nav,baseline_cf60top2__prs_rc188_en01_ex02_nav,baseline_cf60top2__prs_rc184_en01_ex03_nav,baseline_cf60top2__prs_rc186_en01_ex03_nav,baseline_cf60top2__prs_rc188_en01_ex03_nav,baseline_cf60top2__prs_rc184_en01_ex05_nav,baseline_cf60top2__prs_rc186_en01_ex05_nav,baseline_cf60top2__prs_rc188_en01_ex05_nav,baseline_cf60top2__prs_rc184_en02_ex01_nav,baseline_cf60top2__prs_rc186_en02_ex01_nav,baseline_cf60top2__prs_rc188_en02_ex01_nav,baseline_cf60top2__prs_rc184_en02_ex02_nav,baseline_cf60top2__prs_rc186_en02_ex02_nav,baseline_cf60top2__prs_rc188_en02_ex02_nav,baseline_cf60top2__prs_rc184_en02_ex03_nav,baseline_cf60top2__prs_rc186_en02_ex03_nav,baseline_cf60top2__prs_rc188_en02_ex03_nav,baseline_cf60top2__prs_rc184_en02_ex05_nav,baseline_cf60top2__prs_rc186_en02_ex05_nav,baseline_cf60top2__prs_rc188_en02_ex05_nav,baseline_cf60top2__prs_rc184_en03_ex01_nav,baseline_cf60top2__prs_rc186_en03_ex01_nav,baseline_cf60top2__prs_rc188_en03_ex01_nav,baseline_cf60top2__prs_rc184_en03_ex02_nav,baseline_cf60top2__prs_rc186_en03_ex02_nav,baseline_cf60top2__prs_rc188_en03_ex02_nav,baseline_cf60top2__prs_rc184_en03_ex03_nav,baseline_cf60top2__prs_rc186_en03_ex03_nav,baseline_cf60top2__prs_rc188_en03_ex03_nav,baseline_cf60top2__prs_rc184_en03_ex05_nav,baseline_cf60top2__prs_rc186_en03_ex05_nav,baseline_cf60top2__prs_rc188_en03_ex05_nav,hs300_benchmark
2012-05-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-05-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0153609831029187
2012-05-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.012288786482335
2012-05-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.009984639016897
2012-06-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.009984639016897
2012-06-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9823348694316433
2012-06-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9834869431643621
2012-06-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827188940092163
2012-06-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9765745007680489
2012-06-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.973118279569892
