strategy,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,reentry_count,episode_2018_full,episode_2018_nov,episode_2024_oct,annualized_return_diff,max_drawdown_diff,episode_2018_full_diff,episode_2018_nov_diff,episode_2024_oct_diff,sharpe_rf0_diff,trade_count_diff
current_default,14.07087899237376,0.21397682141280305,0.21086386280601752,1.0147628833379063,-0.2056329109184949,1189,0,-0.2056329109184949,-0.09568346201018652,-0.1441040231891919,0.0,0.0,0.0,0.0,0.0,0.0,0
probe_50_d1,12.34228060670413,0.2034515949641318,0.20744958852976772,0.9807278790284887,-0.217676721139894,1286,149,-0.20909801097634795,-0.09478260109661929,-0.14410402318919202,-0.010525226448671265,-0.01204381022139911,-0.0034651000578530544,0.0009008609135672252,-1.1102230246251565e-16,-0.03403500430941764,97
probe_50_d2,10.288341727012293,0.18915746429622926,0.20362032012281434,0.9289714512880554,-0.21311825446069754,1263,149,-0.20286606689146958,-0.09297216629881222,-0.1441040231891918,-0.024819357116573793,-0.007485343542202649,0.002766844027025317,0.0027112957113742953,1.1102230246251565e-16,-0.08579143204985096,74
probe_50_d3,9.680238178767693,0.1844599729084897,0.1958529710059564,0.9418288216974753,-0.1995007190320779,1246,149,-0.1923877928082217,-0.07797997070044527,-0.1441040231891918,-0.029516848504313353,0.006132191886417004,0.01324511811027318,0.01770349130974125,1.1102230246251565e-16,-0.07293406164043104,57
probe_60_d1,12.678428020234586,0.20559384247389123,0.20795226391715144,0.988658832566498,-0.21402278555036192,1286,149,-0.20837259236648853,-0.09496276424424832,-0.14410402318919202,-0.008382978938911823,-0.008389874631867023,-0.002739681447993636,0.0007206977659381941,-1.1102230246251565e-16,-0.026104050771408316,97
probe_60_d2,10.972536898144456,0.1941697005310956,0.20469407223990163,0.9485848730564536,-0.21034797418325446,1263,149,-0.2033733977508697,-0.09351470466703926,-0.1441040231891918,-0.01980712088170744,-0.004715063264759567,0.0022595131676251823,0.002168757343147254,1.1102230246251565e-16,-0.06617801028145276,74
probe_60_d3,10.464506677704378,0.19047442092138445,0.19811990231937035,0.9614098265319082,-0.19938339735825017,1246,149,-0.1949568821699723,-0.08152812224941308,-0.14410402318919213,-0.023502400491418607,0.006249513560244724,0.010676028748522581,0.014155339760773433,-2.220446049250313e-16,-0.05335305680599811,57
probe_70_d1,13.019412853077093,0.2077175448948272,0.2085458833883138,0.9960280275974365,-0.2103795839986614,1286,149,-0.20766334072694592,-0.09514293191212442,-0.1441040231891919,-0.006259276517975865,-0.004746673080166519,-0.0020304298084510286,0.0005405300980620975,0.0,-0.018734855740469847,97
probe_70_d2,11.69151470590679,0.19915791335733912,0.2059590308409558,0.9669782992479287,-0.20760243000131495,1263,149,-0.20390380719422196,-0.09405710343041918,-0.14410402318919224,-0.01481890805546393,-0.0019695190828200593,0.001729103724272929,0.0016263585797673397,-3.3306690738754696e-16,-0.047784584089977655,74
probe_70_d3,11.293972203041507,0.19643324128161033,0.20076996840952627,0.9783995227858483,-0.19932635231296358,1246,149,-0.19756634903677706,-0.08507254577848888,-0.1441040231891918,-0.017543580131192726,0.006306558605531309,0.008066561881717838,0.010610916231697631,1.1102230246251565e-16,-0.03636336055205802,57
