date,hs300_benchmark,base_pool_nav,plus_510880_nav,plus_520550_nav,plus_both_nav
2016-05-25,1.0,1.0,1.0,1.0,1.0
2016-05-26,1.0,1.0,1.0,1.0,1.0
2016-05-27,1.0006540222367561,1.0,1.0,1.0,1.0
2016-05-30,1.0013080444735123,1.0,1.0,1.0,1.0
2016-05-31,1.036298234139961,1.0,1.0,1.0,1.0
2016-06-01,1.0320470896010465,1.0,1.0,1.0,1.0
2016-06-02,1.0330281229561804,1.0,1.0,1.0,1.0
2016-06-03,1.0451275343361675,1.0,1.0,1.0,1.0
2016-06-06,1.0389143230869848,1.0,1.0,1.0,1.0
2016-06-07,1.0389143230869848,1.0,1.0,1.0,1.0
2016-06-08,1.0376062786134728,1.0,1.0,1.0,1.0
2016-06-13,1.0035971223021583,1.0,1.0,1.0,1.0
2016-06-14,1.0078482668410726,1.0,1.0,1.0,1.0
2016-06-15,1.0212557226945718,1.0,1.0,1.0,1.0
2016-06-16,1.0150425114453892,1.0,1.0,1.0,1.0
2016-06-17,1.0192936559843033,1.0,1.0,1.0,1.0
2016-06-20,1.0196206671026813,1.0,1.0,1.0,1.0
2016-06-21,1.0173315892740353,1.0,1.0,1.0,1.0
2016-06-22,1.0235448005232175,1.0,1.0,1.0,1.0
2016-06-23,1.0202746893394374,1.0,1.0,1.0,1.0
2016-06-24,1.0094833224329627,1.0,1.0,1.0,1.0
2016-06-27,1.0222367560497057,1.0,1.0,1.0,1.0
2016-06-28,1.027468933943754,1.0,1.0,1.0,1.0
2016-06-29,1.0320470896010463,1.0,1.0,1.0,1.0
2016-06-30,1.0336821451929363,1.0,1.0,1.0,1.0
2016-07-01,1.0327011118378022,1.0,1.0,1.0,1.0
2016-07-04,1.0500327011118376,1.011071966410077,1.011071966410077,1.011071966410077,1.011071966410077
2016-07-05,1.0526487900588617,1.012678755303691,1.012678755303691,1.012678755303691,1.012678755303691
2016-07-06,1.05788096795291,1.0177122626304567,1.0177122626304567,1.0177122626304567,1.0177122626304567
2016-07-07,1.059189012426422,1.018970639462148,1.018970639462148,1.018970639462148,1.018970639462148
2016-07-08,1.0552648790058858,1.0125055900507376,1.0125055900507376,1.0125055900507376,1.0125055900507376
2016-07-11,1.05788096795291,1.0197278521471216,1.0197278521471216,1.0197278521471216,1.0197278521471216
