date,single_momentum_nav,threshold_dual_momentum_nav,breadth_dual_momentum_nav,hs300_benchmark
2016-05-25,1.0,1.0,1.0,1.0
2016-05-26,1.0,1.0,1.0,1.0
2016-05-27,1.0,1.0,1.0,1.0006540222367561
2016-05-30,1.0,1.0,1.0,1.0013080444735123
2016-05-31,1.0,1.0,1.0,1.036298234139961
2016-06-01,1.0,1.0,1.0,1.0320470896010465
2016-06-02,1.0,1.0,1.0,1.0330281229561804
2016-06-03,1.0,1.0,1.0,1.0451275343361675
2016-06-06,1.0,1.0,1.0,1.0389143230869848
2016-06-07,1.0,1.0,1.0,1.0389143230869848
2016-06-08,1.0,1.0,1.0,1.0376062786134728
2016-06-13,1.0,1.0,1.0,1.0035971223021583
2016-06-14,1.0,1.0,1.0,1.0078482668410726
2016-06-15,1.0,1.0,1.0,1.0212557226945718
2016-06-16,1.0,1.0,1.0,1.0150425114453892
2016-06-17,1.0,1.0,1.0,1.0192936559843033
2016-06-20,1.0,1.0,1.0,1.0196206671026813
2016-06-21,1.0,1.0,1.0,1.0173315892740353
2016-06-22,1.0,1.0,1.0,1.0235448005232175
2016-06-23,1.0,1.0,1.0,1.0202746893394374
2016-06-24,1.0,1.0,1.0,1.0094833224329627
2016-06-27,1.0,1.0,1.0,1.0222367560497057
2016-06-28,1.0,1.0,1.0,1.027468933943754
2016-06-29,1.0,1.0,1.0,1.0320470896010463
2016-06-30,1.0,1.0,1.0,1.0336821451929363
2016-07-01,1.0,1.0,1.0,1.0327011118378022
2016-07-04,1.013838523442967,1.00692105493352,1.0162743825205827,1.0500327011118376
2016-07-05,1.0106910426871938,1.0086726616861188,1.0188063647878405,1.0526487900588617
2016-07-06,1.0306250874737577,1.0136862567737168,1.0238703293223559,1.05788096795291
2016-07-07,1.0267781665500348,1.0149396555456163,1.0251363204559847,1.059189012426422
2016-07-08,1.0197837648705386,1.0107241645273768,1.021338347055098,1.0552648790058858
2016-07-11,1.0288764870538838,1.0152301364542824,1.0238703293223557,1.05788096795291
2016-07-12,1.020832925122463,1.0112616977835738,1.0498231475617477,1.084695879659908
2016-07-13,1.0113904828551432,1.0065847423467535,1.052038632045598,1.086984957488554
2016-07-14,1.0043960811756472,1.003104158866993,1.0504561431285622,1.085349901896664
2016-07-15,1.0054452414275716,1.0036280642424458,1.051722134262191,1.086657946370176
2016-07-18,1.0019480405878236,1.0018826241307197,1.0479241608613044,1.0827338129496398
2016-07-19,0.9958068344459664,0.9959910035831097,1.0425436985433816,1.0771746239372133
2016-07-20,0.9936906693454436,0.9938744471091928,1.040328214059531,1.0748855461085671
2016-07-21,1.0043987112341661,1.0045844693928745,1.0515388235961056,1.0807717462393718
2016-07-22,0.9907466899164201,0.9909299232069518,1.0372460628870324,1.0712884238064089
2016-07-25,0.9995229893349711,0.9997078457550449,1.0464342662000081,1.070961412688031
2016-07-26,1.005373855614005,1.0055597941204404,1.0525597350753253,1.084695879659908
2016-07-27,1.002448422474488,1.0026338199377427,1.049497000637667,1.0647482014388483
2016-07-28,1.015125299412395,1.0153130413960993,1.0627688498675207,1.0676913015042506
2016-07-29,1.0102495775132,1.0104364177582699,1.0576642924714232,1.0640941792020924
2016-08-01,1.015125299412395,1.0153130413960993,1.0627688498675207,1.0552648790058856
2016-08-02,1.0239015988309461,1.0240909639441926,1.0719570531804965,1.0578809679529098
2016-08-03,1.0073241443736831,1.0075104435755722,1.0546015580337644,1.0591890124264218
2016-08-04,1.0121998662728782,1.0123870672134017,1.0597061154298621,1.0624591236102021
2016-08-05,1.009274433133361,1.0094610930307037,1.0566433809922033,1.0667102681491163
2016-08-08,1.022926454451107,1.0231156392166263,1.0709361417012766,1.0755395683453228
2016-08-09,1.026827031970463,1.0270169381268899,1.0750197876181549,1.0804447351209931
2016-08-10,1.0219513100712683,1.0221403144890606,1.0699152302220574,1.0771746239372129
2016-08-11,1.0219513100712683,1.0221403144890606,1.0699152302220574,1.0758665794637008
2016-08-12,1.026827031970463,1.0270169381268899,1.0750197876181549,1.0948332243296262
2016-08-15,1.0239015988309463,1.0240909639441924,1.0719570531804965,1.1272073250490506
2016-08-16,1.01991025395613,1.0200988808915326,1.0677783798635292,1.1239372138652703
2016-08-17,1.0150162359314432,1.015203957744441,1.0626546676377202,1.1213211249182462
2016-08-18,1.0159847628741259,1.01710187639823,1.0636686510992066,1.1196860693263562
2016-08-19,1.0159847628741259,1.0172787021764635,1.0636686510992066,1.118378024852844
2016-08-22,1.0078461901946816,1.0133892111358167,1.055148105378296,1.1105297580117715
2016-08-23,1.009717767295253,1.0142765922313823,1.0571075224510103,1.1111837802485276
2016-08-24,1.0193158449311395,1.0144539133139403,1.067156073044651,1.1066056245912352
2016-08-25,1.0106775750588415,1.0101989510770415,1.0581123775103742,1.1007194244604308
2016-08-26,1.0106775750588415,1.0109111110707512,1.0581123775103742,1.0994113799869187
2016-08-29,1.0097177672952529,1.0089540497856793,1.0571075224510103,1.0990843688685408
2016-08-30,1.0135569983496073,1.010023612382625,1.0611269426884664,1.1036625245258331
2016-08-31,1.0135569983496073,1.0077086781511415,1.0611269426884664,1.1082406801831253
2016-09-01,1.0017875948217076,1.0062808231342784,1.0488051579213908,1.0964682799215166
2016-09-02,1.0062691975423532,1.0073532360896613,1.053497098681552,1.1013734466971867
2016-09-05,1.0083606121453215,1.0127095985644379,1.055686671036294,1.103662524525833
2016-09-06,1.0170250440719033,1.012887204597157,1.064757756505939,1.1131458469587956
2016-09-07,1.0176225911013228,1.0127222087232002,1.065383348607294,1.1137998691955517
2016-09-08,1.016128723527774,1.0112355348994726,1.0638193683539068,1.1121648136036615
2016-09-09,1.0110495737777088,1.0075040880267299,1.0585018354923905,1.106605624591235
2016-09-12,0.9910317482921573,1.0039960654361075,1.0375445000970034,1.0846958796599075
