strategy,base_strategy,threshold,windows,weights,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,avg_exposure,latest_holding_code,latest_holding_theme,latest_holding_name,latest_momentum,latest_exposure,return_diff,annualized_diff,sharpe_diff,mdd_diff,trade_diff
baseline_k25,baseline_k25,0.05,[25],[1.0],5.9832133198122825,0.21474883122452249,0.2481062365090165,0.865551927457165,-0.25350949628406283,930,0.912082474226804,159941,纳指ETF,纳指ETF广发,0.16850625459896995,1.0,0.0,0.0,0.0,0.0,0
mh_10_20_25_thr04,mh_10_20_25,0.04,"[10, 20, 25]","[0.2, 0.4, 0.4]",5.951434455494487,0.21419436277123238,0.2510575370627443,0.8531684221760725,-0.25350949628406283,903,0.9132371134020616,159941,纳指ETF,纳指ETF广发,0.12735055378763996,1.0,-0.0317788643177952,-0.0005544684532901023,-0.012383505281092555,0.0,-27
mh_20_25_30_thr04,mh_20_25_30,0.04,"[20, 25, 30]","[0.3, 0.4, 0.3]",5.522320595617354,0.2064750052125528,0.2503258572884935,0.8248249200025556,-0.2774979205104844,737,0.928742268041237,159941,纳指ETF,纳指ETF广发,0.17871625350847986,1.0,-0.4608927241949283,-0.008273826011969687,-0.04072700745460944,-0.023988424226421556,-193
mh_10_20_25_thr03,mh_10_20_25,0.03,"[10, 20, 25]","[0.2, 0.4, 0.4]",5.036662689417436,0.19716657391078019,0.25455935447100747,0.7745406737085204,-0.2924735714166343,966,0.9328659793814432,159941,纳指ETF,纳指ETF广发,0.12735055378763996,1.0,-0.9465506303948468,-0.0175822573137423,-0.0910112537486446,-0.038964075132571496,36
mh_10_20_25_thr02,mh_10_20_25,0.02,"[10, 20, 25]","[0.2, 0.4, 0.4]",4.493698063341754,0.18592559994779512,0.25566490607759335,0.7272237820992428,-0.3199492024452234,910,0.9496082474226805,159941,纳指ETF,纳指ETF广发,0.12735055378763996,1.0,-1.4895152564705283,-0.028823231276727368,-0.13832814535792226,-0.06643970616116057,-20
mh_20_25_30_thr03,mh_20_25_30,0.03,"[20, 25, 30]","[0.3, 0.4, 0.3]",4.0632017231355615,0.1762783107265311,0.2527397293000168,0.6974697298867424,-0.30171292205513733,756,0.942762886597938,159941,纳指ETF,纳指ETF广发,0.17871625350847986,1.0,-1.920011596676721,-0.03847052049799138,-0.16808219757042264,-0.048203425771074504,-174
mh_10_20_25_thr01,mh_10_20_25,0.01,"[10, 20, 25]","[0.2, 0.4, 0.4]",4.216118313856451,0.17978684396461952,0.2580582513693702,0.6966909331927644,-0.3176644041488804,892,0.962061855670103,159941,纳指ETF,纳指ETF广发,0.12735055378763996,1.0,-1.7670950059558317,-0.03496198725990296,-0.1688609942644006,-0.06415490786481759,-38
mh_10_20_25_thr05,mh_10_20_25,0.05,"[10, 20, 25]","[0.2, 0.4, 0.4]",3.755041950365759,0.16890814729968073,0.2465798778601607,0.6850037755127415,-0.28588895990151664,864,0.8945979381443298,159941,纳指ETF,纳指ETF广发,0.12735055378763996,1.0,-2.2281713694465237,-0.04584068392484175,-0.18054815194442353,-0.03237946361745381,-66
mh_20_25_30_thr01,mh_20_25_30,0.01,"[20, 25, 30]","[0.3, 0.4, 0.3]",4.070329539070636,0.17644395741562047,0.25925034898637794,0.6805929407828551,-0.40198411052306515,760,0.9670103092783505,159941,纳指ETF,纳指ETF广发,0.17871625350847986,1.0,-1.9128837807416463,-0.03830487380890202,-0.18495898667430988,-0.14847461423900232,-170
mh_20_25_30_thr02,mh_20_25_30,0.02,"[20, 25, 30]","[0.3, 0.4, 0.3]",3.666044322265721,0.1666996009918289,0.25557161283426777,0.652261803034947,-0.29543678670501905,779,0.9549690721649485,159941,纳指ETF,纳指ETF广发,0.17871625350847986,1.0,-2.3171689975465615,-0.048049230232693585,-0.21329012442221806,-0.04192729042095622,-151
mh_15_25_60_thr03,mh_15_25_60,0.03,"[15, 25, 60]","[0.25, 0.5, 0.25]",2.904842348989909,0.14608570358486594,0.2555255643745833,0.5717068033580942,-0.3064575644747739,819,0.949360824742268,159941,纳指ETF,纳指ETF广发,0.14800008017857053,1.0,-3.0783709708223737,-0.06866312763965654,-0.2938451240990708,-0.05294806819071107,-111
mh_20_25_30_thr05,mh_20_25_30,0.05,"[20, 25, 30]","[0.3, 0.4, 0.3]",2.7045739414368457,0.1400617585538091,0.2485842174468402,0.5634378561614087,-0.30578019637587917,773,0.9124123711340206,159941,纳指ETF,纳指ETF广发,0.17871625350847986,1.0,-3.278639378375437,-0.0746870726707134,-0.3021140712957563,-0.052270700091816336,-157
mh_15_25_60_thr01,mh_15_25_60,0.01,"[15, 25, 60]","[0.25, 0.5, 0.25]",2.9015082367327167,0.1459877146406492,0.2591172215595417,0.563404137177749,-0.30882620326626764,802,0.9708865979381444,159941,纳指ETF,纳指ETF广发,0.14800008017857053,1.0,-3.081705083079566,-0.0687611165838733,-0.3021477902794161,-0.05531670698220481,-128
