date,baseline_threshold_dual_nav,overheat_cap_70_nav,overheat_cap_40_nav,overheat_cap_50_nav,hs300_benchmark
2012-05-28,1.0,1.0,1.0,1.0,1.0
2012-05-29,1.0,1.0,1.0,1.0,1.0153609831029187
2012-05-30,1.0,1.0,1.0,1.0,1.012288786482335
2012-05-31,1.0,1.0,1.0,1.0,1.009984639016897
2012-06-01,1.0,1.0,1.0,1.0,1.009984639016897
2012-06-04,1.0,1.0,1.0,1.0,0.9823348694316434
2012-06-05,1.0,1.0,1.0,1.0,0.9834869431643622
2012-06-06,1.0,1.0,1.0,1.0,0.9827188940092164
2012-06-07,1.0,1.0,1.0,1.0,0.976574500768049
2012-06-08,1.0,1.0,1.0,1.0,0.9731182795698922
2012-06-11,1.0,1.0,1.0,1.0,0.9846390168970812
2012-06-12,1.0,1.0,1.0,1.0,0.9784946236559138
2012-06-13,1.0,1.0,1.0,1.0,0.9927035330261135
2012-06-14,1.0,1.0,1.0,1.0,0.9884792626728108
2012-06-15,1.0,1.0,1.0,1.0,0.9923195084485406
2012-06-18,1.0,1.0,1.0,1.0,0.9953917050691243
2012-06-19,1.0,1.0,1.0,1.0,0.9880952380952379
2012-06-20,1.0,1.0,1.0,1.0,0.9869431643625189
2012-06-21,1.0,1.0,1.0,1.0,0.9715821812596003
2012-06-25,1.0,1.0,1.0,1.0,0.9523809523809521
2012-06-26,1.0,1.0,1.0,1.0,0.9523809523809521
2012-06-27,1.0,1.0,1.0,1.0,0.9489247311827955
2012-06-28,1.0,1.0,1.0,1.0,0.9435483870967739
2012-06-29,1.0,1.0,1.0,1.0,0.9543010752688169
2012-07-02,1.0,1.0,1.0,1.0,0.9543010752688169
2012-07-03,1.0,1.0,1.0,1.0,0.9558371735791087
2012-07-04,1.0,1.0,1.0,1.0,0.9558371735791087
2012-07-05,1.0,1.0,1.0,1.0,0.9450844854070656
2012-07-06,1.0,1.0,1.0,1.0,0.9604454685099842
2012-07-09,1.0,1.0,1.0,1.0,0.9412442396313361
2012-07-10,1.0,1.0,1.0,1.0,0.9374039938556064
2012-07-11,1.0,1.0,1.0,1.0,0.9416282642089091
2012-07-12,1.0,1.0,1.0,1.0,0.9500768049155144
2012-07-13,1.0,1.0,1.0,1.0,0.9516129032258063
2012-07-16,1.0,1.0,1.0,1.0,0.9362519201228876
2012-07-17,1.0,1.0,1.0,1.0,0.9381720430107523
2012-07-18,1.0,1.0,1.0,1.0,0.9381720430107523
2012-07-19,1.0,1.0,1.0,1.0,0.941244239631336
2012-07-20,1.0,1.0,1.0,1.0,0.9343317972350225
2012-07-23,1.0,1.0,1.0,1.0,0.9228110599078336
2012-07-24,1.0,1.0,1.0,1.0,0.9247311827956983
2012-07-25,1.0,1.0,1.0,1.0,0.9189708141321038
2012-07-26,1.0,1.0,1.0,1.0,0.9147465437788013
2012-07-27,1.0,1.0,1.0,1.0,0.9158986175115201
2012-07-30,1.0,1.0,1.0,1.0,0.9128264208909364
2012-07-31,1.0,1.0,1.0,1.0,0.9105222734254986
2012-08-01,1.0,1.0,1.0,1.0,0.9174347158218119
2012-08-02,1.0,1.0,1.0,1.0,0.9105222734254986
2012-08-03,1.0,1.0,1.0,1.0,0.91589861751152
2012-08-06,1.0,1.0,1.0,1.0,0.927803379416282
2012-08-07,1.0,1.0,1.0,1.0,0.9289554531490009
2012-08-08,1.0,1.0,1.0,1.0,0.9297235023041467
2012-08-09,1.0,1.0,1.0,1.0,0.9389400921658979
2012-08-10,1.0,1.0,1.0,1.0,0.9362519201228873
2012-08-13,1.0,1.0,1.0,1.0,0.9185867895545308
2012-08-14,1.0,1.0,1.0,1.0,0.9170506912442389
2012-08-15,1.0,1.0,1.0,1.0,0.9086021505376337
2012-08-16,1.0,1.0,1.0,1.0,0.905913978494623
2012-08-17,1.0,1.0,1.0,1.0,0.9020737327188934
2012-08-20,1.0,1.0,1.0,1.0,0.8970814132104447
2012-08-21,1.0,1.0,1.0,1.0,0.9005376344086015
2012-08-22,1.0,1.0,1.0,1.0,0.894009216589861
2012-08-23,1.0,1.0,1.0,1.0,0.8982334869431636
2012-08-24,1.0,1.0,1.0,1.0,0.8894009216589854
2012-08-27,1.0,1.0,1.0,1.0,0.8709677419354831
2012-08-28,1.0,1.0,1.0,1.0,0.8709677419354831
2012-08-29,1.0,1.0,1.0,1.0,0.8652073732718887
2012-08-30,1.0,1.0,1.0,1.0,0.861367127496159
2012-08-31,1.0,1.0,1.0,1.0,0.861367127496159
2012-09-03,1.0,1.0,1.0,1.0,0.8667434715821806
2012-09-04,1.0,1.0,1.0,1.0,0.8575268817204293
2012-09-05,1.0,1.0,1.0,1.0,0.8571428571428564
2012-09-06,1.0,1.0,1.0,1.0,0.8655913978494615
2012-09-07,1.0,1.0,1.0,1.0,0.9051459293394769
2012-09-10,1.0,1.0,1.0,1.0,0.9082181259600607
2012-09-11,1.0,1.0,1.0,1.0,0.9013056835637472
2012-09-12,1.0,1.0,1.0,1.0,0.9059139784946227
2012-09-13,1.0,1.0,1.0,1.0,0.8970814132104445
2012-09-14,1.0,1.0,1.0,1.0,0.903225806451612
