date,action,code,theme,name,from_exposure,to_exposure,nav
2016-07-04,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.011071966410077
2016-07-05,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.012678755303691
2016-07-05,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.012678755303691
2016-07-08,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0125055900507376
2016-07-08,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0125055900507376
2016-07-19,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9923171695462629
2016-07-19,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9923171695462629
2016-07-21,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0008789373114944
2016-07-21,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.0008789373114944
2016-08-16,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.016336122015111
2016-08-16,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.016336122015111
2016-08-17,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.011459254387799
2016-08-17,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.011459254387799
2016-08-18,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0065740133027938
2016-08-18,BUY,510880,红利ETF,红利ETF华泰柏瑞,0.0,0.8,1.0065740133027938
2016-09-07,SELL,510880,红利ETF,红利ETF华泰柏瑞,0.8,0.0,1.0062730467314425
2016-09-07,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0062730467314425
2016-09-09,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0017596345353594
2016-09-09,BUY,510880,红利ETF,红利ETF华泰柏瑞,0.0,0.8,1.0017596345353594
2016-09-22,SELL,510880,红利ETF,红利ETF华泰柏瑞,0.8,0.0,0.9912811293149629
2016-09-22,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9912811293149629
2016-10-11,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9578228217484482
2016-10-11,BUY,510880,红利ETF,红利ETF华泰柏瑞,0.0,0.8,0.9578228217484482
2016-10-27,SELL,510880,红利ETF,红利ETF华泰柏瑞,0.8,0.0,0.9719580239920761
2016-10-27,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9719580239920761
2016-10-31,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.966678301255917
2016-10-31,BUY,510880,红利ETF,红利ETF华泰柏瑞,0.0,0.8,0.966678301255917
2016-11-25,SELL,510880,红利ETF,红利ETF华泰柏瑞,0.8,0.0,1.0135287855504493
2016-11-25,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0135287855504493
2016-11-29,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,0.990775589548769
2016-11-29,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.990775589548769
2016-11-30,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9807867701959547
2016-11-30,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9807867701959547
2016-12-06,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,0.956718422985822
2016-12-06,BUY,510880,红利ETF,红利ETF华泰柏瑞,0.0,0.8,0.956718422985822
2016-12-09,SELL,510880,红利ETF,红利ETF华泰柏瑞,0.8,0.0,0.9451338640217083
2016-12-09,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9451338640217083
2016-12-14,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9501879091613036
2016-12-14,BUY,510880,红利ETF,红利ETF华泰柏瑞,0.0,0.8,0.9501879091613036
2016-12-15,SELL,510880,红利ETF,红利ETF华泰柏瑞,0.8,0.0,0.9452513439121767
2016-12-15,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9452513439121767
2017-01-06,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9802068609404535
2017-01-06,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9802068609404535
2017-01-09,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9834743555908851
2017-01-09,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9834743555908851
2017-01-20,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.009281521253526
2017-01-20,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.009281521253526
2017-01-23,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.981424645064115
2017-01-23,BUY,510880,红利ETF,红利ETF华泰柏瑞,0.0,0.8,0.981424645064115
2017-01-24,SELL,510880,红利ETF,红利ETF华泰柏瑞,0.8,0.0,0.9794690292506695
2017-01-24,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9794690292506695
2017-02-08,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,0.9925532452237806
2017-02-09,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,0.9977042975607386
2017-02-17,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0112372242074061
2017-02-17,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.0112372242074061
2017-02-24,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0312232060805482
2017-02-24,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0312232060805482
2017-02-28,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0316787049246963
2017-02-28,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,1.0316787049246963
2017-03-01,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,1.0251022478212763
2017-03-01,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0251022478212763
2017-03-02,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.025757744636139
2017-03-02,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.025757744636139
2017-03-10,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.013895929652932
2017-03-10,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.013895929652932
2017-03-13,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.020906700106133
2017-03-13,BUY,510880,红利ETF,红利ETF华泰柏瑞,0.0,0.8,1.020906700106133
2017-03-20,SELL,510880,红利ETF,红利ETF华泰柏瑞,0.8,0.0,1.0203433168478786
2017-03-20,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0203433168478786
2017-03-22,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0088708370667716
2017-03-22,BUY,510880,红利ETF,红利ETF华泰柏瑞,0.0,0.8,1.0088708370667716
2017-03-23,SELL,510880,红利ETF,红利ETF华泰柏瑞,0.8,0.0,1.0089352652447239
2017-03-23,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0089352652447239
2017-03-27,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0078528055262834
2017-03-27,BUY,510880,红利ETF,红利ETF华泰柏瑞,0.0,0.8,1.0078528055262834
2017-03-28,SELL,510880,红利ETF,红利ETF华泰柏瑞,0.8,0.0,1.0050324302352989
2017-03-28,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0050324302352989
2017-03-29,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.002413300608836
2017-04-05,SELL,518880,黄金ETF,黄金ETF华安,1.0,0.0,1.0039688060681526
