strategy,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,avg_exposure,latest_holding_code,latest_holding_theme,latest_holding_name,latest_momentum,latest_exposure,threshold,weak_trend_def_weight,return_diff,annualized_diff,sharpe_diff,mdd_diff,trade_diff
thr_5%_def_80%,5.9832133198122825,0.21474883122452249,0.2481062365090165,0.865551927457165,-0.25350949628406283,930,0.912082474226804,159941,纳指ETF,纳指ETF广发,0.16850625459896995,1.0,0.05,0.8,0.3905990410615763,0.006978580708992377,0.08427013667558403,0.016586343687938765,125
thr_5%_def_70%,5.745511595530603,0.21054518794704524,0.24563852467433858,0.8571342309850655,-0.25350949628406283,930,0.8815257731958764,159941,纳指ETF,纳指ETF广发,0.16850625459896995,1.0,0.05,0.7,0.15289731677989682,0.0027749374315151343,0.07585244020348447,0.016586343687938765,125
thr_5%_def_60%,5.510650287792359,0.2062587509069378,0.2434820811361561,0.8471208638618343,-0.25350949628406294,930,0.8509690721649484,159941,纳指ETF,纳指ETF广发,0.16850625459896995,1.0,0.05,0.6,-0.08196399095834739,-0.001511499608592315,0.06583907308025327,0.016586343687938654,125
single_momentum,5.592614278750706,0.2077702505155301,0.2659350991755232,0.781281790781581,-0.2700958399720016,805,0.9892783505154639,159941,纳指ETF,纳指ETF广发,0.16850625459896995,1.0,,,0.0,0.0,0.0,0.0,0
thr_4%_def_80%,4.3234365613211345,0.18219430324587926,0.25020632985060576,0.7281762350083812,-0.32248080123021106,943,0.9256907216494846,159941,纳指ETF,纳指ETF广发,0.16850625459896995,1.0,0.04,0.8,-1.2691777174295718,-0.025575947269650845,-0.05310555577319975,-0.05238496125820946,138
thr_4%_def_70%,4.254126476892266,0.18064453263565206,0.2483027347018368,0.7275172899427425,-0.31999031476590634,943,0.9019381443298968,159941,纳指ETF,纳指ETF广发,0.16850625459896995,1.0,0.04,0.7,-1.3384878018584399,-0.027125717879878053,-0.05376450083883855,-0.04989447479390474,138
thr_4%_def_60%,4.182450899788607,0.1790223978851222,0.24664204872738638,0.7258389184197694,-0.31757748896536486,943,0.8781855670103093,159941,纳指ETF,纳指ETF广发,0.16850625459896995,1.0,0.04,0.6,-1.4101633789620989,-0.02874785263040791,-0.05544287236181156,-0.04748164899336327,138
thr_6%_def_80%,3.3538218624703475,0.158639536507041,0.24427232791252243,0.6494371993042625,-0.29633247339624214,882,0.8964123711340205,159941,纳指ETF,纳指ETF广发,0.16850625459896995,1.0,0.06,0.8,-2.2387924162803587,-0.04913071400848912,-0.13184459147731853,-0.02623663342424054,77
thr_6%_def_70%,3.211685868464804,0.15479659032957316,0.24117232159715157,0.6418505627198036,-0.29072286091305566,882,0.8580206185567012,159941,纳指ETF,纳指ETF广发,0.16850625459896995,1.0,0.06,0.7,-2.380928410285902,-0.05297366018595695,-0.13943122806177743,-0.020627020941054064,77
thr_6%_def_60%,3.0701611264712465,0.15085241166369645,0.23845473578102458,0.6326249347474724,-0.285160702641995,882,0.8196288659793814,159941,纳指ETF,纳指ETF广发,0.16850625459896995,1.0,0.06,0.6,-2.5224531522794598,-0.05691783885183366,-0.1486568560341086,-0.015064862669993406,77
