date,action,code,theme,name,from_exposure,to_exposure,nav
2012-10-18,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9995
2012-10-19,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,0.9990002500000001
2012-12-14,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,0.8532643826761475,0.9985740443341954
2012-12-17,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.8532643826761475,0.8653846153846154,1.0010572656113481
2012-12-18,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,0.8653846153846154,0.8391608391608392,0.9877055367292439
2012-12-19,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.8391608391608392,0.8511979823455234,0.9898014657417437
2012-12-20,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.8511979823455234,0.8630393996247656,0.9954786544697132
2012-12-21,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,0.8630393996247656,0.8622828784119105,0.9918805518920715
2012-12-24,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.8622828784119105,0.8861538461538461,0.9925880332581346
2012-12-25,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,0.8861538461538461,0.8363858363858363,1.0169545991701467
2012-12-26,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.8363858363858363,0.8964264082374318,1.019358160753174
2012-12-27,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.8964264082374318,0.9194711538461539,1.0174838612194919
2012-12-28,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,0.9194711538461539,0.8944543828264759,1.0312290070466357
2012-12-31,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.8944543828264759,0.9763313609467454,1.0460394397495676
2013-01-04,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,0.9763313609467454,0.9747504403992953,1.0484663790677835
2013-01-07,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.9747504403992953,1.0,1.0500689213233514
2013-01-14,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.8422234699606963,1.0678035266089223
2013-01-15,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.8422234699606963,0.9085841694537347,1.073002667826205
2013-01-16,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.9085841694537347,1.0,1.0658075950039925
2013-02-21,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.27,1.0765986380111632
2013-02-26,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.27,0.0,1.071754530192013
2013-02-27,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,0.27,1.071609843330437
2013-03-13,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.27,0.0,1.0651968595654522
2013-03-20,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,0.27,1.0650530579894109
2013-03-29,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.27,0.0,1.052234885108434
2013-05-20,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0517087676658798
2013-05-29,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0624427149545403
2013-05-31,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.061911493597063
2013-06-03,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0634177365793438
2013-08-01,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,0.815018315018315,1.06298438411343
2013-08-02,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.815018315018315,0.0,1.0610438127763613
2013-08-12,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0605132908699733
2013-08-15,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0454506536140649
2013-08-23,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.044927928287258
2013-08-27,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0676442679794265
2013-09-02,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0671104458454368
2013-09-05,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0774011022318941
2013-09-05,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0774011022318941
2013-09-09,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0780151081377511
2013-09-09,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0780151081377511
