date,hs300_benchmark,base_pool,plus_kc50,plus_hstech,plus_10y_bond,plus_germany,plus_china_internet,plus_30y_bond,plus_semiconductor,plus_solar,plus_convertible_bond,plus_kc50_convertible_bond,plus_csi500,plus_csi500_convertible_bond,plus_csi1000,plus_csi1000_convertible_bond,plus_hshares,plus_sse50,plus_financial,plus_india_lof,plus_dow,replace_div_lowvol_with_dividend
2023-04-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-04-06,0.9970731707317075,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-04-07,1.004146341463415,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-04-10,1.0004878048780492,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-04-11,0.9980487804878049,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-04-12,0.9970731707317075,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-04-13,0.9909756097560978,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-04-14,0.9960975609756101,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-04-17,1.0109756097560978,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-04-18,1.0126829268292685,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-04-19,1.0046341463414634,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-04-20,1.0007317073170732,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-04-21,0.9829268292682927,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-04-24,0.9704878048780489,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-04-25,0.9658536585365854,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-04-26,0.9636585365853658,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-04-27,0.9721951219512198,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-04-28,0.9817073170731712,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-05-04,0.9817073170731712,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-05-05,0.977804878048781,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-05-08,0.9887804878048787,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-05-09,0.9802439024390248,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-05-10,0.9726829268292688,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-05-11,0.9714634146341469,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-05-12,0.9590243902439028,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-05-15,0.9743902439024398,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2023-05-16,0.9702439024390251,0.9895935766423358,0.9895935766423358,0.9895935766423358,0.9895935766423358,0.9895935766423358,0.9895935766423358,,0.9895935766423358,0.9895935766423358,0.9895935766423358,0.9895935766423358,0.9895935766423358,0.9895935766423358,0.9895935766423358,0.9895935766423358,0.9895935766423358,0.9895935766423358,0.9947540360873697,1.00033153078203,,0.9944672657252888
2023-05-17,0.9636585365853664,1.0002097806073358,1.0002097806073358,1.0002097806073358,1.0002097806073358,1.0002097806073358,1.0002097806073358,,1.0002097806073358,1.0002097806073358,1.0002097806073358,1.0002097806073358,1.0002097806073358,1.0002097806073358,1.0002097806073358,1.0002097806073358,1.0002097806073358,1.0002097806073358,0.9833637226970563,1.0109617324564997,,1.0051357538588483
2023-05-18,0.9634146341463421,1.0179126085826868,1.0179126085826868,1.0179126085826868,1.0179126085826868,1.0179126085826868,1.0179126085826868,,1.0179126085826868,1.0179126085826868,1.0179126085826868,1.0179126085826868,1.0179126085826868,1.0179126085826868,1.0179126085826868,1.0179126085826868,1.0179126085826868,1.0179126085826868,0.990008072174739,1.0288548604645793,,1.0229257672014829
2023-05-19,0.9619512195121956,1.0205680327789897,1.0205680327789897,1.0205680327789897,1.0205680327789897,1.0205680327789897,1.0205680327789897,,1.0205680327789897,1.0205680327789897,1.0205680327789897,1.0205680327789897,1.0205680327789897,1.0205680327789897,1.0205680327789897,1.0205680327789897,1.0205680327789897,1.0205680327789897,0.99159811122631,1.0315388296657915,,1.025594269202878
2023-05-22,0.9668292682926835,1.02764916396913,1.02764916396913,1.02764916396913,1.02764916396913,1.02764916396913,1.02764916396913,,1.02764916396913,1.02764916396913,1.02764916396913,1.02764916396913,1.02764916396913,1.02764916396913,1.02764916396913,1.02764916396913,1.02764916396913,1.02764916396913,0.9984782368896321,1.0386960808690233,,1.032710274539932
2023-05-23,0.9529268292682931,1.011716618791314,1.011716618791314,1.011716618791314,1.011716618791314,1.011716618791314,1.011716618791314,,1.011716618791314,1.011716618791314,1.011716618791314,1.011716618791314,1.011716618791314,1.011716618791314,1.011716618791314,1.011716618791314,1.011716618791314,1.011716618791314,0.9829979541471572,1.0225922656617517,,1.016699262531561
2023-05-24,0.9400000000000005,0.9958614389897487,0.9958614389897487,0.9958614389897487,0.9958614389897487,0.9958614389897487,0.9958614389897487,,0.9958614389897487,0.9958614389897487,0.9958614389897487,0.9958614389897487,0.9958614389897487,0.9958614389897487,0.9958614389897487,0.9958614389897487,0.9958614389897487,0.9958614389897487,0.9675928406814971,1.0065666474850659,,1.000765996919284
2023-05-25,0.9378048780487809,1.0107049021725225,1.0107049021725225,1.0107049021725225,1.0107049021725225,1.0107049021725225,1.0107049021725225,,1.0107049021725225,1.0107049021725225,1.0107049021725225,1.0107049021725225,1.0107049021725225,1.0107049021725225,1.0107049021725225,1.0107049021725225,1.0107049021725225,1.0107049021725225,0.9820149561930098,1.0215696733960897,,1.0156825632690292
2023-05-26,0.9390243902439027,1.014753119404188,1.014753119404188,1.014753119404188,1.014753119404188,1.014753119404188,1.014753119404188,,1.014753119404188,1.014753119404188,1.014753119404188,1.014753119404188,1.014753119404188,1.014753119404188,1.014753119404188,1.014753119404188,1.014753119404188,1.014753119404188,0.9859482604234224,1.02566140773546,,1.0197507177280507
2023-05-29,0.9351219512195126,1.051187074489179,1.051187074489179,1.051187074489179,1.051187074489179,1.051187074489179,1.051187074489179,,1.051187074489179,1.051187074489179,1.051187074489179,1.051187074489179,1.051187074489179,1.051187074489179,1.051187074489179,1.051187074489179,1.051187074489179,1.051187074489179,1.0213479984971356,1.0624870167897915,,1.0563641078592438
2023-05-30,0.9360975609756103,1.0525364802330675,1.0525364802330675,1.0525364802330675,1.0525364802330675,1.0525364802330675,1.0525364802330675,,1.0525364802330675,1.0525364802330675,1.0525364802330675,1.0525364802330675,1.0525364802330675,1.0525364802330675,1.0525364802330675,1.0525364802330675,1.0525364802330675,1.0525364802330675,1.022659099907273,1.0638509282362483,,1.0577201593455843
2023-05-31,0.9273170731707323,1.0484882630014019,1.0484882630014019,1.0484882630014019,1.0484882630014019,1.0484882630014019,1.0484882630014019,,1.0484882630014019,1.0484882630014019,1.0484882630014019,1.0484882630014019,1.0484882630014019,1.0484882630014019,1.0484882630014019,1.0484882630014019,1.0484882630014019,1.0484882630014019,1.0187257956768605,1.059759193896878,,1.0536520048865627
2023-06-01,0.9292682926829274,1.0471388572575135,1.0471388572575135,1.0471388572575135,1.0471388572575135,1.0471388572575135,1.0471388572575135,,1.0471388572575135,1.0471388572575135,1.0471388572575135,1.0471388572575135,1.0471388572575135,1.0471388572575135,1.0471388572575135,1.0471388572575135,1.0471388572575135,1.0471388572575135,1.0174146942667233,1.0583952824504215,,1.0522959534002225
2023-06-02,0.9421951219512199,1.060632914696399,1.060632914696399,1.060632914696399,1.060632914696399,1.060632914696399,1.060632914696399,,1.060632914696399,1.060632914696399,1.060632914696399,1.060632914696399,1.060632914696399,1.060632914696399,1.060632914696399,1.060632914696399,1.060632914696399,1.060632914696399,1.0305257083680985,1.0720343969149888,,1.0658564682636273
2023-06-05,0.9378048780487808,1.0660305376719532,1.0660305376719532,1.0660305376719532,1.0660305376719532,1.0660305376719532,1.0660305376719532,,1.0660305376719532,1.0660305376719532,1.0660305376719532,1.0660305376719532,1.0660305376719532,1.0660305376719532,1.0660305376719532,1.0660305376719532,1.0660305376719532,1.0660305376719532,1.0357701140086486,1.0774900427008156,,1.0712806742089893
2023-06-06,0.9287804878048783,1.0673799434158417,1.0673799434158417,1.0673799434158417,1.0673799434158417,1.0673799434158417,1.0673799434158417,,1.0673799434158417,1.0673799434158417,1.0673799434158417,1.0673799434158417,1.0673799434158417,1.0673799434158417,1.0673799434158417,1.0673799434158417,1.0673799434158417,1.0673799434158417,1.037081215418786,1.0788539541472724,,1.0726367256953298
