pool,risk_codes,defensive_codes,start_date,end_date,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,return_diff,annualized_diff,sharpe_diff,mdd_diff,trade_diff
base_pool,"510300,159949,159941,513650,513880","511580,518880,512890",2023-04-04,2026-07-15,3.04726092193739,0.5314866429507177,0.2777332790520752,1.9136584739312554,-0.16357734423849457,194,326,0.8946700507614214,0.021693121693121764,0.8,0.0,0.0,0.0,0.0,0
plus_kc50,"510300,159949,159941,513650,513880,588000","511580,518880,512890",2023-04-04,2026-07-15,1.8930197166420801,0.3824781016078438,0.2907688298150554,1.3154026924107387,-0.18150909347366906,193,331,0.8931472081218274,0.15555555555555567,1.0,-1.15424120529531,-0.1490085413428739,-0.5982557815205167,-0.017931749235174488,-1
plus_hstech,"510300,159949,159941,513650,513880,513180","511580,518880,512890",2023-04-04,2026-07-15,3.0241138360087696,0.5288108842306982,0.2751184698217984,1.922120621611567,-0.25360910312478246,195,328,0.8982233502538071,0.021693121693121764,0.8,-0.02314708592862047,-0.002675758720019461,0.008462147680311505,-0.0900317588862879,1
plus_10y_bond,"510300,159949,159941,513650,513880","511580,518880,512890,511260",2023-04-04,2026-07-15,2.9308726607614126,0.517922731012644,0.27769268424645827,1.8650931781586884,-0.17287739933694168,198,339,0.8946700507614214,0.021693121693121764,0.8,-0.11638826117597745,-0.013563911938073714,-0.048565295772567074,-0.009300055098447113,4
plus_germany,"510300,159949,159941,513650,513880,513030","511580,518880,512890",2023-04-04,2026-07-15,2.933818823474521,0.5182694979855362,0.293915874750592,1.7633259803517718,-0.15678765892829238,197,332,0.901143583227446,0.021693121693121764,0.8,-0.11344209846286901,-0.013217144965181449,-0.15033249357948364,0.006789685310202187,3
plus_china_internet,"510300,159949,159941,513650,513880,513050","511580,518880,512890",2023-04-04,2026-07-15,3.5579786284148716,0.5879929196009799,0.28510443290785237,2.0623773317162803,-0.2130890804579082,197,327,0.8944162436548223,0.021693121693121764,0.8,0.5107177064774815,0.0565062766502622,0.14871885778502492,-0.04951173621941363,3
plus_30y_bond,"510300,159949,159941,513650,513880","511580,518880,512890,511090",2023-06-13,2026-07-15,2.300075764941105,0.47197250257752255,0.28254315138476027,1.6704439667511248,-0.15703472274164776,196,332,0.887601078167116,0.021693121693121764,0.8,-0.7471851569962848,-0.059514140373195135,-0.2432145071801306,0.006542621496846812,2
plus_semiconductor,"510300,159949,159941,513650,513880,512480","511580,518880,512890",2023-04-04,2026-07-15,2.7539877424347092,0.4967634976617685,0.3033138340907979,1.6377871426499488,-0.16772793429403166,204,346,0.8855329949238578,0.18500405581745372,1.0,-0.29327317950268084,-0.03472314528894915,-0.2758713312813066,-0.0041505900555370845,10
plus_solar,"510300,159949,159941,513650,513880,515790","511580,518880,512890",2023-04-04,2026-07-15,1.9310257271351188,0.38799023499332685,0.2834820214020187,1.3686590531365666,-0.26193646851448904,208,354,0.900253807106599,0.021693121693121764,0.8,-1.1162351948022713,-0.14349640795739083,-0.5449994207946889,-0.09835912427599447,14
plus_convertible_bond,"510300,159949,159941,513650,513880","511580,518880,512890,511380",2023-04-04,2026-07-15,2.866792902918705,0.5103353583126413,0.2775728689113885,1.8385635466251538,-0.1808439018246013,203,346,0.8946700507614214,0.021693121693121764,0.8,-0.18046801901868514,-0.021151284638076362,-0.07509492730610168,-0.017266557586106734,9
plus_kc50_convertible_bond,"510300,159949,159941,513650,513880,588000","511580,518880,512890,511380",2023-04-04,2026-07-15,1.8460436715334887,0.3755950122380627,0.2905870516672611,1.2925387077058772,-0.18150909347366928,198,342,0.8931472081218274,0.15555555555555567,1.0,-1.2012172504039014,-0.155891630712655,-0.6211197662253782,-0.01793174923517471,4
plus_csi500,"510300,159949,159941,513650,513880,510500","511580,518880,512890",2023-04-04,2026-07-15,3.0789422717987422,0.5351317571537533,0.27147360592695724,1.9712109960985893,-0.15045214604307455,188,320,0.8992385786802031,0.021693121693121764,0.8,0.03168134986135218,0.003645114203035593,0.057552522167333864,0.013125198195420018,-6
plus_csi500_convertible_bond,"510300,159949,159941,513650,513880,510500","511580,518880,512890,511380",2023-04-04,2026-07-15,2.914384136266087,0.5159786691577002,0.27140258005904006,1.9011560945568602,-0.16069889174020702,193,334,0.9,0.021693121693121764,0.8,-0.13287678567130312,-0.015507973793017493,-0.012502379374395245,0.0028784524982875537,-1
plus_csi1000,"510300,159949,159941,513650,513880,512100","511580,518880,512890",2023-04-04,2026-07-15,2.9642828342137633,0.5218446096028961,0.2726615413658315,1.913891511757921,-0.17040341096014988,187,318,0.9017766497461929,0.021693121693121764,0.8,-0.0829780877236268,-0.009642033347821544,0.00023303782666550532,-0.006826066721655311,-7
plus_csi1000_convertible_bond,"510300,159949,159941,513650,513880,512100","511580,518880,512890,511380",2023-04-04,2026-07-15,2.921909839723416,0.5168666838982736,0.2725784596934244,1.8962125051246017,-0.173672040328808,192,330,0.9017766497461929,0.021693121693121764,0.8,-0.12535108221397406,-0.014619959052444065,-0.017445968806653722,-0.010094696090313438,-2
plus_hshares,"510300,159949,159941,513650,513880,510900","511580,518880,512890",2023-04-04,2026-07-15,3.2743101450043,0.557185731755399,0.2779064495451811,2.004939909337417,-0.19169210451100038,191,322,0.9025380710659899,0.021693121693121764,0.8,0.2270492230669099,0.025699088804681303,0.09128143540616174,-0.028114760272505812,-3
plus_sse50,"510300,159949,159941,513650,513880,510050","511580,518880,512890",2023-04-04,2026-07-15,2.8390821187494186,0.5070271758671165,0.27764571298140006,1.8261660532143102,-0.20334751695010556,193,333,0.8934010152284264,0.05039424065821074,1.0,-0.20817880318797144,-0.02445946708360114,-0.08749242071694519,-0.039770172711610985,-1
plus_financial,"510300,159949,159941,513650,513880,510230","511580,518880,512890",2023-04-04,2026-07-15,2.331516302452294,0.4432604671119835,0.2780330668073569,1.5942724806150814,-0.22035090078695296,188,332,0.8898477157360407,0.022943037974682667,0.8,-0.715744619485096,-0.08822617583873416,-0.319385993316174,-0.05677355654845839,-6
plus_india_lof,"510300,159949,159941,513650,513880,164824","511580,518880,512890",2023-04-04,2026-07-15,2.499773122433634,0.46510445737151707,0.28500382822502185,1.6319235438630622,-0.2551306217067363,191,331,0.8931472081218275,0.02551834130781505,0.8,-0.5474877995037559,-0.06638218557920061,-0.2817349300681933,-0.09155327746824171,-3
plus_dow,"510300,159949,159941,513650,513880,513400","511580,518880,512890",2024-02-02,2026-07-15,2.430647778865636,0.6547473391824485,0.31283329446819846,2.092959255809032,-0.1441040231891918,137,222,0.8775300171526587,0.03797468354430378,0.8,-0.6166131430717541,0.12326069623173086,0.17930078187777676,0.019473321049302772,-57
replace_div_lowvol_with_dividend,"510300,159949,159941,513650,513880","511580,518880,510880",2023-04-04,2026-07-15,2.995703102983896,0.52551199309841,0.2776348803757712,1.8928168981762807,-0.17033650042054982,191,318,0.8939086294416243,0.021693121693121764,0.8,-0.051557818953494206,-0.005974649852307667,-0.020841575754974695,-0.006759156182055248,-3
