date,action,code,theme,name,from_exposure,to_exposure,nav
2023-05-16,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,0.9895935766423358
2023-05-17,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,1.0002097806073358
2023-05-17,BUY,513880,日经ETF,日经225ETF华安,0.0,1.0,1.0002097806073358
2023-05-24,SELL,513880,日经ETF,日经225ETF华安,1.0,0.0,0.9958614389897487
2023-05-24,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9958614389897487
2023-07-24,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.1450434674223215
2023-07-24,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.1450434674223215
2023-07-26,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.137668797995516
2023-07-26,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,1.137668797995516
2023-07-31,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,1.1726107282973826
2023-07-31,BUY,513050,中概互联,中概互联网ETF,0.0,0.7,1.1726107282973826
2023-08-16,SELL,513050,中概互联,中概互联网ETF,0.7,0.0,1.1286236767950515
2023-08-16,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,1.1286236767950515
2023-08-21,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,1.1290503294496506
2023-08-21,BUY,518880,黄金ETF,黄金ETF华安,0.0,1.0,1.1290503294496506
2023-08-23,SELL,518880,黄金ETF,黄金ETF华安,1.0,0.0,1.1225557832727515
2023-08-23,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,1.0,1.1225557832727515
2023-08-24,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,1.0,0.0,1.1208367839050253
2023-08-24,BUY,511580,政金ETF,国债政金债ETF招商,0.0,1.0,1.1208367839050253
2023-08-25,SELL,511580,政金ETF,国债政金债ETF招商,1.0,0.0,1.1188698891688802
2023-08-25,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,1.1188698891688802
2023-08-30,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,1.132501078626562
2023-08-30,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.132501078626562
2023-09-01,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.1345640221631779
2023-09-04,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.1378875289363568
2023-09-05,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.1382787440628166
2023-09-07,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.1372055047683756
2023-09-27,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.1351898269389338
2023-09-28,SELL,518880,黄金ETF,黄金ETF华安,1.0,0.0,1.1332160736971275
2023-09-28,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,1.1332160736971275
2023-10-09,ADD,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,1.0,1.129532050139895
2023-10-10,REDUCE,512890,红利低波ETF,红利低波ETF华泰柏瑞,1.0,0.8,1.1170419013520332
2023-10-11,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,1.1150839303025615
2023-10-11,BUY,511580,政金ETF,国债政金债ETF招商,0.0,0.8,1.1150839303025615
2023-10-13,SELL,511580,政金ETF,国债政金债ETF招商,0.8,0.0,1.1127583133408638
2023-10-13,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,1.0,1.1127583133408638
2023-10-18,REDUCE,512890,红利低波ETF,红利低波ETF华泰柏瑞,1.0,0.0,1.122771963125754
2023-10-19,ADD,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,1.0,1.0986099340917372
2023-10-20,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,1.0,0.0,1.1095798454261485
2023-10-20,BUY,518880,黄金ETF,黄金ETF华安,0.0,1.0,1.1095798454261485
2023-11-06,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.1081656174846368
