date,action,code,theme,name,from_exposure,to_exposure,nav
2016-07-05,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0019901899719714
2016-07-08,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.007711557069449
2016-07-19,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0020362935826856
2016-07-21,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0106819184910112
2016-07-21,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.0106819184910112
2016-08-16,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0262904966200352
2016-08-16,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0262904966200352
2016-08-17,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0213658631343527
2016-08-17,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.0213658631343527
2016-08-18,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0208551802027857
2016-08-22,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0142042714462762
2016-09-07,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0130540032911854
2016-09-07,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0130540032911854
2016-09-09,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.00589875571146
2016-09-09,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.00589875571146
2016-10-27,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9792564695233976
2016-10-27,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9792564695233976
2016-10-31,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9793611089608608
2016-10-31,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9793611089608608
2016-11-25,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9598178039290562
2016-11-25,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9598178039290562
2016-11-29,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,0.9382703916305103
2016-11-29,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9382703916305103
2016-11-30,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9288109201367083
2016-11-30,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9288109201367083
2016-12-06,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,0.9070233231305453
2016-12-06,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9070233231305453
2016-12-09,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.8960322713943852
2016-12-09,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.8960322713943852
2016-12-14,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9097335964308553
2016-12-14,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9097335964308553
2016-12-15,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.905007205771909
2016-12-15,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.905007205771909
2017-01-06,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9384744893635335
2017-01-06,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9384744893635335
2017-01-09,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9416028702143059
2017-01-09,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9416028702143059
2017-01-20,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9663112941014124
2017-01-20,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9663112941014124
2017-02-08,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,0.9818634537642424
2017-02-09,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,0.9869590293038153
2017-02-17,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0003462064258237
2017-02-17,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.0003462064258237
2017-02-24,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.020116939414973
2017-02-24,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.020116939414973
2017-02-28,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.020567532539778
2017-02-28,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,1.020567532539778
2017-03-01,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,1.0140619038330376
2017-03-01,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0140619038330376
2017-03-02,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0147103409518214
2017-03-02,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.0147103409518214
2017-03-10,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0029762776324291
2017-03-10,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0029762776324291
2017-03-29,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.0309379328529173
2017-04-06,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.0336468795394789
2017-04-20,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.0456051420830663
2017-04-21,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.0428462782588102
2017-04-25,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.0369890740154157
2017-04-26,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.0330436907827119
2017-04-28,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.0390013470556392
2017-05-02,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.031803979289041
2017-05-26,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.043205474062888
2017-05-26,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.043205474062888
2017-06-02,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0380949682026177
2017-06-02,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0380949682026177
2017-06-12,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0378510342925908
2017-06-12,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0378510342925908
2017-07-05,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0534026924346538
2017-07-05,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0534026924346538
2017-07-06,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0515978148445604
2017-07-06,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0515978148445604
2017-07-07,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0462699094977088
2017-07-07,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,1.0462699094977088
2017-07-10,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,1.0463597522399373
2017-07-10,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0463597522399373
2017-07-13,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0501938905782822
2017-07-13,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0501938905782822
2017-07-20,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0620972765455212
2017-07-20,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0620972765455212
2017-07-27,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0561474867426968
2017-07-27,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0561474867426968
2017-08-18,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0545336868391895
2017-08-18,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,1.0545336868391895
2017-09-21,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,1.0759632868911821
2017-09-21,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0759632868911821
2017-11-01,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0766040151721552
2017-11-01,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.0766040151721552
2017-11-14,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.070425668600557
2017-11-14,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.070425668600557
2017-11-15,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0678032033921425
2017-11-15,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.0678032033921425
2017-11-21,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0838483111214712
2017-11-21,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0838483111214712
2017-11-24,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.049488949547743
2017-11-24,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.049488949547743
2017-11-27,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0508205550998646
2017-11-27,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.0508205550998646
2017-11-28,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0514125314543215
2017-11-28,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0514125314543215
2017-11-30,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0375279531577586
2017-11-30,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.0375279531577586
2017-12-01,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0311063264693288
2017-12-01,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0311063264693288
2017-12-04,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0346347619108007
2017-12-04,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.0346347619108007
2017-12-05,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0343161557158216
2017-12-05,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0343161557158216
2017-12-08,REDUCE,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0234879646663069
2017-12-11,ADD,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.023696044286615
