date,action,code,theme,name,from_exposure,to_exposure,nav
2021-07-13,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9998337228714523
2021-07-15,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,1.0129090747155622
2021-07-15,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0129090747155622
2021-07-19,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,0.9718450860982492
2021-07-19,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9718450860982492
2021-07-21,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,1.0011647385340476
2021-07-21,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0011647385340476
2021-07-22,REDUCE,159949,创业板50,创业板50ETF华安,1.0,0.963964627855564,0.9993200689359724
2021-07-23,ADD,159949,创业板50,创业板50ETF华安,0.963964627855564,1.0,0.9759302706122361
2021-07-27,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,0.938410388890436
2021-07-27,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.938410388890436
2021-07-30,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,0.9219368605905014
2021-07-30,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9219368605905014
2021-08-02,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,0.9182967219394912
2021-08-02,BUY,159985,豆粕,豆粕ETF,0.0,0.8,0.9182967219394912
2021-08-05,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9077768598041727
2021-08-05,SELL,159985,豆粕,豆粕ETF,0.8,0.0,0.9077768598041727
2021-08-09,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,0.8892342755409912
2021-08-09,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.8892342755409912
2021-08-10,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,0.8917143362549477
2021-08-10,BUY,159985,豆粕,豆粕ETF,0.0,0.8,0.8917143362549477
2021-08-20,SELL,159985,豆粕,豆粕ETF,0.8,0.0,0.8837961902951037
2021-08-23,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,0.8896339142630001
2021-08-25,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.8912082156673252
2021-08-25,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,0.8912082156673252
2021-08-26,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.8993573009913151
2021-08-26,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,0.8993573009913151
2021-09-06,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9386200764009935
2021-09-06,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,0.9386200764009935
2021-09-07,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.953001190659398
2021-09-07,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,0.953001190659398
2021-09-09,BUY,513880,日经ETF,日经225ETF华安,0.0,1.0,0.9611340245132727
2021-09-09,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,0.9611340245132727
2021-10-08,SELL,513880,日经ETF,日经225ETF华安,1.0,0.0,0.9307139118517341
2021-10-08,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,0.9307139118517341
2021-10-11,ADD,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,1.0,0.9396890094297139
2021-10-12,REDUCE,512890,红利低波ETF,红利低波ETF华泰柏瑞,1.0,0.8,0.9346080463450237
2021-10-19,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,0.9380503803306015
2021-10-19,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,0.9380503803306015
2021-10-21,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,0.9447464482599746
2021-10-21,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,0.9447464482599746
2021-10-22,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9469266953369501
2021-10-22,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,0.9469266953369501
2021-11-01,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9460627367735873
2021-11-01,BUY,511260,十年国债ETF,十年国债ETF,0.0,1.0,0.9460627367735873
2021-11-02,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,0.945751406524414
2021-11-02,SELL,511260,十年国债ETF,十年国债ETF,1.0,0.0,0.945751406524414
2021-11-11,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,0.9608406061100603
2021-11-11,BUY,159941,纳指ETF,纳指ETF广发,0.0,0.7,0.9608406061100603
2021-11-12,ADD,159941,纳指ETF,纳指ETF广发,0.7,1.0,0.9603957925449594
2021-11-17,REDUCE,159941,纳指ETF,纳指ETF广发,1.0,0.7,0.9702330598953781
2021-11-18,ADD,159941,纳指ETF,纳指ETF广发,0.7,1.0,0.9721866324092081
2021-11-25,REDUCE,159941,纳指ETF,纳指ETF广发,1.0,0.7,0.9782172512283309
2021-11-26,ADD,159941,纳指ETF,纳指ETF广发,0.7,1.0,0.9675954671864171
2021-11-29,BUY,159949,创业板50,创业板50ETF华安,0.0,0.7,0.9728855113671699
2021-11-29,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9728855113671699
2021-11-30,SELL,159949,创业板50,创业板50ETF华安,0.7,0.0,0.9709229074625297
2021-11-30,BUY,511260,十年国债ETF,十年国债ETF,0.0,1.0,0.9709229074625297
2021-12-01,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,0.9612361130635583
2021-12-01,SELL,511260,十年国债ETF,十年国债ETF,1.0,0.0,0.9612361130635583
2021-12-02,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,0.957051858197181
2021-12-02,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.957051858197181
2021-12-02,BUY,511260,十年国债ETF,十年国债ETF,0.0,0.19999999999999996,0.957051858197181
2021-12-03,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,0.9573292734872587
2021-12-03,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9573292734872587
2021-12-03,SELL,511260,十年国债ETF,十年国债ETF,0.19999999999999996,0.0,0.9573292734872587
2021-12-06,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,0.9535095296860445
2021-12-06,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,0.9535095296860445
2021-12-07,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,0.9449955622895854
2021-12-07,BUY,159985,豆粕,豆粕ETF,0.0,0.8,0.9449955622895854
2021-12-08,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,0.9452030756008145
2021-12-08,SELL,159985,豆粕,豆粕ETF,0.8,0.0,0.9452030756008145
2021-12-09,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,0.9567481925574145
2021-12-09,BUY,159985,豆粕,豆粕ETF,0.0,0.8,0.9567481925574145
2021-12-16,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,0.974691834932979
2021-12-16,SELL,159985,豆粕,豆粕ETF,0.8,0.0,0.974691834932979
2021-12-20,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,0.9697836451752252
2021-12-20,BUY,159985,豆粕,豆粕ETF,0.0,0.8,0.9697836451752252
2021-12-21,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,1.0,0.986212819178399
2021-12-21,SELL,159985,豆粕,豆粕ETF,0.8,0.0,0.986212819178399
2021-12-22,REDUCE,512890,红利低波ETF,红利低波ETF华泰柏瑞,1.0,0.8,0.9831484409103263
2021-12-27,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,0.9722469590470856
2021-12-27,BUY,159985,豆粕,豆粕ETF,0.0,0.8,0.9722469590470856
2021-12-28,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,0.965618406178589
2021-12-28,SELL,159985,豆粕,豆粕ETF,0.8,0.0,0.965618406178589
2021-12-30,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,0.9664987777918873
2021-12-30,BUY,159985,豆粕,豆粕ETF,0.0,1.0,0.9664987777918873
2021-12-31,REDUCE,159985,豆粕,豆粕ETF,1.0,0.8,0.9545559082816126
2022-01-04,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,0.9672293369534978
2022-01-04,SELL,159985,豆粕,豆粕ETF,0.8,0.0,0.9672293369534978
2022-01-06,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,0.9508886366411925
2022-01-06,BUY,159985,豆粕,豆粕ETF,0.0,0.8,0.9508886366411925
2022-01-07,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,1.0,0.9581627022203885
2022-01-07,SELL,159985,豆粕,豆粕ETF,0.8,0.0,0.9581627022203885
2022-01-13,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,1.0,0.0,0.9602982223460591
2022-01-13,BUY,159985,豆粕,豆粕ETF,0.0,1.0,0.9602982223460591
2022-01-18,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,1.0,0.9465631691578431
2022-01-18,SELL,159985,豆粕,豆粕ETF,1.0,0.0,0.9465631691578431
2022-01-21,REDUCE,512890,红利低波ETF,红利低波ETF华泰柏瑞,1.0,0.8,0.9494695105645694
2022-01-25,BUY,159954,H股,H股ETF,0.0,1.0,0.9323375391694185
2022-01-25,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,0.9323375391694185
2022-01-27,SELL,159954,H股,H股ETF,1.0,0.0,0.9560164780500995
2022-01-27,BUY,159985,豆粕,豆粕ETF,0.0,0.8,0.9560164780500995
2022-02-10,BUY,159954,H股,H股ETF,0.0,1.0,1.0499628088215476
2022-02-10,SELL,159985,豆粕,豆粕ETF,0.8,0.0,1.0499628088215476
2022-02-15,SELL,159954,H股,H股ETF,1.0,0.0,1.0228366035572587
2022-02-15,BUY,159985,豆粕,豆粕ETF,0.0,0.8,1.0228366035572587
2022-02-17,BUY,159954,H股,H股ETF,0.0,1.0,1.0248048592377013
2022-02-17,SELL,159985,豆粕,豆粕ETF,0.8,0.0,1.0248048592377013
2022-02-21,SELL,159954,H股,H股ETF,1.0,0.0,1.0270157858946647
2022-02-21,BUY,159985,豆粕,豆粕ETF,0.0,0.8,1.0270157858946647
2022-02-23,ADD,159985,豆粕,豆粕ETF,0.8,1.0,1.0521656936922623
2022-03-21,REDUCE,159985,豆粕,豆粕ETF,1.0,0.8,1.150691146853164
2022-03-23,ADD,159985,豆粕,豆粕ETF,0.8,1.0,1.1790958249874035
2022-03-25,REDUCE,159985,豆粕,豆粕ETF,1.0,0.8,1.1648051696923178
2022-03-30,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.155572260782128
2022-03-30,SELL,159985,豆粕,豆粕ETF,0.8,0.0,1.155572260782128
2022-04-08,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.1025651883731835
2022-04-08,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.1025651883731835
2022-04-11,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.076433249668917
2022-04-11,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.076433249668917
2022-04-12,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0688206638539033
