entry_risk_level,start_date,end_date,trade_days
高,2012-10-18,2012-10-18,1
高,2012-12-14,2012-12-17,2
中,2012-12-18,2012-12-19,2
高,2012-12-20,2013-02-08,34
高,2013-02-18,2013-02-18,1
中,2013-02-19,2013-02-25,5
中,2013-02-27,2013-03-01,3
低,2013-03-04,2013-03-04,1
中,2013-03-05,2013-03-08,4
低,2013-03-11,2013-03-12,2
低,2013-03-20,2013-03-28,7
中,2013-05-20,2013-05-28,7
中,2013-05-31,2013-05-31,1
中,2013-08-01,2013-08-01,1
中,2013-08-12,2013-08-14,3
中,2013-08-23,2013-08-26,2
中,2013-09-02,2013-09-10,7
高,2013-09-11,2013-09-13,3
中,2013-09-16,2013-09-16,1
低,2013-09-17,2013-09-18,2
中,2013-09-23,2013-09-24,2
低,2013-09-25,2013-09-30,4
中,2013-10-08,2013-10-08,1
低,2013-10-09,2013-10-10,2
中,2013-10-11,2013-10-15,3
低,2013-10-16,2013-10-18,3
中,2013-10-21,2013-10-21,1
低,2013-10-22,2013-10-22,1
低,2013-10-29,2013-10-29,1
低,2013-10-31,2013-11-01,2
低,2013-11-20,2013-11-21,2
低,2013-11-28,2013-12-19,16
低,2014-01-09,2014-01-09,1
低,2014-01-13,2014-01-14,2
低,2014-01-20,2014-01-21,2
低,2014-01-23,2014-01-30,6
低,2014-02-07,2014-02-14,6
中,2014-02-17,2014-02-17,1
低,2014-02-18,2014-02-18,1
中,2014-02-19,2014-03-21,23
低,2014-03-24,2014-03-28,5
低,2014-04-01,2014-04-09,6
中,2014-04-10,2014-04-10,1
低,2014-04-11,2014-04-14,2
中,2014-04-15,2014-04-17,3
低,2014-04-18,2014-04-25,6
低,2014-04-30,2014-04-30,1
低,2014-05-05,2014-05-15,9
低,2014-05-23,2014-05-27,3
低,2014-06-05,2014-06-05,1
低,2014-06-10,2014-06-18,7
低,2014-06-20,2014-07-09,14
中,2014-07-10,2014-07-11,2
低,2014-07-14,2014-07-23,8
中,2014-07-24,2014-08-01,7
高,2014-08-04,2014-08-04,1
中,2014-08-05,2014-08-27,17
低,2014-08-28,2014-09-04,6
中,2014-09-05,2014-09-05,1
低,2014-09-09,2014-09-30,16
中,2014-10-08,2014-10-10,3
低,2014-10-13,2014-11-21,30
中,2014-11-24,2014-11-26,3
高,2014-11-27,2014-12-31,25
高,2015-01-05,2015-01-16,10
中,2015-01-19,2015-01-20,2
高,2015-01-21,2015-01-29,7
中,2015-01-30,2015-02-16,12
低,2015-02-17,2015-02-17,1
低,2015-02-26,2015-02-26,1
低,2015-03-03,2015-03-03,1
低,2015-03-09,2015-03-09,1
低,2015-03-11,2015-03-12,2
中,2015-03-13,2015-03-17,3
高,2015-03-18,2015-05-15,41
中,2015-05-18,2015-05-18,1
高,2015-05-19,2015-05-27,7
中,2015-05-28,2015-05-29,2
高,2015-06-01,2015-06-15,11
中,2015-06-16,2015-06-16,1
高,2015-06-17,2015-06-17,1
中,2015-06-18,2015-06-18,1
低,2015-06-19,2015-06-26,5
低,2015-06-30,2015-06-30,1
低,2015-08-07,2015-08-11,3
中,2015-08-12,2015-08-13,2
低,2015-08-17,2015-08-21,5
中,2015-08-24,2015-08-24,1
低,2015-08-25,2015-08-31,5
中,2015-09-01,2015-09-02,2
低,2015-09-07,2015-09-17,9
低,2015-09-21,2015-09-25,5
低,2015-09-30,2015-09-30,1
中,2015-10-08,2015-10-12,3
低,2015-10-13,2015-10-13,1
中,2015-10-14,2015-10-20,5
低,2015-10-21,2015-10-21,1
中,2015-10-22,2015-10-30,7
低,2015-11-02,2015-11-02,1
中,2015-11-03,2015-11-05,3
高,2015-11-06,2015-11-12,5
中,2015-11-13,2015-11-23,7
低,2015-11-24,2015-11-24,1
中,2015-11-25,2015-11-26,2
低,2015-11-27,2015-12-11,11
低,2015-12-16,2016-01-06,15
中,2016-01-07,2016-01-11,3
低,2016-01-12,2016-01-19,6
中,2016-01-20,2016-02-04,12
高,2016-02-05,2016-02-05,1
高,2016-02-15,2016-03-09,18
中,2016-03-10,2016-03-10,1
高,2016-03-11,2016-03-11,1
中,2016-03-14,2016-03-14,1
高,2016-03-15,2016-03-21,5
中,2016-03-22,2016-03-30,7
高,2016-03-31,2016-04-06,4
中,2016-04-07,2016-04-13,5
高,2016-04-14,2016-04-15,2
中,2016-04-18,2016-05-24,26
中,2016-05-26,2016-05-26,1
低,2016-05-27,2016-05-31,3
中,2016-06-01,2016-06-01,1
低,2016-06-02,2016-06-03,2
中,2016-06-06,2016-06-06,1
低,2016-06-07,2016-06-07,1
中,2016-06-08,2016-06-08,1
中,2016-06-13,2016-06-24,10
高,2016-06-27,2016-07-01,5
中,2016-07-04,2016-07-04,1
高,2016-07-05,2016-07-18,10
中,2016-07-19,2016-07-20,2
高,2016-07-21,2016-07-21,1
中,2016-07-22,2016-07-25,2
高,2016-07-26,2016-07-26,1
中,2016-07-27,2016-07-27,1
高,2016-07-28,2016-08-04,6
中,2016-08-05,2016-08-05,1
高,2016-08-08,2016-08-16,7
中,2016-08-17,2016-09-14,21
中,2016-09-19,2016-09-30,10
低,2016-10-10,2016-10-19,8
中,2016-10-20,2016-10-20,1
低,2016-10-21,2016-10-24,2
中,2016-10-25,2016-11-11,14
低,2016-11-14,2016-11-15,2
中,2016-11-16,2016-11-17,2
低,2016-11-18,2016-11-23,4
中,2016-11-24,2016-11-25,2
低,2016-11-28,2016-11-28,1
中,2016-11-29,2016-12-02,4
低,2016-12-05,2016-12-07,3
中,2016-12-08,2016-12-12,3
低,2016-12-13,2016-12-13,1
中,2016-12-14,2016-12-20,5
高,2016-12-21,2016-12-27,5
中,2017-01-05,2017-01-05,1
中,2017-01-19,2017-01-26,6
中,2017-02-03,2017-02-08,4
高,2017-02-09,2017-02-09,1
中,2017-02-10,2017-02-15,4
高,2017-02-16,2017-02-22,5
中,2017-02-23,2017-02-24,2
高,2017-02-27,2017-02-27,1
中,2017-02-28,2017-03-01,2
高,2017-03-02,2017-03-08,5
中,2017-03-09,2017-03-30,16
中,2017-04-05,2017-04-13,7
高,2017-04-14,2017-04-18,3
中,2017-04-19,2017-05-25,26
中,2017-06-01,2017-06-09,7
高,2017-06-13,2017-06-13,1
中,2017-06-14,2017-06-16,3
高,2017-06-19,2017-06-19,1
中,2017-06-20,2017-06-20,1
高,2017-06-21,2017-06-21,1
中,2017-06-22,2017-06-22,1
高,2017-06-23,2017-06-30,6
中,2017-07-03,2017-07-10,6
高,2017-07-11,2017-07-11,1
中,2017-07-12,2017-07-18,5
高,2017-07-19,2017-07-25,5
中,2017-07-26,2017-08-17,17
高,2017-08-18,2017-09-18,22
中,2017-09-19,2017-09-29,9
中,2017-10-09,2017-10-31,17
高,2017-11-01,2017-11-01,1
中,2017-11-02,2017-11-02,1
高,2017-11-03,2017-11-10,6
中,2017-11-13,2017-11-13,1
高,2017-11-14,2017-11-15,2
中,2017-11-16,2017-11-16,1
高,2017-11-17,2017-11-22,4
中,2017-11-23,2017-12-06,10
中,2017-12-08,2017-12-26,13
中,2017-12-28,2018-01-19,16
高,2018-01-22,2018-01-26,5
中,2018-01-29,2018-02-06,7
中,2018-02-14,2018-02-14,1
低,2018-02-26,2018-02-28,3
中,2018-03-01,2018-03-01,1
低,2018-03-02,2018-03-06,3
低,2018-03-09,2018-03-12,2
中,2018-03-13,2018-03-22,8
低,2018-03-23,2018-03-26,2
中,2018-03-27,2018-04-02,5
低,2018-04-03,2018-04-04,2
低,2018-04-09,2018-04-27,15
低,2018-05-03,2018-05-04,2
低,2018-05-08,2018-06-01,19
中,2018-06-04,2018-06-13,8
低,2018-06-19,2018-06-20,2
中,2018-06-21,2018-06-25,3
低,2018-06-26,2018-06-28,3
中,2018-06-29,2018-06-29,1
低,2018-07-02,2018-07-03,2
中,2018-07-04,2018-07-20,13
低,2018-07-23,2018-07-23,1
中,2018-07-24,2018-07-27,4
低,2018-07-30,2018-07-31,2
中,2018-08-01,2018-08-10,8
低,2018-08-13,2018-08-31,15
中,2018-09-03,2018-09-04,2
低,2018-09-05,2018-09-06,2
低,2018-09-11,2018-09-19,7
中,2018-09-20,2018-09-21,2
低,2018-09-25,2018-09-28,4
低,2018-10-08,2018-10-11,4
中,2018-10-12,2018-11-14,24
高,2018-11-15,2018-11-15,1
中,2018-11-16,2018-11-22,5
低,2018-11-23,2018-11-23,1
低,2018-11-27,2018-11-30,4
中,2018-12-03,2018-12-05,3
低,2018-12-06,2018-12-28,17
低,2019-01-02,2019-01-30,21
中,2019-01-31,2019-02-01,2
中,2019-02-11,2019-02-21,9
高,2019-02-22,2019-04-22,41
中,2019-04-23,2019-04-24,2
高,2019-04-25,2019-04-30,4
中,2019-05-06,2019-05-07,2
中,2019-05-09,2019-06-03,18
高,2019-06-04,2019-06-10,4
中,2019-06-11,2019-06-11,1
高,2019-06-12,2019-06-18,5
中,2019-06-19,2019-06-19,1
高,2019-06-20,2019-07-09,14
高,2019-07-11,2019-07-16,4
中,2019-07-17,2019-07-17,1
中,2019-07-19,2019-08-06,13
高,2019-08-07,2019-08-19,9
中,2019-08-20,2019-08-20,1
高,2019-08-21,2019-08-21,1
中,2019-08-22,2019-08-26,3
高,2019-08-27,2019-08-30,4
中,2019-09-02,2019-09-03,2
高,2019-09-04,2019-09-24,14
中,2019-09-25,2019-09-30,4
中,2019-10-08,2019-11-26,36
高,2019-11-27,2019-11-28,2
中,2019-11-29,2019-12-12,10
高,2019-12-13,2019-12-20,6
中,2019-12-23,2019-12-24,2
高,2019-12-25,2020-01-23,21
中,2020-02-03,2020-02-05,3
高,2020-02-06,2020-02-27,16
中,2020-02-28,2020-02-28,1
高,2020-03-02,2020-03-10,7
中,2020-03-11,2020-03-11,1
低,2020-03-12,2020-03-18,5
低,2020-03-20,2020-03-20,1
中,2020-03-23,2020-03-31,7
低,2020-04-01,2020-04-16,11
中,2020-04-17,2020-04-29,9
高,2020-04-30,2020-04-30,1
高,2020-05-06,2020-05-11,4
中,2020-05-12,2020-05-21,8
低,2020-05-22,2020-05-22,1
中,2020-05-25,2020-05-28,4
低,2020-05-29,2020-05-29,1
中,2020-06-01,2020-06-02,2
高,2020-06-03,2020-06-04,2
中,2020-06-05,2020-06-08,2
高,2020-06-09,2020-06-11,3
中,2020-06-12,2020-06-12,1
低,2020-06-15,2020-06-15,1
中,2020-06-16,2020-06-22,5
高,2020-06-23,2020-06-24,2
中,2020-06-29,2020-06-29,1
高,2020-06-30,2020-08-10,30
中,2020-08-11,2020-08-19,7
高,2020-08-20,2020-09-07,13
中,2020-09-08,2020-09-15,6
中,2020-09-18,2020-09-18,1
中,2020-09-22,2020-09-25,4
高,2020-09-28,2020-09-28,1
中,2020-09-29,2020-09-30,2
高,2020-10-09,2020-10-22,10
中,2020-10-23,2020-10-28,4
高,2020-10-29,2020-10-29,1
中,2020-10-30,2020-11-02,2
高,2020-11-03,2020-11-12,8
中,2020-11-13,2020-11-23,7
高,2020-11-24,2020-12-10,13
中,2020-12-11,2020-12-21,7
高,2020-12-22,2021-02-10,36
高,2021-02-18,2021-02-23,4
中,2021-02-24,2021-03-11,12
高,2021-03-12,2021-03-18,5
中,2021-03-19,2021-03-19,1
高,2021-03-22,2021-03-22,1
中,2021-03-23,2021-04-08,12
高,2021-04-09,2021-04-21,9
中,2021-04-22,2021-04-22,1
高,2021-04-23,2021-04-30,6
高,2021-05-06,2021-05-06,1
中,2021-05-07,2021-05-14,6
高,2021-05-17,2021-06-04,15
中,2021-06-07,2021-06-09,3
高,2021-06-10,2021-06-15,3
中,2021-06-16,2021-06-17,2
高,2021-06-18,2021-06-21,2
中,2021-06-22,2021-06-23,2
高,2021-06-24,2021-07-16,17
中,2021-07-19,2021-07-20,2
高,2021-07-21,2021-07-23,3
中,2021-07-26,2021-08-03,7
低,2021-08-04,2021-08-18,11
低,2021-08-20,2021-08-27,6
中,2021-08-30,2021-09-01,3
高,2021-09-02,2021-09-02,1
中,2021-09-03,2021-09-03,1
高,2021-09-06,2021-09-07,2
中,2021-09-08,2021-09-09,2
高,2021-09-10,2021-09-17,6
中,2021-09-22,2021-09-22,1
高,2021-09-23,2021-09-23,1
中,2021-09-24,2021-09-30,5
中,2021-10-08,2021-10-13,4
低,2021-10-14,2021-10-15,2
中,2021-10-18,2021-10-19,2
低,2021-10-20,2021-10-25,4
中,2021-10-26,2021-10-26,1
低,2021-10-27,2021-10-27,1
中,2021-10-28,2021-11-12,12
高,2021-11-15,2021-11-22,6
中,2021-11-23,2021-12-20,20
高,2021-12-21,2021-12-21,1
中,2021-12-22,2021-12-22,1
高,2021-12-23,2021-12-23,1
中,2021-12-24,2022-01-28,25
高,2022-02-07,2022-02-15,7
中,2022-02-16,2022-02-16,1
高,2022-02-17,2022-04-01,32
中,2022-04-06,2022-04-11,4
低,2022-04-12,2022-04-13,2
中,2022-04-14,2022-04-15,2
低,2022-04-18,2022-04-18,1
中,2022-04-19,2022-04-22,4
低,2022-04-25,2022-04-29,5
低,2022-05-05,2022-05-13,7
中,2022-05-16,2022-05-18,3
低,2022-05-19,2022-05-19,1
中,2022-05-20,2022-05-23,2
低,2022-05-24,2022-05-26,3
中,2022-05-27,2022-06-02,5
高,2022-06-06,2022-06-06,1
中,2022-06-07,2022-06-07,1
高,2022-06-08,2022-06-08,1
中,2022-06-09,2022-06-09,1
高,2022-06-10,2022-07-11,22
中,2022-07-12,2022-07-13,2
高,2022-07-14,2022-07-19,4
中,2022-07-20,2022-07-29,8
高,2022-08-01,2022-08-02,2
中,2022-08-03,2022-08-04,2
高,2022-08-05,2022-08-22,12
中,2022-08-23,2022-09-05,10
高,2022-09-06,2022-09-15,7
中,2022-09-16,2022-09-20,3
高,2022-09-21,2022-09-23,3
中,2022-09-26,2022-09-30,5
高,2022-10-10,2022-10-10,1
中,2022-10-11,2022-10-13,3
高,2022-10-14,2022-10-14,1
中,2022-10-17,2022-11-16,23
高,2022-11-17,2022-11-17,1
中,2022-11-18,2022-11-23,4
高,2022-11-24,2022-12-19,18
中,2022-12-20,2022-12-21,2
高,2022-12-22,2023-01-09,12
中,2023-01-10,2023-01-16,5
高,2023-01-17,2023-01-20,4
高,2023-01-30,2023-02-07,7
中,2023-02-08,2023-02-08,1
高,2023-02-09,2023-02-21,9
中,2023-02-22,2023-03-31,28
高,2023-04-03,2023-04-04,2
中,2023-04-06,2023-04-06,1
高,2023-04-07,2023-04-07,1
中,2023-04-10,2023-04-18,7
高,2023-04-19,2023-04-19,1
中,2023-04-20,2023-04-28,7
高,2023-05-04,2023-05-11,6
中,2023-05-12,2023-05-17,4
高,2023-05-18,2023-05-23,4
中,2023-05-24,2023-05-24,1
高,2023-05-25,2023-06-21,20
高,2023-06-26,2023-07-10,11
中,2023-07-11,2023-07-12,2
高,2023-07-13,2023-07-28,12
中,2023-07-31,2023-07-31,1
高,2023-08-01,2023-08-02,2
中,2023-08-03,2023-08-08,4
高,2023-08-09,2023-08-10,2
中,2023-08-11,2023-08-11,1
高,2023-08-14,2023-09-12,22
中,2023-09-13,2023-09-28,12
中,2023-10-09,2023-10-09,1
低,2023-10-10,2023-10-10,1
中,2023-10-12,2023-10-18,5
低,2023-10-23,2023-10-27,5
中,2023-10-30,2023-10-31,2
低,2023-11-01,2023-11-02,2
中,2023-11-03,2023-11-17,11
低,2023-11-20,2023-11-20,1
中,2023-11-21,2023-11-21,1
低,2023-11-22,2023-11-22,1
中,2023-11-23,2023-12-06,10
低,2023-12-07,2023-12-11,3
中,2023-12-12,2023-12-12,1
低,2023-12-13,2023-12-13,1
中,2023-12-14,2023-12-15,2
低,2023-12-18,2023-12-18,1
中,2023-12-19,2023-12-19,1
低,2023-12-20,2023-12-22,3
中,2023-12-25,2024-01-03,7
低,2024-01-04,2024-01-04,1
中,2024-01-05,2024-01-05,1
低,2024-01-08,2024-01-08,1
中,2024-01-09,2024-01-11,3
高,2024-01-12,2024-01-12,1
中,2024-01-15,2024-01-19,5
高,2024-01-22,2024-01-23,2
中,2024-01-24,2024-01-29,4
高,2024-01-30,2024-01-30,1
中,2024-01-31,2024-02-07,6
高,2024-02-08,2024-02-08,1
高,2024-02-19,2024-02-20,2
中,2024-02-21,2024-02-21,1
高,2024-02-22,2024-02-26,3
中,2024-02-27,2024-02-27,1
高,2024-02-28,2024-03-22,18
中,2024-03-25,2024-04-03,8
中,2024-04-08,2024-04-22,11
低,2024-04-23,2024-04-23,1
中,2024-04-24,2024-04-30,5
高,2024-05-06,2024-05-29,18
中,2024-05-30,2024-06-11,8
高,2024-06-12,2024-06-17,4
中,2024-06-18,2024-06-24,5
高,2024-06-25,2024-06-26,2
中,2024-06-27,2024-07-01,3
高,2024-07-02,2024-07-05,4
中,2024-07-08,2024-07-10,3
高,2024-07-11,2024-07-11,1
中,2024-07-12,2024-07-12,1
高,2024-07-15,2024-07-17,3
中,2024-07-18,2024-07-24,5
低,2024-07-25,2024-07-25,1
中,2024-07-26,2024-08-05,7
低,2024-08-06,2024-08-06,1
中,2024-08-07,2024-08-07,1
中,2024-08-09,2024-08-20,8
中,2024-08-23,2024-09-06,11
高,2024-09-09,2024-09-09,1
中,2024-09-10,2024-09-13,4
中,2024-09-18,2024-09-25,6
高,2024-09-26,2024-09-30,3
高,2024-10-08,2024-10-15,6
中,2024-10-16,2024-10-17,2
高,2024-10-18,2024-11-15,21
中,2024-11-18,2024-11-18,1
高,2024-11-19,2024-11-21,3
低,2024-11-22,2024-11-22,1
中,2024-11-25,2024-12-06,10
高,2024-12-09,2024-12-10,2
中,2024-12-11,2024-12-16,4
高,2024-12-17,2024-12-18,2
中,2024-12-19,2024-12-20,2
高,2024-12-23,2024-12-27,5
中,2024-12-30,2024-12-31,2
高,2025-01-02,2025-01-03,2
中,2025-01-10,2025-01-17,6
高,2025-01-20,2025-01-27,6
高,2025-02-05,2025-03-20,32
中,2025-03-21,2025-03-31,7
高,2025-04-01,2025-04-03,3
中,2025-04-07,2025-04-08,2
高,2025-04-09,2025-04-25,13
中,2025-04-28,2025-04-28,1
高,2025-04-29,2025-04-29,1
中,2025-04-30,2025-04-30,1
高,2025-05-06,2025-05-07,2
中,2025-05-08,2025-05-14,5
高,2025-05-15,2025-05-19,3
中,2025-05-20,2025-05-27,6
高,2025-05-28,2025-05-30,3
中,2025-06-03,2025-06-03,1
高,2025-06-04,2025-06-04,1
中,2025-06-05,2025-07-02,20
高,2025-07-03,2025-07-03,1
中,2025-07-04,2025-07-07,2
高,2025-07-08,2025-09-30,61
高,2025-10-09,2025-11-13,26
中,2025-11-14,2025-11-14,1
高,2025-11-17,2025-11-17,1
中,2025-11-18,2025-11-28,9
低,2025-12-01,2025-12-01,1
中,2025-12-02,2025-12-25,18
高,2025-12-26,2025-12-30,3
中,2025-12-31,2025-12-31,1
高,2026-01-05,2026-01-07,3
中,2026-01-08,2026-01-08,1
高,2026-01-09,2026-01-12,2
中,2026-01-13,2026-01-13,1
高,2026-01-14,2026-01-30,13
低,2026-02-02,2026-02-02,1
中,2026-02-03,2026-02-03,1
高,2026-02-04,2026-02-04,1
中,2026-02-05,2026-02-09,3
高,2026-02-10,2026-02-13,4
高,2026-02-24,2026-03-03,6
中,2026-03-04,2026-03-12,7
高,2026-03-13,2026-03-13,1
中,2026-03-16,2026-03-26,9
低,2026-03-27,2026-04-10,10
中,2026-04-13,2026-04-21,7
高,2026-04-22,2026-04-23,2
中,2026-04-24,2026-04-30,5
高,2026-05-06,2026-06-04,22
