strategy,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown_integral,max_drawdown,trade_count,avg_exposure,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,latest_momentum,latest_exposure,drawdown_integral_definition,drawdown_integral_recomputed
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg00_cap07_hi03_dd02_vm16__stressbond_default,22.132952311862123,0.251623385410523,0.1929541069818411,1.304058199881712,31.455994866546092,-0.1896238403889109,902,0.8062235294117647,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg30_cap08_hi06_dd02_vm16_gb02_gs03__stressbond_default,22.084460896708496,0.2514357434892054,0.1930165017526679,1.302664493481475,29.592053291212608,-0.1890166145032171,900,0.8100182352941177,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg30_cap08_hi06_dd02_vm16_gb02__stressbond_default,22.084460896708496,0.2514357434892054,0.1930165017526679,1.302664493481475,29.592053291212608,-0.1890166145032171,900,0.8100182352941177,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg30_cap08_hi06_dd02_vm16_gb02_gs05__stressbond_default,22.084460896708496,0.2514357434892054,0.1930165017526679,1.302664493481475,29.592053291212608,-0.1890166145032171,900,0.8100182352941177,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg30_cap08_hi06_dd02_vm16_gb04_gs03__stressbond_default,22.084460896708496,0.2514357434892054,0.1930165017526679,1.302664493481475,29.592053291212608,-0.1890166145032171,900,0.8100182352941177,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg30_cap08_hi06_dd02_vm16_gb04__stressbond_default,22.084460896708496,0.2514357434892054,0.1930165017526679,1.302664493481475,29.592053291212608,-0.1890166145032171,900,0.8100182352941177,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg30_cap08_hi06_dd02_vm16_gb04_gs05__stressbond_default,22.084460896708496,0.2514357434892054,0.1930165017526679,1.302664493481475,29.592053291212608,-0.1890166145032171,900,0.8100182352941177,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg30_cap08_hi06_dd02_vm16_gb06_gs03__stressbond_default,22.084460896708496,0.2514357434892054,0.1930165017526679,1.302664493481475,29.592053291212608,-0.1890166145032171,900,0.8100182352941177,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg30_cap08_hi06_dd02_vm16_gb06__stressbond_default,22.084460896708496,0.2514357434892054,0.1930165017526679,1.302664493481475,29.592053291212608,-0.1890166145032171,900,0.8100182352941177,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg30_cap08_hi06_dd02_vm16_gb06_gs05__stressbond_default,22.084460896708496,0.2514357434892054,0.1930165017526679,1.302664493481475,29.592053291212608,-0.1890166145032171,900,0.8100182352941177,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
