date,sh_close,sh_amount,sz_close,sz_amount,market_amount,market_amount_ma20,market_amount_ma60,market_amount_ratio_20_60,market_amount_ratio_5_20,market_breadth_proxy
2009-08-04,3471.44,211490154.0,1149.27,104519841.18,316009995.18,,,,,
2009-08-05,3428.5,202502543.0,1144.14,97425772.75,299928315.75,,,,,
2009-08-06,3356.33,174827374.0,1125.55,89735995.77,264563369.76999998,,,,,
2009-08-07,3260.69,153160007.0,1087.23,76045218.33,229205225.32999998,,,,,
2009-08-10,3249.76,126683738.0,1092.19,61496231.81,188179969.81,,,,,
2009-08-11,3264.73,103752297.0,1100.79,51232805.84,154985102.84,,,,,
2009-08-12,3112.72,134447463.0,1052.51,65036502.14,199483965.14,,,,,
2009-08-13,3140.56,116934226.0,1060.86,54777551.62,171711777.62,,,,,
2009-08-14,3046.97,125815592.0,1022.92,61309054.67,187124646.67000002,,,,,
2009-08-17,2870.63,125058959.0,955.87,60751982.95,185810941.95,,,,,
2009-08-18,2910.88,106251526.0,968.39,49165379.7,155416905.7,,,,,
2009-08-19,2785.58,114469464.0,921.32,55471813.41,169941277.41,,,,,
2009-08-20,2911.58,110039086.0,956.52,55717759.75,165756845.75,,,,,
2009-08-21,2960.77,126790301.0,979.99,63027014.86,189817315.86,,,,,
2009-08-24,2993.43,122875721.0,998.83,64343518.19,187219239.19,,,,,
2009-08-25,2915.8,145236180.0,975.53,71375693.18,216611873.18,,,,,
2009-08-26,2967.6,130425354.0,1003.27,68465898.2,198891252.2,,,,,
2009-08-27,2946.4,136745904.0,1005.14,70989862.34,207735766.34,,,,,
2009-08-28,2860.69,123048500.0,974.29,57872500.32,180921000.32,,,,,
2009-08-31,2667.75,118246250.0,904.7,58201060.62,176447310.62,202288104.8315,,,0.9695154378719567,
2009-09-01,2683.72,98042585.0,900.53,49258038.91,147300623.91,193852636.268,,,0.9401945425494646,-0.2216737596988067
2009-09-02,2714.97,83934714.0,906.86,40883349.04,124818063.03999999,185097123.6325,,,0.9046307665939306,-0.20775223015096866
2009-09-03,2845.02,129890251.0,956.69,61107503.94,190997754.94,181418842.891,,,0.9045198831115502,-0.1511832125463835
2009-09-04,2861.61,128889936.0,968.55,62303298.63,191193234.63,179518243.356,,,0.9255404594089504,-0.11577470441289833
2009-09-07,2881.12,131182812.0,979.45,66273989.05,197456801.05,179982084.91799998,,,0.9465014009122804,-0.10832993359110965
2009-09-08,2930.48,127929384.0,999.78,65002537.01,192931921.01,181879425.8265,,,0.9868051546699442,-0.0970717489625948
2009-09-09,2946.26,130754494.0,1010.52,69796731.85,200551225.85,181932788.862,,,1.0697697139333593,-0.046686226229097794
2009-09-10,2924.88,105894857.0,1000.63,57763111.81,163657968.81,181530098.4215,,,1.0420213061901613,-0.0627251712166716
2009-09-11,2989.79,123246666.0,1016.51,62744641.83,185991307.82999998,181473431.4795,,,1.0366136980842322,-0.012516279401415142
2009-09-14,3026.74,143711225.0,1041.33,77085465.2,220796690.2,183222718.89200002,,,1.0521938758786618,0.07189362692135859
2009-09-15,3033.73,144467755.0,1049.72,77878388.05,222346143.05,186569180.7595,,,1.0648525460595608,0.06309424520580742
2009-09-16,2999.71,147415778.0,1045.16,78116298.74,225532076.74,189348720.726,,,1.0756071471996707,0.10564336160165944
2009-09-17,3060.26,160740391.0,1065.1,81313954.86,242054345.86,193163595.7315,,,1.1355354610445916,0.08229035919888805
2009-09-18,2962.67,168076584.0,1030.1,90095089.13,258171673.13,196581313.595,,,1.1892289329068058,0.025887449892499026
2009-09-21,2967.01,136231980.0,1039.33,66809783.84,203041763.84,197372439.82750002,,,1.1664708645503707,0.015860722454183573
2009-09-22,2897.55,124074699.0,1016.97,64994676.86,189069375.86,195995314.9615,,,1.1407101599847802,0.01811023501090625
2009-09-23,2842.72,107626362.0,987.66,58352409.49,165978771.49,194349690.926,,,1.0890842430852758,-0.02882013234165981
2009-09-24,2853.55,102541326.0,983.32,52033216.05,154574542.05,191691629.7115,,,1.012914468754978,-0.026610725790695622
2009-09-25,2838.84,75167601.0,976.8,39314913.22,114482514.22,188369705.4065,,,0.8782165536385215,-0.002530891199748697
2009-09-28,2763.52,71874586.0,951.27,37711995.54,109586581.53999999,185026668.9525,,,0.7930659826647511,0.04368739662179422
2009-09-29,2754.54,73565539.0,937.16,39776709.64,113342248.64,183328750.189,,,0.7177975710429283,0.033532395155253525
2009-09-30,2779.43,64833254.0,949.23,34890179.61,99723433.61,182074018.7175,,,0.6499656834378731,0.03523204520045886
2009-10-09,2911.72,85546555.0,997.32,43464502.63,129011057.63,178974683.852,,,0.6326546564632174,0.03295691117227462
2009-10-12,2894.48,88186631.0,998.75,46117586.4,134304217.4,176130232.9905,,,0.6653798486164558,0.021333585816692424
