year,start_date,end_date,strategy_return,hs300_etf_return,excess_return
2012,2012-05-28,2012-12-31,0.05184302699687038,-0.030721966205837004,0.08256499320270738
2013,2012-12-31,2013-12-31,-0.07182678247337149,-0.05863708399365919,-0.013189698479712297
2014,2013-12-31,2014-12-31,0.38690534829643597,0.5372985893150872,-0.15039324101865126
2015,2014-12-31,2015-12-31,0.057462588478921495,0.0680185133646376,-0.010555924885716106
2016,2015-12-31,2016-12-30,0.2071655881569916,-0.09686562903164342,0.304031217188635
2017,2016-12-30,2017-12-29,0.07845781068105051,0.23368087754307587,-0.15522306686202536
2018,2017-12-29,2018-12-28,-0.11241710109111513,-0.2416418271617753,0.12922472607066016
2019,2018-12-28,2019-12-31,0.5000421885077413,0.3859357093623652,0.11410647914537608
2020,2019-12-31,2020-12-31,0.5172288908481426,0.2907714843749991,0.2264574064731435
2021,2020-12-31,2021-12-31,0.16543794639437248,-0.0404000983832733,0.20583804477764578
2022,2021-12-31,2022-12-30,0.2978442479829535,-0.20132014717873803,0.49916439516169153
2023,2022-12-30,2023-12-29,0.10921388110520591,-0.09775224647250746,0.20696612757771338
2024,2023-12-29,2024-12-31,0.19386737281799604,0.17374101990322166,0.02012635291477438
2025,2024-12-31,2025-12-31,1.1299183482446042,0.20838818873246168,0.9215301595121426
2026,2025-12-31,2026-05-29,0.08947282921964428,0.06265572466861591,0.02681710455102837
