strategy,year,start_date,end_date,strategy_return,hs300_return,excess_return
baseline,2012,2012-05-28,2012-12-31,0.05184302699687038,-0.030721966205837004,0.08256499320270738
baseline,2013,2012-12-31,2013-12-31,-0.07182678247337204,-0.05863708399365919,-0.013189698479712852
baseline,2014,2013-12-31,2014-12-31,0.3938201851155403,0.5372985893150872,-0.14347840419954694
baseline,2015,2014-12-31,2015-12-31,0.07911541425479474,0.0680185133646376,0.011096900890157135
baseline,2016,2015-12-31,2016-12-30,0.1988956908986934,-0.09686562903164342,0.29576131993033683
baseline,2017,2016-12-30,2017-12-29,0.08452800837688312,0.23368087754307587,-0.14915286916619275
baseline,2018,2017-12-29,2018-12-28,-0.09593273053504026,-0.2416418271617753,0.14570909662673504
baseline,2019,2018-12-28,2019-12-31,0.5052646157245135,0.3859357093623652,0.11932890636214832
baseline,2020,2019-12-31,2020-12-31,0.5466688834452316,0.2907714843749991,0.25589739907023246
baseline,2021,2020-12-31,2021-12-31,0.18105383735822045,-0.0404000983832733,0.22145393574149375
baseline,2022,2021-12-31,2022-12-30,0.4138256874182651,-0.20132014717873803,0.6151458345970031
baseline,2023,2022-12-30,2023-12-29,0.1447867471485791,-0.09775224647250746,0.24253899362108655
baseline,2024,2023-12-29,2024-12-31,0.2584903502498366,0.17374101990322166,0.08474933034661492
baseline,2025,2024-12-31,2025-12-31,1.1919646703236824,0.20838818873246168,0.9835764815912207
baseline,2026,2025-12-31,2026-06-16,0.2013626591438249,0.05984960555005214,0.14151305359377275
vg60,2012,2012-05-28,2012-12-31,0.05184302699687038,-0.030721966205837004,0.08256499320270738
vg60,2013,2012-12-31,2013-12-31,-0.07182678247337204,-0.05863708399365919,-0.013189698479712852
vg60,2014,2013-12-31,2014-12-31,0.3938201851155403,0.5372985893150872,-0.14347840419954694
vg60,2015,2014-12-31,2015-12-31,0.07911541425479474,0.0680185133646376,0.011096900890157135
vg60,2016,2015-12-31,2016-12-30,0.19913571005603048,-0.09686562903164342,0.2960013390876739
vg60,2017,2016-12-30,2017-12-29,0.0843111027752077,0.23368087754307587,-0.14936977476786817
vg60,2018,2017-12-29,2018-12-28,-0.09366738439301836,-0.2416418271617753,0.14797444276875693
vg60,2019,2018-12-28,2019-12-31,0.5058783282704844,0.3859357093623652,0.11994261890811919
vg60,2020,2019-12-31,2020-12-31,0.5452373353285371,0.2907714843749991,0.254465850953538
vg60,2021,2020-12-31,2021-12-31,0.18105383735821934,-0.0404000983832733,0.22145393574149264
vg60,2022,2021-12-31,2022-12-30,0.41382568741826575,-0.20132014717873803,0.6151458345970038
vg60,2023,2022-12-30,2023-12-29,0.14478674714858086,-0.09775224647250746,0.24253899362108833
vg60,2024,2023-12-29,2024-12-31,0.2584903502498326,0.17374101990322166,0.08474933034661092
vg60,2025,2024-12-31,2025-12-31,1.196222513959111,0.20838818873246168,0.9878343252266493
vg60,2026,2025-12-31,2026-06-16,0.20136265914382534,0.05984960555005214,0.1415130535937732
vg50,2012,2012-05-28,2012-12-31,0.05184302699687038,-0.030721966205837004,0.08256499320270738
vg50,2013,2012-12-31,2013-12-31,-0.07182678247337204,-0.05863708399365919,-0.013189698479712852
vg50,2014,2013-12-31,2014-12-31,0.3938201851155403,0.5372985893150872,-0.14347840419954694
vg50,2015,2014-12-31,2015-12-31,0.07911541425479474,0.0680185133646376,0.011096900890157135
vg50,2016,2015-12-31,2016-12-30,0.1991957148453647,-0.09686562903164342,0.2960613438770081
vg50,2017,2016-12-30,2017-12-29,0.08425687637478885,0.23368087754307587,-0.14942400116828702
