date,baseline_nav,both_cap50_vol018_br010_nav,both_cap50_vol018_br015_nav,both_cap50_vol018_br020_nav,both_cap50_vol020_br010_nav,both_cap50_vol020_br015_nav,both_cap50_vol020_br020_nav,both_cap50_vol022_br010_nav,both_cap50_vol022_br015_nav,both_cap50_vol022_br020_nav,both_cap50_vol024_br010_nav,both_cap50_vol024_br015_nav,both_cap50_vol024_br020_nav,both_cap65_vol018_br010_nav,both_cap65_vol018_br015_nav,both_cap65_vol018_br020_nav,both_cap65_vol020_br010_nav,both_cap65_vol020_br015_nav,both_cap65_vol020_br020_nav,both_cap65_vol022_br010_nav,both_cap65_vol022_br015_nav,both_cap65_vol022_br020_nav,both_cap65_vol024_br010_nav,both_cap65_vol024_br015_nav,both_cap65_vol024_br020_nav,both_cap80_vol018_br010_nav,both_cap80_vol018_br015_nav,both_cap80_vol018_br020_nav,both_cap80_vol020_br010_nav,both_cap80_vol020_br015_nav,both_cap80_vol020_br020_nav,both_cap80_vol022_br010_nav,both_cap80_vol022_br015_nav,both_cap80_vol022_br020_nav,both_cap80_vol024_br010_nav,both_cap80_vol024_br015_nav,both_cap80_vol024_br020_nav,gold_only_cap50_vol018_br010_nav,gold_only_cap50_vol018_br015_nav,gold_only_cap50_vol018_br020_nav,gold_only_cap50_vol020_br010_nav,gold_only_cap50_vol020_br015_nav,gold_only_cap50_vol020_br020_nav,gold_only_cap50_vol022_br010_nav,gold_only_cap50_vol022_br015_nav,gold_only_cap50_vol022_br020_nav,gold_only_cap50_vol024_br010_nav,gold_only_cap50_vol024_br015_nav,gold_only_cap50_vol024_br020_nav,gold_only_cap65_vol018_br010_nav,gold_only_cap65_vol018_br015_nav,gold_only_cap65_vol018_br020_nav,gold_only_cap65_vol020_br010_nav,gold_only_cap65_vol020_br015_nav,gold_only_cap65_vol020_br020_nav,gold_only_cap65_vol022_br010_nav,gold_only_cap65_vol022_br015_nav,gold_only_cap65_vol022_br020_nav,gold_only_cap65_vol024_br010_nav,gold_only_cap65_vol024_br015_nav,gold_only_cap65_vol024_br020_nav,gold_only_cap80_vol018_br010_nav,gold_only_cap80_vol018_br015_nav,gold_only_cap80_vol018_br020_nav,gold_only_cap80_vol020_br010_nav,gold_only_cap80_vol020_br015_nav,gold_only_cap80_vol020_br020_nav,gold_only_cap80_vol022_br010_nav,gold_only_cap80_vol022_br015_nav,gold_only_cap80_vol022_br020_nav,gold_only_cap80_vol024_br010_nav,gold_only_cap80_vol024_br015_nav,gold_only_cap80_vol024_br020_nav,soymeal_only_cap50_vol018_br010_nav,soymeal_only_cap50_vol018_br015_nav,soymeal_only_cap50_vol018_br020_nav,soymeal_only_cap50_vol020_br010_nav,soymeal_only_cap50_vol020_br015_nav,soymeal_only_cap50_vol020_br020_nav,soymeal_only_cap50_vol022_br010_nav,soymeal_only_cap50_vol022_br015_nav,soymeal_only_cap50_vol022_br020_nav,soymeal_only_cap50_vol024_br010_nav,soymeal_only_cap50_vol024_br015_nav,soymeal_only_cap50_vol024_br020_nav,soymeal_only_cap65_vol018_br010_nav,soymeal_only_cap65_vol018_br015_nav,soymeal_only_cap65_vol018_br020_nav,soymeal_only_cap65_vol020_br010_nav,soymeal_only_cap65_vol020_br015_nav,soymeal_only_cap65_vol020_br020_nav,soymeal_only_cap65_vol022_br010_nav,soymeal_only_cap65_vol022_br015_nav,soymeal_only_cap65_vol022_br020_nav,soymeal_only_cap65_vol024_br010_nav,soymeal_only_cap65_vol024_br015_nav,soymeal_only_cap65_vol024_br020_nav,soymeal_only_cap80_vol018_br010_nav,soymeal_only_cap80_vol018_br015_nav,soymeal_only_cap80_vol018_br020_nav,soymeal_only_cap80_vol020_br010_nav,soymeal_only_cap80_vol020_br015_nav,soymeal_only_cap80_vol020_br020_nav,soymeal_only_cap80_vol022_br010_nav,soymeal_only_cap80_vol022_br015_nav,soymeal_only_cap80_vol022_br020_nav,soymeal_only_cap80_vol024_br010_nav,soymeal_only_cap80_vol024_br015_nav,soymeal_only_cap80_vol024_br020_nav
2012-05-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-05-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-05-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-05-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
