date,horizon,bucket,risk_leader,risk_leader_momentum,ret,mdd
2012-07-03,20,<=0%,510300,-0.04416282642089131,0.0,0.0
2012-07-04,20,<=0%,510300,-0.058623298033283366,0.0,0.0
2012-07-05,20,<=0%,510300,-0.06638846737481074,0.0,0.0
2012-07-06,20,<=0%,510300,-0.04904942965779502,0.0,0.0
2012-07-09,20,<=0%,510300,-0.06806083650190142,0.0,0.0
2012-07-10,20,<=0%,510300,-0.04573885848319015,0.0,0.0
2012-07-11,20,<=0%,510300,-0.042561499414291326,0.0,0.0
2012-07-12,20,<=0%,510300,-0.0332161000390776,0.0,0.0
2012-07-13,20,<=0%,510300,-0.025560361777428042,0.0,0.0
2012-07-16,20,<=0%,510300,-0.037884767166535216,0.0,0.0
2012-07-17,20,<=0%,510300,-0.047191887675507194,0.0,0.0
2012-07-18,20,<=0%,510300,-0.041208791208791395,0.0,0.0
2012-07-19,20,<=0%,510300,-0.05183752417795007,0.0,0.0
2012-07-20,20,<=0%,510300,-0.05477855477855509,0.0,0.0
2012-07-23,20,<=0%,510300,-0.07004643962848334,0.0,0.0
2012-07-24,20,<=0%,510300,-0.07098765432098808,0.0,0.0
2012-07-25,20,<=0%,510300,-0.06995724834823203,0.0,0.0
2012-07-26,20,<=0%,510300,-0.07315175097276294,0.0,0.0
2012-07-27,20,<=0%,510300,-0.05731225296442721,0.0,0.0
2012-07-30,20,<=0%,510300,-0.04153225806451655,0.0,0.0
2012-07-31,20,<=0%,510300,-0.043951612903226134,0.0,0.0
2012-08-01,20,<=0%,510300,-0.03318494536624894,0.0,0.0
2012-08-02,20,<=0%,510300,-0.03500203500203536,0.0,0.0
2012-08-03,20,<=0%,510300,-0.04024144869215329,0.0,0.0
2012-08-06,20,<=0%,510300,-0.02776659959758565,0.0,0.0
2012-08-07,20,<=0%,510300,-0.028123744475693324,0.0,0.0
2012-08-08,20,<=0%,510300,-0.027320208919245026,0.0,0.0
2012-08-09,20,<=0%,510300,-0.0065014221861036114,0.0,0.0
2012-08-10,20,<=0%,510300,-0.02518992403038811,0.0,0.0
2012-08-13,20,<=0%,510300,-0.024071807425541047,0.0,0.0
2012-08-14,20,<=0%,510300,-0.021712412945514514,0.0,0.0
2012-08-15,20,<=0%,510300,-0.035073409461664484,0.0,0.0
2012-08-16,20,<=0%,510300,-0.0464834276475351,0.0,0.0
2012-08-17,20,<=0%,510300,-0.052058111380146044,0.0,0.0
2012-08-20,20,<=0%,510300,-0.04183757178014813,0.0,0.0
2012-08-21,20,<=0%,510300,-0.04011461318051612,0.0,0.0
2012-08-22,20,<=0%,510300,-0.047073270568973036,0.0,0.0
2012-08-23,20,<=0%,510300,-0.04569563443492475,0.0,0.0
2012-08-24,20,<=0%,510300,-0.048088779284833794,0.0,0.0
2012-08-27,20,<=0%,510300,-0.056179775280899236,0.0,0.0
2012-08-28,20,<=0%,510300,-0.058139534883721256,0.0,0.0
2012-08-29,20,<=0%,510300,-0.05850396991224416,0.0,0.0
2012-08-30,20,<=0%,510300,-0.05835432409739749,0.0,0.0
2012-08-31,20,<=0%,510300,-0.059538784067086126,0.0,0.0
2012-09-03,20,<=0%,510300,-0.05048380311316791,0.0,0.0
2012-09-04,20,<=0%,510300,-0.05820328975116018,0.0,0.0
2012-09-05,20,<=0%,510300,-0.0657178735872751,0.0,0.0
