date,hs300_benchmark_nav,baseline_nav,slope_vol_015_nav,slope_vol_025_nav,slope_downvol_025_nav,slope_downvol_040_nav,slope_r2_020_nav,slope_r2_035_nav,slope_downvol025_r2_020_nav
2012-05-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-05-29,1.0153609831029187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-05-30,1.012288786482335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-05-31,1.009984639016897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-01,1.009984639016897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-04,0.9823348694316433,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-05,0.9834869431643621,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-06,0.9827188940092163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-07,0.9765745007680489,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-08,0.973118279569892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-11,0.9846390168970811,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-12,0.9784946236559137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-13,0.9927035330261134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-14,0.9884792626728107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-15,0.9923195084485404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-18,0.9953917050691242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-19,0.9880952380952378,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-20,0.9869431643625188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-21,0.9715821812596002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-25,0.952380952380952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-26,0.952380952380952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-27,0.9489247311827954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-28,0.9435483870967738,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-29,0.9543010752688166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-02,0.9543010752688166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-03,0.9558371735791084,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-04,0.9558371735791084,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-05,0.9450844854070652,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-06,0.9604454685099839,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-09,0.9412442396313357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-10,0.937403993855606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-11,0.9416282642089089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-12,0.9500768049155144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-13,0.9516129032258063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-16,0.9362519201228873,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-17,0.938172043010752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-18,0.938172043010752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-19,0.9412442396313355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-20,0.934331797235022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-23,0.9228110599078332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-24,0.9247311827956979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-25,0.9189708141321034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-26,0.9147465437788008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-27,0.9158986175115197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-30,0.9128264208909359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-31,0.9105222734254982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-01,0.9174347158218115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-02,0.9105222734254982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-03,0.9158986175115196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-06,0.9278033794162818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-07,0.9289554531490006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-08,0.9297235023041465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-09,0.9389400921658977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-10,0.936251920122887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-13,0.9185867895545305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-14,0.9170506912442387,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-15,0.9086021505376335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-16,0.9059139784946227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-17,0.9020737327188931,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-20,0.8970814132104444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-21,0.9005376344086012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-22,0.8940092165898608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-23,0.8982334869431634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-24,0.8894009216589852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-27,0.8709677419354829,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-28,0.8709677419354829,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-29,0.8652073732718885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-30,0.8613671274961587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-31,0.8613671274961587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-03,0.8667434715821803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-04,0.857526881720429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-05,0.8571428571428563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-06,0.8655913978494612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-07,0.9051459293394766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-10,0.9082181259600604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-11,0.9013056835637469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-12,0.9059139784946224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-13,0.8970814132104441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-14,0.9032258064516115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-17,0.8821044546850986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-18,0.8713517665130556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-19,0.8748079877112122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-20,0.8559907834101369,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-21,0.855606758832564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-24,0.8632872503840232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-25,0.8621351766513042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-26,0.8529185867895531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-27,0.8774961597542228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-28,0.8978494623655899,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-08,0.8844086021505362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-09,0.9047619047619032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-10,0.9047619047619032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-11,0.8986175115207359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-12,0.89784946236559,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-15,0.8947772657450062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-16,0.8951612903225793,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
