strategy,year,start_date,end_date,strategy_return,hs300_return,excess_return
baseline,2012,2012-05-28,2012-12-31,0.05184302699687038,-0.030721966205837004,0.08256499320270738
baseline,2013,2012-12-31,2013-12-31,-0.07182678247337204,-0.05863708399365919,-0.013189698479712852
baseline,2014,2013-12-31,2014-12-31,0.3938201851155403,0.5372985893150872,-0.14347840419954694
baseline,2015,2014-12-31,2015-12-31,0.09556780137076726,0.0680185133646376,0.027549288006129657
baseline,2016,2015-12-31,2016-12-30,0.2087735835622495,-0.09686562903164342,0.30563921259389293
baseline,2017,2016-12-30,2017-12-29,0.08394572935934042,0.23368087754307587,-0.14973514818373546
baseline,2018,2017-12-29,2018-12-28,-0.08508615359798521,-0.2416418271617753,0.15655567356379008
baseline,2019,2018-12-28,2019-12-31,0.5078944648748438,0.3859357093623652,0.12195875551247859
baseline,2020,2019-12-31,2020-12-31,0.5239951718161224,0.2907714843749991,0.23322368744112332
baseline,2021,2020-12-31,2021-12-31,0.17628538348414424,-0.0404000983832733,0.21668548186741754
baseline,2022,2021-12-31,2022-12-30,0.3988166364675916,-0.20132014717873803,0.6001367836463296
baseline,2023,2022-12-30,2023-12-29,0.15182989988401574,-0.09775224647250746,0.2495821463565232
baseline,2024,2023-12-29,2024-12-31,0.26102646547380104,0.17374101990322166,0.08728544557057938
baseline,2025,2024-12-31,2025-12-31,1.1989060568562047,0.20838818873246168,0.990517868123743
baseline,2026,2025-12-31,2026-06-22,0.253752481799876,0.0989194178931394,0.15483306390673657
slope_vol_015,2012,2012-05-28,2012-12-31,0.05184302699687038,-0.030721966205837004,0.08256499320270738
slope_vol_015,2013,2012-12-31,2013-12-31,-0.07182678247337204,-0.05863708399365919,-0.013189698479712852
slope_vol_015,2014,2013-12-31,2014-12-31,0.3938201851155403,0.5372985893150872,-0.14347840419954694
slope_vol_015,2015,2014-12-31,2015-12-31,0.0664053294315663,0.0680185133646376,-0.001613183933071305
slope_vol_015,2016,2015-12-31,2016-12-30,0.16609774852635928,-0.09686562903164342,0.2629633775580027
slope_vol_015,2017,2016-12-30,2017-12-29,0.0837668928487898,0.23368087754307587,-0.14991398469428607
slope_vol_015,2018,2017-12-29,2018-12-28,-0.15803025136589055,-0.2416418271617753,0.08361157579588474
slope_vol_015,2019,2018-12-28,2019-12-31,0.4456702622809712,0.3859357093623652,0.059734552918605965
slope_vol_015,2020,2019-12-31,2020-12-31,0.3360991285906789,0.2907714843749991,0.04532764421567981
slope_vol_015,2021,2020-12-31,2021-12-31,0.11377037403221713,-0.0404000983832733,0.15417047241549042
slope_vol_015,2022,2021-12-31,2022-12-30,0.2207824066050017,-0.20132014717873803,0.42210255378373973
slope_vol_015,2023,2022-12-30,2023-12-29,0.15741361384212915,-0.09775224647250746,0.2551658603146366
slope_vol_015,2024,2023-12-29,2024-12-31,0.33441542193007057,0.17374101990322166,0.1606744020268489
slope_vol_015,2025,2024-12-31,2025-12-31,1.295399817004106,0.20838818873246168,1.0870116282716442
slope_vol_015,2026,2025-12-31,2026-06-22,0.18047824547472624,0.0989194178931394,0.08155882758158683
slope_vol_025,2012,2012-05-28,2012-12-31,0.05184302699687038,-0.030721966205837004,0.08256499320270738
slope_vol_025,2013,2012-12-31,2013-12-31,-0.07182678247337204,-0.05863708399365919,-0.013189698479712852
slope_vol_025,2014,2013-12-31,2014-12-31,0.3938201851155403,0.5372985893150872,-0.14347840419954694
slope_vol_025,2015,2014-12-31,2015-12-31,0.05615559717406926,0.0680185133646376,-0.01186291619056834
