date,action,code,theme,name,from_exposure,to_exposure,nav
2012-10-19,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9995
2012-10-22,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,0.9990002500000001
2012-12-17,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,0.7,1.000692915413156
2012-12-19,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.7,1.0,0.9922687216320699
2012-12-21,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.7,0.995884248495796
2012-12-24,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.7,1.0,0.996572321590951
2013-01-04,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.7,1.0584689971952628
2013-01-07,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.7,1.0,1.059983444595637
2013-02-04,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.7,1.1474460815158225
2013-02-05,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.7,1.0,1.155632973453166
2013-02-22,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.27,1.0853720720306703
2013-02-27,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.27,0.0,1.0813868714736734
2013-02-28,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,0.27,1.091077579974506
2013-03-14,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.27,0.0,1.074770264103942
2013-03-21,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,0.27,1.0754060396190661
2013-04-01,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.27,0.0,1.0616917945371422
2013-05-21,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0611609486398736
2013-05-22,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.7,1.061854147767067
2013-05-24,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.7,1.0,1.0594414244923502
2013-05-30,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0747770731413888
2013-06-03,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0763015649975338
2013-06-04,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0757634142150352
2013-08-02,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.073353947594946
2013-08-05,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0728172706211487
2013-08-13,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0722808619858382
2013-08-16,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.05705108806448
2013-08-26,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0800309806852155
2013-08-28,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.079490965194873
2013-09-03,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0953472703284182
2013-09-06,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.081119564308211
2013-09-06,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.081119564308211
2013-09-10,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,0.7,1.100225525590899
2013-09-10,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.100225525590899
2013-09-17,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.7,1.0,1.079569857728354
2013-09-18,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0719836139948797
2013-09-18,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0719836139948797
2013-09-24,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0739385404781763
2013-09-24,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0739385404781763
2013-09-26,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.067502638040543
2013-09-26,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.067502638040543
2013-10-09,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0671861428342877
