stage,code,gross_contribution
2012-2014,510300,0.38759147900732965
2012-2014,159949,0.0
2012-2014,159954,0.0
2012-2014,159941,0.0
2012-2014,518880,-0.016252487232482037
2012-2014,513880,0.0
2012-2014,512890,0.0
2012-2014,159985,0.0
2012-2014,511260,0.0
2015-2018,510300,0.07100198834222457
2015-2018,159949,-0.1654065735479171
2015-2018,159954,-0.01264929342786978
2015-2018,159941,0.3109600634243211
2015-2018,518880,0.24812448897062897
2015-2018,513880,0.0
2015-2018,512890,0.0
2015-2018,159985,0.0
2015-2018,511260,0.003868524498222785
2019-2021,510300,-0.03837231963461693
2019-2021,159949,0.6838624467890917
2019-2021,159954,-0.041869532803548444
2019-2021,159941,0.3284559708426392
2019-2021,518880,0.09912893551346397
2019-2021,513880,0.029285980159458463
2019-2021,512890,0.1805204641258335
2019-2021,159985,0.0002376614934931423
2019-2021,511260,0.007776110525007136
2022-2024,510300,-0.01715840121953524
2022-2024,159949,0.08644264882241973
2022-2024,159954,0.28606423432087247
2022-2024,159941,0.13656323024789951
2022-2024,518880,-0.018745062924851803
2022-2024,513880,0.07694241663257198
2022-2024,512890,0.06729105433445898
2022-2024,159985,0.306007443545931
2022-2024,511260,0.00448880702826826
2025-至今,510300,0.009001559373658796
2025-至今,159949,0.547199781792809
2025-至今,159954,0.14760855310042964
2025-至今,159941,0.1751288170930119
2025-至今,518880,0.16530453647822724
2025-至今,513880,0.13443525541220117
2025-至今,512890,0.020169708911204384
2025-至今,159985,-0.07765911248916221
2025-至今,511260,-0.0010946655390207116
