stage,code,theme,gross_contribution,stage_strategy_return_sum,stage_gross_sum,contribution_share_of_gross
2012-2014,510300,沪深300,0.38759147900732965,0.325465666721269,0.37133899177484764,1.0437672520055108
2012-2014,159949,创业板50,0.0,0.325465666721269,0.37133899177484764,0.0
2012-2014,159954,H股,0.0,0.325465666721269,0.37133899177484764,0.0
2012-2014,159941,纳指ETF,0.0,0.325465666721269,0.37133899177484764,0.0
2012-2014,518880,黄金ETF,-0.016252487232482037,0.325465666721269,0.37133899177484764,-0.04376725200551074
2012-2014,513880,日经ETF,0.0,0.325465666721269,0.37133899177484764,0.0
2012-2014,512890,红利低波ETF,0.0,0.325465666721269,0.37133899177484764,0.0
2012-2014,159985,豆粕,0.0,0.325465666721269,0.37133899177484764,0.0
2012-2014,511260,十年国债ETF,0.0,0.325465666721269,0.37133899177484764,0.0
2015-2018,510300,沪深300,0.07100198834222457,0.3154540692885591,0.4558991982596105,0.1557405422366913
2015-2018,159949,创业板50,-0.1654065735479171,0.3154540692885591,0.4558991982596105,-0.36281391627656867
2015-2018,159954,H股,-0.01264929342786978,0.3154540692885591,0.4558991982596105,-0.027745811960534918
2015-2018,159941,纳指ETF,0.3109600634243211,0.3154540692885591,0.4558991982596105,0.6820807419960536
2015-2018,518880,黄金ETF,0.24812448897062897,0.3154540692885591,0.4558991982596105,0.5442529618780667
2015-2018,513880,日经ETF,0.0,0.3154540692885591,0.4558991982596105,0.0
2015-2018,512890,红利低波ETF,0.0,0.3154540692885591,0.4558991982596105,0.0
2015-2018,159985,豆粕,0.0,0.3154540692885591,0.4558991982596105,0.0
2015-2018,511260,十年国债ETF,0.003868524498222785,0.3154540692885591,0.4558991982596105,0.008485482126292016
2019-2021,510300,沪深300,-0.03837231963461693,1.094007521858901,1.2490257170108219,-0.03072180109025286
2019-2021,159949,创业板50,0.6838624467890917,1.094007521858901,1.2490257170108219,0.5475167064019439
2019-2021,159954,H股,-0.041869532803548444,1.094007521858901,1.2490257170108219,-0.03352175398257687
2019-2021,159941,纳指ETF,0.3284559708426392,1.094007521858901,1.2490257170108219,0.262969742231331
2019-2021,518880,黄金ETF,0.09912893551346397,1.094007521858901,1.2490257170108219,0.07936500759223766
2019-2021,513880,日经ETF,0.029285980159458463,1.094007521858901,1.2490257170108219,0.023447059384450387
2019-2021,512890,红利低波ETF,0.1805204641258335,1.094007521858901,1.2490257170108219,0.14452902103397558
2019-2021,159985,豆粕,0.0002376614934931423,1.094007521858901,1.2490257170108219,0.00019027750210133036
2019-2021,511260,十年国债ETF,0.007776110525007136,1.094007521858901,1.2490257170108219,0.00622574092678971
2022-2024,510300,沪深300,-0.01715840121953524,0.7804658791574337,0.9278963707880349,-0.018491721446181667
2022-2024,159949,创业板50,0.08644264882241973,0.7804658791574337,0.9278963707880349,0.09315980915951481
2022-2024,159954,H股,0.28606423432087247,0.7804658791574337,0.9278963707880349,0.3082933001213558
2022-2024,159941,纳指ETF,0.13656323024789951,0.7804658791574337,0.9278963707880349,0.14717508823956324
2022-2024,518880,黄金ETF,-0.018745062924851803,0.7804658791574337,0.9278963707880349,-0.02020167716458701
2022-2024,513880,日经ETF,0.07694241663257198,0.7804658791574337,0.9278963707880349,0.08292134666636003
2022-2024,512890,红利低波ETF,0.06729105433445898,0.7804658791574337,0.9278963707880349,0.07252001026505867
2022-2024,159985,豆粕,0.306007443545931,0.7804658791574337,0.9278963707880349,0.3297862274060281
2022-2024,511260,十年国债ETF,0.00448880702826826,0.7804658791574337,0.9278963707880349,0.004837616752888094
2025-至今,510300,沪深300,0.009001559373658796,1.0558103438703035,1.1200944341333592,0.008036428982546898
2025-至今,159949,创业板50,0.547199781792809,1.0558103438703035,1.1200944341333592,0.48853004275143025
2025-至今,159954,H股,0.14760855310042964,1.0558103438703035,1.1200944341333592,0.1317822396061074
2025-至今,159941,纳指ETF,0.1751288170930119,1.0558103438703035,1.1200944341333592,0.15635183227074312
2025-至今,518880,黄金ETF,0.16530453647822724,1.0558103438703035,1.1200944341333592,0.14758089268261285
2025-至今,513880,日经ETF,0.13443525541220117,1.0558103438703035,1.1200944341333592,0.12002135830289754
2025-至今,512890,红利低波ETF,0.020169708911204384,1.0558103438703035,1.1200944341333592,0.018007150376396715
2025-至今,159985,豆粕,-0.07765911248916221,1.0558103438703035,1.1200944341333592,-0.06933264742918638
2025-至今,511260,十年国债ETF,-0.0010946655390207116,1.0558103438703035,1.1200944341333592,-0.0009772975435483504
