total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,max_drawdown_integral,trade_count,avg_exposure,latest_holding_code,latest_holding_theme,latest_holding_name,latest_momentum,latest_exposure,strategy,risk_cap,vg_cap,overheat_cap,overheat_hi_cap,annualized_diff,sharpe_diff,max_drawdown_integral_diff,is_valid_change,drawdown_integral_definition,drawdown_integral_recomputed
18.100450598250656,0.2346614068150512,0.2015265298148406,1.1644194291970116,-0.2176281644631575,39.16666113240434,1566,0.8128561341571051,159941,纳指ETF,纳指ETF广发,0.1170523751304612,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc188_vg285_oc068_oh028__stressbond_511260_vr90_vb-1__dual_rc188_vg284_oc067_oh029__stressbond_511260_vr90_vb-1,0.188,0.284,0.067,0.029,1.6823532511756056e-05,8.56532454718284e-05,-0.0007933127239354,True,full_history,False
18.100325812606357,0.2346608303744703,0.20152667257277,1.1644157439742164,-0.2176325076720813,39.16745444512823,1566,0.8128614298323036,159941,纳指ETF,纳指ETF广发,0.1170523751304612,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc188_vg285_oc068_oh028__stressbond_511260_vr90_vb-1__dual_rc188_vg285_oc067_oh029__stressbond_511260_vr90_vb-1,0.188,0.285,0.067,0.029,1.62470919309321e-05,8.196802267668168e-05,-4.973799150320701e-14,True,full_history,False
18.10030487486726,0.2346607336533668,0.2015260679351341,1.1644187576214595,-0.2176281644631582,39.166661132404435,1566,0.8128517210944395,159941,纳指ETF,纳指ETF广发,0.1170523751304612,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc188_vg285_oc068_oh028__stressbond_511260_vr90_vb-1__dual_rc188_vg284_oc067_oh028__stressbond_511260_vr90_vb-1,0.188,0.284,0.067,0.028,1.615037082736137e-05,8.498166991999234e-05,-0.000793312723843,True,full_history,False
18.100180090174906,0.2346601572131001,0.2015262106933849,1.1644150723903968,-0.2176325076720814,39.16745444512817,1566,0.8128570167696382,159941,纳指ETF,纳指ETF广发,0.1170523751304612,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc188_vg285_oc068_oh028__stressbond_511260_vr90_vb-1__dual_rc188_vg285_oc067_oh028__stressbond_511260_vr90_vb-1,0.188,0.285,0.067,0.028,1.557393056073053e-05,8.129643885701476e-05,-1.0658141036401505e-13,True,full_history,False
18.100158203468837,0.2346600561075604,0.2015256244032082,1.1644179582744156,-0.2176281644631585,39.16666113240451,1566,0.8128473080317741,159941,纳指ETF,纳指ETF广发,0.1170523751304612,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc188_vg285_oc068_oh028__stressbond_511260_vr90_vb-1__dual_rc188_vg284_oc067_oh027__stressbond_511260_vr90_vb-1,0.188,0.284,0.067,0.027,1.5472825021012326e-05,8.41823228758809e-05,-0.0007933127237649,True,full_history,False
18.100033419734824,0.2346594796676104,0.2015257671617672,1.1644142730355984,-0.2176325076720808,39.16745444512805,1566,0.8128526037069727,159941,纳指ETF,纳指ETF广发,0.1170523751304612,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc188_vg285_oc068_oh028__stressbond_511260_vr90_vb-1__dual_rc188_vg285_oc067_oh027__stressbond_511260_vr90_vb-1,0.188,0.285,0.067,0.027,1.4896385071017091e-05,8.049708405866163e-05,-2.273736754432321e-13,True,full_history,False
18.097079476200705,0.2346458328688829,0.2015272249918488,1.1643381328670293,-0.2176281644631582,39.16666113240446,1566,0.8128705501618123,159941,纳指ETF,纳指ETF广发,0.1170523751304612,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc188_vg285_oc068_oh028__stressbond_511260_vr90_vb-1__dual_rc188_vg284_oc068_oh029__stressbond_511260_vr90_vb-1,0.188,0.284,0.068,0.029,1.249586343510245e-06,4.356915489500679e-06,-0.0007933127238217,True,full_history,False
18.096954712580317,0.2346452564355732,0.2015273677491695,1.1643344477541324,-0.2176325076720813,39.16745444512818,1566,0.8128758458370109,159941,纳指ETF,纳指ETF广发,0.1170523751304612,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc188_vg285_oc068_oh028__stressbond_511260_vr90_vb-1__dual_rc188_vg285_oc068_oh029__stressbond_511260_vr90_vb-1,0.188,0.285,0.068,0.029,6.73153033758922e-07,6.718025926666371e-07,-9.947598300641405e-14,True,full_history,False
18.09693377850319,0.2346451597155352,0.2015267631253198,1.1643374610727046,-0.2176281644631584,39.16666113240449,1566,0.8128661370991468,159941,纳指ETF,纳指ETF广发,0.1170523751304612,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc188_vg285_oc068_oh028__stressbond_511260_vr90_vb-1__dual_rc188_vg284_oc068_oh028__stressbond_511260_vr90_vb-1,0.188,0.284,0.068,0.028,5.764329957802516e-07,3.685121164886951e-06,-0.0007933127237862,True,full_history,False
18.10020100113237,0.2346602538110729,0.2015268158495673,1.164412055149219,-0.217636851922069,39.168247953048336,1566,0.8128667255075023,159941,纳指ETF,纳指ETF广发,0.1170523751304612,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc188_vg285_oc068_oh028__stressbond_511260_vr90_vb-1__dual_rc188_vg286_oc067_oh029__stressbond_511260_vr90_vb-1,0.188,0.286,0.067,0.029,1.5670528533462402e-05,7.827919767922076e-05,0.0007935079200578,False,full_history,False
18.10005527965313,0.2346595806500169,0.2015263539705047,1.1644113835571182,-0.217636851922069,39.16824795304836,1566,0.8128623124448366,159941,纳指ETF,纳指ETF广发,0.1170523751304612,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc188_vg285_oc068_oh028__stressbond_511260_vr90_vb-1__dual_rc188_vg286_oc067_oh028__stressbond_511260_vr90_vb-1,0.188,0.286,0.067,0.028,1.4997367477453947e-05,7.76076055784003e-05,0.0007935079200791,False,full_history,False
18.09990861017138,0.2346589031048433,0.2015259104391964,1.1644105841945505,-0.2176368519220695,39.16824795304835,1566,0.8128578993821711,159941,纳指ETF,纳指ETF广发,0.1170523751304612,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc188_vg285_oc068_oh028__stressbond_511260_vr90_vb-1__dual_rc188_vg286_oc067_oh027__stressbond_511260_vr90_vb-1,0.188,0.286,0.067,0.027,1.4319822303932028e-05,7.680824301070643e-05,0.000793507920072,False,full_history,False
18.09894437166692,0.2346544486486113,0.2015280701990885,1.1643760018978866,-0.2176539810526255,39.1713617036616,1566,0.8128561341571051,159941,纳指ETF,纳指ETF广发,0.1170523751304612,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc188_vg285_oc068_oh028__stressbond_511260_vr90_vb-1__dual_rc189_vg284_oc067_oh029__stressbond_511260_vr90_vb-1,0.189,0.284,0.067,0.029,9.8653660718373e-06,4.222594634684107e-05,0.0039072585333173,False,full_history,False
18.098819597843125,0.234653872220427,0.2015282129080112,1.164372317078682,-0.2176583241182322,39.17215499560766,1566,0.8128614298323036,159941,纳指ETF,纳指ETF广发,0.1170523751304612,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc188_vg285_oc068_oh028__stressbond_511260_vr90_vb-1__dual_rc189_vg285_oc067_oh029__stressbond_511260_vr90_vb-1,0.189,0.285,0.067,0.029,9.288937887541591e-06,3.8541127142188714e-05,0.0047005504793844,False,full_history,False
18.098798659774907,0.23465377549072,0.2015276083228405,1.1643753302267774,-0.217653981052626,39.17136170366173,1566,0.8128517210944395,159941,纳指ETF,纳指ETF广发,0.1170523751304612,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc188_vg285_oc068_oh028__stressbond_511260_vr90_vb-1__dual_rc189_vg284_oc067_oh028__stressbond_511260_vr90_vb-1,0.189,0.284,0.067,0.028,9.1922081806306e-06,4.1554275237665195e-05,0.0039072585334523,False,full_history,False
18.098694798191744,0.2346532956694271,0.201528356135798,1.1643686286574393,-0.2176626682248689,39.17294848274503,1566,0.8128667255075023,159941,纳指ETF,纳指ETF广发,0.1170523751304612,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc188_vg285_oc068_oh028__stressbond_511260_vr90_vb-1__dual_rc189_vg286_oc067_oh029__stressbond_511260_vr90_vb-1,0.189,0.286,0.067,0.029,8.712386887710366e-06,3.485270589953515e-05,0.0054940376167493,False,full_history,False
18.09867388690312,0.2346531990628506,0.2015277510320844,1.1643716453993098,-0.2176583241182321,39.17215499560772,1566,0.8128570167696382,159941,纳指ETF,纳指ETF广发,0.1170523751304612,1.0,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__edge_rc188_vg285_oc068_oh028__stressbond_511260_vr90_vb-1__dual_rc189_vg285_oc067_oh028__stressbond_511260_vr90_vb-1,0.189,0.285,0.067,0.028,8.615780311194143e-06,3.7869447770066955e-05,0.0047005504794412,False,full_history,False
