year,code,gross_contribution
2012,510300,0.05282237153627989
2012,159949,0.0
2012,159954,0.0
2012,159941,0.0
2012,518880,0.0
2012,513880,0.0
2012,512890,0.0
2012,159985,0.0
2012,511260,0.0
2013,510300,-0.008028984661384346
2013,159949,0.0
2013,159954,0.0
2013,159941,0.0
2013,518880,-0.040673254467310446
2013,513880,0.0
2013,512890,0.0
2013,159985,0.0
2013,511260,0.0
2014,510300,0.34279809213243406
2014,159949,0.0
2014,159954,0.0
2014,159941,0.0
2014,518880,0.024420767234828396
2014,513880,0.0
2014,512890,0.0
2014,159985,0.0
2014,511260,0.0
2015,510300,0.1206029939803474
2015,159949,0.0
2015,159954,0.0
2015,159941,0.010230209925950383
2015,518880,0.019664694736974964
2015,513880,0.0
2015,512890,0.0
2015,159985,0.0
2015,511260,0.0
2016,510300,-0.05192982824194001
2016,159949,0.0
2016,159954,0.0
2016,159941,0.10944299615278417
2016,518880,0.17224469010441912
2016,513880,0.0
2016,512890,0.0
2016,159985,0.0
2016,511260,0.0
2017,510300,0.02088475115995283
2017,159949,0.01607674394924751
2017,159954,0.0
2017,159941,0.03193222724202067
2017,518880,0.04493159971790922
2017,513880,0.0
2017,512890,0.0
2017,159985,0.0
2017,511260,0.003697667801669822
2018,510300,-0.018555928556135665
2018,159949,-0.18148331749716462
2018,159954,-0.01264929342786978
2018,159941,0.15935463010356585
2018,518880,0.01128350441132564
2018,513880,0.0
2018,512890,0.0
2018,159985,0.0
2018,511260,0.00017085669655296336
2019,510300,-0.031098355081525867
2019,159949,0.28809915013609283
2019,159954,-0.002083333333333326
2019,159941,0.09019721007825421
2019,518880,0.13171135005818518
2019,513880,-0.012881062959772515
2019,512890,0.026622018160981756
2019,159985,0.0
2019,511260,0.005802253227656285
2020,510300,-0.007149700114699429
2020,159949,0.21084533390498403
2020,159954,1.2193314845809766e-05
2020,159941,0.21946983452864474
2020,518880,-0.025237348917851413
2020,513880,0.0715712884763457
2020,512890,0.005158208955223741
2020,159985,0.04219823163961186
2020,511260,0.0014906151473540533
2021,510300,-0.00012426443839162922
2021,159949,0.18491796274801486
2021,159954,-0.039798392785060935
2021,159941,0.018788926235740293
2021,518880,-0.007345065626869829
2021,513880,-0.029404245357114722
2021,512890,0.14874023700962802
2021,159985,-0.041960570146118724
2021,511260,0.0004832421499967988
2022,510300,0.0
2022,159949,0.12536613223909931
2022,159954,0.06596504924993715
2022,159941,-0.11021952042798988
2022,518880,-0.01746707651361379
2022,513880,0.04658845806179779
2022,512890,0.043562369466190944
2022,159985,0.2730268148918245
2022,511260,0.0
2023,510300,-0.0024161519297735135
2023,159949,-0.0009363920980455243
2023,159954,0.004661815471317499
2023,159941,0.120135815396523
2023,518880,0.007566821090589282
2023,513880,0.01706980172834307
2023,512890,0.01697428410648657
2023,159985,0.04036063328489552
2023,511260,0.0
2024,510300,-0.014742249289761733
2024,159949,-0.03798709131863406
2024,159954,0.2154373695996178
2024,159941,0.12664693527936638
2024,518880,-0.008844807501827305
2024,513880,0.013284156842431116
2024,512890,0.006754400761781466
2024,159985,-0.0073800046307890745
2024,511260,0.00448880702826826
2025,510300,0.018031875343387994
2025,159949,0.401424575452587
2025,159954,0.14760855310042964
2025,159941,0.053446126190238405
2025,518880,0.1582653946100629
2025,513880,0.049796194734348695
2025,512890,0.009943339775513767
2025,159985,0.01842033577836123
2025,511260,-0.0010946655390207116
2026,510300,-0.009030315969729197
2026,159949,0.14577520634022206
2026,159954,0.0
2026,159941,0.12168269090277349
2026,518880,0.007039141868164317
2026,513880,0.08463906067785247
2026,512890,0.010226369135690618
2026,159985,-0.09607944826752346
2026,511260,0.0
