year,code,theme,name,gross_contribution,year_strategy_return_sum,year_gross_sum,contribution_share_of_gross
2012,510300,沪深300,沪深300ETF华泰柏瑞,0.05282237153627989,0.0513223715362798,0.05282237153627989,1.0
2012,159949,创业板50,创业板50ETF华安,0.0,0.0513223715362798,0.05282237153627989,0.0
2012,159954,H股,H股ETF,0.0,0.0513223715362798,0.05282237153627989,0.0
2012,159941,纳指ETF,纳指ETF广发,0.0,0.0513223715362798,0.05282237153627989,0.0
2012,518880,黄金ETF,黄金ETF华安,0.0,0.0513223715362798,0.05282237153627989,0.0
2012,513880,日经ETF,日经225ETF华安,0.0,0.0513223715362798,0.05282237153627989,0.0
2012,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.0513223715362798,0.05282237153627989,0.0
2012,159985,豆粕,豆粕ETF,0.0,0.0513223715362798,0.05282237153627989,0.0
2012,511260,十年国债ETF,十年国债ETF,0.0,0.0513223715362798,0.05282237153627989,0.0
2013,510300,沪深300,沪深300ETF华泰柏瑞,-0.008028984661384346,-0.06906725398615549,-0.04870223912869479,0.16485863494218198
2013,159949,创业板50,创业板50ETF华安,0.0,-0.06906725398615549,-0.04870223912869479,-0.0
2013,159954,H股,H股ETF,0.0,-0.06906725398615549,-0.04870223912869479,-0.0
2013,159941,纳指ETF,纳指ETF广发,0.0,-0.06906725398615549,-0.04870223912869479,-0.0
2013,518880,黄金ETF,黄金ETF华安,-0.040673254467310446,-0.06906725398615549,-0.04870223912869479,0.835141365057818
2013,513880,日经ETF,日经225ETF华安,0.0,-0.06906725398615549,-0.04870223912869479,-0.0
2013,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,-0.06906725398615549,-0.04870223912869479,-0.0
2013,159985,豆粕,豆粕ETF,0.0,-0.06906725398615549,-0.04870223912869479,-0.0
2013,511260,十年国债ETF,十年国债ETF,0.0,-0.06906725398615549,-0.04870223912869479,-0.0
2014,510300,沪深300,沪深300ETF华泰柏瑞,0.34279809213243406,0.34321054917114463,0.36721885936726245,0.9334980581419302
2014,159949,创业板50,创业板50ETF华安,0.0,0.34321054917114463,0.36721885936726245,0.0
2014,159954,H股,H股ETF,0.0,0.34321054917114463,0.36721885936726245,0.0
2014,159941,纳指ETF,纳指ETF广发,0.0,0.34321054917114463,0.36721885936726245,0.0
2014,518880,黄金ETF,黄金ETF华安,0.024420767234828396,0.34321054917114463,0.36721885936726245,0.06650194185806979
2014,513880,日经ETF,日经225ETF华安,0.0,0.34321054917114463,0.36721885936726245,0.0
2014,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.34321054917114463,0.36721885936726245,0.0
2014,159985,豆粕,豆粕ETF,0.0,0.34321054917114463,0.36721885936726245,0.0
2014,511260,十年国债ETF,十年国债ETF,0.0,0.34321054917114463,0.36721885936726245,0.0
2015,510300,沪深300,沪深300ETF华泰柏瑞,0.1206029939803474,0.11800634774827483,0.15049789864327276,0.8013599862029591
2015,159949,创业板50,创业板50ETF华安,0.0,0.11800634774827483,0.15049789864327276,0.0
2015,159954,H股,H股ETF,0.0,0.11800634774827483,0.15049789864327276,0.0
2015,159941,纳指ETF,纳指ETF广发,0.010230209925950383,0.11800634774827483,0.15049789864327276,0.06797576589557035
2015,518880,黄金ETF,黄金ETF华安,0.019664694736974964,0.11800634774827483,0.15049789864327276,0.13066424790147044
2015,513880,日经ETF,日经225ETF华安,0.0,0.11800634774827483,0.15049789864327276,0.0
2015,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.11800634774827483,0.15049789864327276,0.0
2015,159985,豆粕,豆粕ETF,0.0,0.11800634774827483,0.15049789864327276,0.0
2015,511260,十年国债ETF,十年国债ETF,0.0,0.11800634774827483,0.15049789864327276,0.0
2016,510300,沪深300,沪深300ETF华泰柏瑞,-0.05192982824194001,0.20052705844493818,0.22975785801526327,-0.22601981360084844
2016,159949,创业板50,创业板50ETF华安,0.0,0.20052705844493818,0.22975785801526327,0.0
2016,159954,H股,H股ETF,0.0,0.20052705844493818,0.22975785801526327,0.0
2016,159941,纳指ETF,纳指ETF广发,0.10944299615278417,0.20052705844493818,0.22975785801526327,0.4763406009187014
2016,518880,黄金ETF,黄金ETF华安,0.17224469010441912,0.20052705844493818,0.22975785801526327,0.7496792126821471
2016,513880,日经ETF,日经225ETF华安,0.0,0.20052705844493818,0.22975785801526327,0.0
2016,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.20052705844493818,0.22975785801526327,0.0
2016,159985,豆粕,豆粕ETF,0.0,0.20052705844493818,0.22975785801526327,0.0
2016,511260,十年国债ETF,十年国债ETF,0.0,0.20052705844493818,0.22975785801526327,0.0
2017,510300,沪深300,沪深300ETF华泰柏瑞,0.02088475115995283,0.08461409968247886,0.11752298987080005,0.17770779302766776
2017,159949,创业板50,创业板50ETF华安,0.01607674394924751,0.08461409968247886,0.11752298987080005,0.1367965873479021
2017,159954,H股,H股ETF,0.0,0.08461409968247886,0.11752298987080005,0.0
2017,159941,纳指ETF,纳指ETF广发,0.03193222724202067,0.08461409968247886,0.11752298987080005,0.27171047364541734
2017,518880,黄金ETF,黄金ETF华安,0.04493159971790922,0.08461409968247886,0.11752298987080005,0.38232178884578394
2017,513880,日经ETF,日经225ETF华安,0.0,0.08461409968247886,0.11752298987080005,0.0
2017,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.08461409968247886,0.11752298987080005,0.0
2017,159985,豆粕,豆粕ETF,0.0,0.08461409968247886,0.11752298987080005,0.0
2017,511260,十年国债ETF,十年国债ETF,0.003697667801669822,0.08461409968247886,0.11752298987080005,0.03146335713322888
2018,510300,沪深300,沪深300ETF华泰柏瑞,-0.018555928556135665,-0.08769343658713279,-0.041879548269725606,0.4430785269369679
2018,159949,创业板50,创业板50ETF华安,-0.18148331749716462,-0.08769343658713279,-0.041879548269725606,4.333459289682871
2018,159954,H股,H股ETF,-0.01264929342786978,-0.08769343658713279,-0.041879548269725606,0.3020398726939912
2018,159941,纳指ETF,纳指ETF广发,0.15935463010356585,-0.08769343658713279,-0.041879548269725606,-3.8050704147342023
2018,518880,黄金ETF,黄金ETF华安,0.01128350441132564,-0.08769343658713279,-0.041879548269725606,-0.26942755778200206
2018,513880,日经ETF,日经225ETF华安,0.0,-0.08769343658713279,-0.041879548269725606,-0.0
2018,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,-0.08769343658713279,-0.041879548269725606,-0.0
2018,159985,豆粕,豆粕ETF,0.0,-0.08769343658713279,-0.041879548269725606,-0.0
2018,511260,十年国债ETF,十年国债ETF,0.00017085669655296336,-0.08769343658713279,-0.041879548269725606,-0.004079716797625401
2019,510300,沪深300,沪深300ETF华泰柏瑞,-0.031098355081525867,0.43520070830074115,0.49636923028653857,-0.06265165764520446
2019,159949,创业板50,创业板50ETF华安,0.28809915013609283,0.43520070830074115,0.49636923028653857,0.5804129920982051
2019,159954,H股,H股ETF,-0.002083333333333326,0.43520070830074115,0.49636923028653857,-0.004197144396180001
2019,159941,纳指ETF,纳指ETF广发,0.09019721007825421,0.43520070830074115,0.49636923028653857,0.18171394311888783
2019,518880,黄金ETF,黄金ETF华安,0.13171135005818518,0.43520070830074115,0.49636923028653857,0.26534954630880786
2019,513880,日经ETF,日经225ETF华安,-0.012881062959772515,0.43520070830074115,0.49636923028653857,-0.02595056698485657
2019,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.026622018160981756,0.43520070830074115,0.49636923028653857,0.053633498082896254
2019,159985,豆粕,豆粕ETF,0.0,0.43520070830074115,0.49636923028653857,0.0
2019,511260,十年国债ETF,十年国债ETF,0.005802253227656285,0.43520070830074115,0.49636923028653857,0.011689389417443994
2020,510300,沪深300,沪深300ETF华泰柏瑞,-0.007149700114699429,0.4773449173090008,0.518358656934459,-0.013792959795409442
2020,159949,创业板50,创业板50ETF华安,0.21084533390498403,0.4773449173090008,0.518358656934459,0.40675569142012646
2020,159954,H股,H股ETF,1.2193314845809766e-05,0.4773449173090008,0.518358656934459,2.352293085625361e-05
2020,159941,纳指ETF,纳指ETF广发,0.21946983452864474,0.4773449173090008,0.518358656934459,0.4233937865079282
2020,518880,黄金ETF,黄金ETF华安,-0.025237348917851413,0.4773449173090008,0.518358656934459,-0.048687040488729426
2020,513880,日经ETF,日经225ETF华安,0.0715712884763457,0.4773449173090008,0.518358656934459,0.13807291055890503
2020,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.005158208955223741,0.4773449173090008,0.518358656934459,0.00995104236462273
2020,159985,豆粕,豆粕ETF,0.04219823163961186,0.4773449173090008,0.518358656934459,0.08140740214346874
2020,511260,十年国债ETF,十年国债ETF,0.0014906151473540533,0.4773449173090008,0.518358656934459,0.0028756443582315357
2021,510300,沪深300,沪深300ETF华泰柏瑞,-0.00012426443839162922,0.1814618962491591,0.2342978297898241,-0.0005303695663894972
2021,159949,创业板50,创业板50ETF华安,0.18491796274801486,0.1814618962491591,0.2342978297898241,0.7892431735876289
2021,159954,H股,H股ETF,-0.039798392785060935,0.1814618962491591,0.2342978297898241,-0.16986240470414052
2021,159941,纳指ETF,纳指ETF广发,0.018788926235740293,0.1814618962491591,0.2342978297898241,0.08019248941654654
2021,518880,黄金ETF,黄金ETF华安,-0.007345065626869829,0.1814618962491591,0.2342978297898241,-0.03134926872117719
2021,513880,日经ETF,日经225ETF华安,-0.029404245357114722,0.1814618962491591,0.2342978297898241,-0.12549943541300265
2021,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.14874023700962802,0.1814618962491591,0.2342978297898241,0.6348340364187531
2021,159985,豆粕,豆粕ETF,-0.041960570146118724,0.1814618962491591,0.2342978297898241,-0.17909073329342948
2021,511260,十年国债ETF,十年国债ETF,0.0004832421499967988,0.1814618962491591,0.2342978297898241,0.0020625122752109533
2022,510300,沪深300,沪深300ETF华泰柏瑞,0.0,0.37578915498241783,0.42682222696724603,0.0
