year,strategy_return_sum,top1,top2,top3,worst1,worst2
2012,0.0513223715362798,沪深300 5.28%,创业板50 0.00%,H股 0.00%,创业板50 0.00%,H股 0.00%
2013,-0.06906725398615549,创业板50 0.00%,H股 0.00%,纳指ETF 0.00%,黄金ETF -4.07%,沪深300 -0.80%
2014,0.34321054917114463,沪深300 34.28%,黄金ETF 2.44%,创业板50 0.00%,创业板50 0.00%,H股 0.00%
2015,0.11800634774827483,沪深300 12.06%,黄金ETF 1.97%,纳指ETF 1.02%,创业板50 0.00%,H股 0.00%
2016,0.20052705844493818,黄金ETF 17.22%,纳指ETF 10.94%,创业板50 0.00%,沪深300 -5.19%,创业板50 0.00%
2017,0.08461409968247886,黄金ETF 4.49%,纳指ETF 3.19%,沪深300 2.09%,H股 0.00%,日经ETF 0.00%
2018,-0.08769343658713279,纳指ETF 15.94%,黄金ETF 1.13%,十年国债ETF 0.02%,创业板50 -18.15%,沪深300 -1.86%
2019,0.43520070830074115,创业板50 28.81%,黄金ETF 13.17%,纳指ETF 9.02%,沪深300 -3.11%,日经ETF -1.29%
2020,0.4773449173090008,纳指ETF 21.95%,创业板50 21.08%,日经ETF 7.16%,黄金ETF -2.52%,沪深300 -0.71%
2021,0.1814618962491591,创业板50 18.49%,红利低波ETF 14.87%,纳指ETF 1.88%,豆粕 -4.20%,H股 -3.98%
2022,0.37578915498241783,豆粕 27.30%,创业板50 12.54%,H股 6.60%,纳指ETF -11.02%,黄金ETF -1.75%
2023,0.153237839430521,纳指ETF 12.01%,豆粕 4.04%,日经ETF 1.71%,沪深300 -0.24%,创业板50 -0.09%
2024,0.2514388847444947,H股 21.54%,纳指ETF 12.66%,日经ETF 1.33%,创业板50 -3.80%,沪深300 -1.47%
2025,0.821599788863848,创业板50 40.14%,黄金ETF 15.83%,H股 14.76%,十年国债ETF -0.11%,红利低波ETF 0.99%
2026,0.23421055500645563,创业板50 14.58%,纳指ETF 12.17%,日经ETF 8.46%,豆粕 -9.61%,沪深300 -0.90%
