date,action,code,theme,name,from_exposure,to_exposure,nav
2020-01-10,BUY,601899,紫金矿业,紫金矿业,0.0,1.0,0.9995
2020-01-21,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,0.9578375837104072
2020-01-21,SELL,601899,紫金矿业,紫金矿业,1.0,0.0,0.9578375837104072
2020-01-22,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,0.9782327111727598
2020-01-22,BUY,601899,紫金矿业,紫金矿业,0.0,1.0,0.9782327111727598
2020-01-23,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,0.9466444193914446
2020-01-23,SELL,601899,紫金矿业,紫金矿业,1.0,0.0,0.9466444193914446
2020-02-03,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,0.8686391883788144
2020-02-03,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.8686391883788144
2020-02-04,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,0.86233468411676
2020-02-04,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.86233468411676
2020-02-10,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,0.9300960358739349
2020-02-10,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9300960358739349
2020-02-11,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,0.9519520255561607
2020-02-11,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9519520255561607
2020-03-12,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,0.9599367918156724
2020-03-12,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9599367918156724
2020-03-13,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9366251844459637
2020-03-13,BUY,159985,豆粕,豆粕ETF,0.0,0.8,0.9366251844459637
2020-03-16,ADD,159985,豆粕,豆粕ETF,0.8,1.0,0.9365315219275191
2020-03-19,SELL,159985,豆粕,豆粕ETF,1.0,0.0,0.926302429720606
